block	trial	Vstim	Astim	match	C/I	resp	.result	RT	fb	V-file	A-file
RL

2	195	2	1	0	C	2	1	1036	1	Ⴔ	cut_s_stereo_44KHz.wav
2	196	4	3	2	I	2	0	794	0	Ⴐ	cut_j_stereo_44KHz.wav
2	197	3	3	2	I	1	0	633	0	Ⴏ	cut_j_stereo_44KHz.wav
2	198	4	4	2	I	2	0	882	1	Ⴐ	cut_ei_stereo_44KHz.wav
2	199	1	1	1	C	1	1	964	1	Ⴉ	cut_s_stereo_44KHz.wav
2	200	2	2	1	C	1	1	1039	1	Ⴔ	cut_oei_stereo_44KHz.wav
3	1	4	3	2	I	2	0	1303	0	Ⴌ	cut_g_stereo_44KHz.wav
3	2	2	2	1	C	2	0	819	0	Ⴕ	cut_l_stereo_44KHz.wav
3	3	1	1	1	C	2	0	1561	0	Ⴒ	cut_h_stereo_44KHz.wav
3	4	3	3	2	I	2	0	963	1	Ⴖ	cut_g_stereo_44KHz.wav
3	5	4	4	2	I	1	0	894	1	Ⴌ	cut_w_stereo_44KHz.wav
3	6	2	1	0	C	1	0	1159	0	Ⴕ	cut_h_stereo_44KHz.wav
3	7	1	2	0	C	2	1	823	1	Ⴒ	cut_l_stereo_44KHz.wav
3	8	3	4	2	I	2	0	1108	0	Ⴖ	cut_w_stereo_44KHz.wav
3	9	2	2	1	C	2	0	974	0	Ⴕ	cut_l_stereo_44KHz.wav
3	10	3	3	2	I	1	0	718	0	Ⴖ	cut_g_stereo_44KHz.wav
3	11	1	2	0	C	2	1	732	1	Ⴒ	cut_l_stereo_44KHz.wav
3	12	4	3	2	I	1	0	947	1	Ⴌ	cut_g_stereo_44KHz.wav
3	13	3	4	2	I	2	0	986	0	Ⴖ	cut_w_stereo_44KHz.wav
3	14	2	1	0	C	1	0	821	0	Ⴕ	cut_h_stereo_44KHz.wav
3	15	4	4	2	I	1	0	1210	1	Ⴌ	cut_w_stereo_44KHz.wav
3	16	1	1	1	C	1	1	1281	1	Ⴒ	cut_h_stereo_44KHz.wav
3	17	2	1	0	C	2	1	950	1	Ⴕ	cut_h_stereo_44KHz.wav
3	18	1	1	1	C	1	1	898	1	Ⴒ	cut_h_stereo_44KHz.wav
3	19	3	3	2	I	1	0	1146	0	Ⴖ	cut_g_stereo_44KHz.wav
3	20	4	4	2	I	1	0	1625	1	Ⴌ	cut_w_stereo_44KHz.wav
3	21	2	2	1	C	1	1	999	1	Ⴕ	cut_l_stereo_44KHz.wav
3	22	1	2	0	C	2	1	1110	1	Ⴒ	cut_l_stereo_44KHz.wav
3	23	4	3	2	I	1	0	985	1	Ⴌ	cut_g_stereo_44KHz.wav
3	24	3	4	2	I	1	0	861	0	Ⴖ	cut_w_stereo_44KHz.wav
3	25	1	2	0	C	2	1	987	1	Ⴒ	cut_l_stereo_44KHz.wav
3	26	3	4	2	I	2	0	965	1	Ⴖ	cut_w_stereo_44KHz.wav
3	27	2	2	1	C	1	1	1308	1	Ⴕ	cut_l_stereo_44KHz.wav
3	28	4	4	2	I	1	0	1157	0	Ⴌ	cut_w_stereo_44KHz.wav
3	29	3	3	2	I	1	0	946	0	Ⴖ	cut_g_stereo_44KHz.wav
3	30	4	3	2	I	2	0	1065	1	Ⴌ	cut_g_stereo_44KHz.wav
3	31	2	1	0	C	2	1	923	1	Ⴕ	cut_h_stereo_44KHz.wav
3	32	1	1	1	C	1	1	886	1	Ⴒ	cut_h_stereo_44KHz.wav
3	33	3	3	2	I	1	0	1084	1	Ⴖ	cut_g_stereo_44KHz.wav
3	34	4	4	2	I	1	0	953	1	Ⴌ	cut_w_stereo_44KHz.wav
3	35	1	1	1	C	1	1	1001	1	Ⴒ	cut_h_stereo_44KHz.wav
3	36	2	2	1	C	1	1	1007	1	Ⴕ	cut_l_stereo_44KHz.wav
3	37	1	2	0	C	2	1	736	1	Ⴒ	cut_l_stereo_44KHz.wav
3	38	4	3	2	I	1	0	1221	0	Ⴌ	cut_g_stereo_44KHz.wav
3	39	3	4	2	I	2	0	699	1	Ⴖ	cut_w_stereo_44KHz.wav
3	40	2	1	0	C	2	1	1150	1	Ⴕ	cut_h_stereo_44KHz.wav
3	41	4	4	2	I	1	0	827	0	Ⴌ	cut_w_stereo_44KHz.wav
3	42	3	4	2	I	2	0	708	0	Ⴖ	cut_w_stereo_44KHz.wav
3	43	2	1	0	C	2	1	1047	1	Ⴕ	cut_h_stereo_44KHz.wav
3	44	1	2	0	C	2	1	819	1	Ⴒ	cut_l_stereo_44KHz.wav
3	45	2	2	1	C	1	1	1666	1	Ⴕ	cut_l_stereo_44KHz.wav
3	46	4	3	2	I	2	0	903	0	Ⴌ	cut_g_stereo_44KHz.wav
3	47	3	3	2	I	1	0	1039	1	Ⴖ	cut_g_stereo_44KHz.wav
3	48	1	1	1	C	1	1	939	1	Ⴒ	cut_h_stereo_44KHz.wav
3	49	4	3	2	I	1	0	1048	1	Ⴌ	cut_g_stereo_44KHz.wav
3	50	3	4	2	I	2	0	974	0	Ⴖ	cut_w_stereo_44KHz.wav
3	51	1	2	0	C	2	1	1176	1	Ⴒ	cut_l_stereo_44KHz.wav
3	52	2	2	1	C	1	1	826	1	Ⴕ	cut_l_stereo_44KHz.wav
3	53	4	4	2	I	1	0	891	0	Ⴌ	cut_w_stereo_44KHz.wav
3	54	1	1	1	C	1	1	1005	1	Ⴒ	cut_h_stereo_44KHz.wav
3	55	3	3	2	I	1	0	900	0	Ⴖ	cut_g_stereo_44KHz.wav
3	56	2	1	0	C	2	1	1106	1	Ⴕ	cut_h_stereo_44KHz.wav
3	57	4	3	2	I	2	0	740	0	Ⴌ	cut_g_stereo_44KHz.wav
3	58	2	2	1	C	1	1	811	1	Ⴕ	cut_l_stereo_44KHz.wav
3	59	3	4	2	I	2	0	859	0	Ⴖ	cut_w_stereo_44KHz.wav
3	60	1	2	0	C	2	1	721	1	Ⴒ	cut_l_stereo_44KHz.wav
3	61	4	4	2	I	1	0	685	0	Ⴌ	cut_w_stereo_44KHz.wav
3	62	2	1	0	C	1	0	728	0	Ⴕ	cut_h_stereo_44KHz.wav
3	63	3	3	2	I	2	0	1165	0	Ⴖ	cut_g_stereo_44KHz.wav
3	64	1	1	1	C	1	1	926	1	Ⴒ	cut_h_stereo_44KHz.wav
3	65	3	3	2	I	2	0	1032	1	Ⴖ	cut_g_stereo_44KHz.wav
3	66	4	4	2	I	1	0	1230	1	Ⴌ	cut_w_stereo_44KHz.wav
3	67	1	2	0	C	2	1	765	1	Ⴒ	cut_l_stereo_44KHz.wav
3	68	2	2	1	C	1	1	819	1	Ⴕ	cut_l_stereo_44KHz.wav
3	69	3	4	2	I	1	0	891	1	Ⴖ	cut_w_stereo_44KHz.wav
3	70	2	1	0	C	2	1	1074	1	Ⴕ	cut_h_stereo_44KHz.wav
3	71	4	3	2	I	2	0	1284	1	Ⴌ	cut_g_stereo_44KHz.wav
3	72	1	1	1	C	1	1	788	1	Ⴒ	cut_h_stereo_44KHz.wav
3	73	2	2	1	C	1	1	1098	1	Ⴕ	cut_l_stereo_44KHz.wav
3	74	3	3	2	I	1	0	842	1	Ⴖ	cut_g_stereo_44KHz.wav
3	75	1	1	1	C	1	1	879	1	Ⴒ	cut_h_stereo_44KHz.wav
3	76	4	3	2	I	1	0	1299	0	Ⴌ	cut_g_stereo_44KHz.wav
3	77	3	4	2	I	1	0	925	1	Ⴖ	cut_w_stereo_44KHz.wav
3	78	2	1	0	C	1	0	934	0	Ⴕ	cut_h_stereo_44KHz.wav
3	79	1	2	0	C	2	1	730	1	Ⴒ	cut_l_stereo_44KHz.wav
3	80	4	4	2	I	1	0	873	0	Ⴌ	cut_w_stereo_44KHz.wav
3	81	3	4	2	I	1	0	901	0	Ⴖ	cut_w_stereo_44KHz.wav
3	82	4	3	2	I	2	0	1043	0	Ⴌ	cut_g_stereo_44KHz.wav
3	83	1	1	1	C	1	1	1150	1	Ⴒ	cut_h_stereo_44KHz.wav
3	84	2	1	0	C	1	0	905	0	Ⴕ	cut_h_stereo_44KHz.wav
3	85	1	2	0	C	2	1	753	1	Ⴒ	cut_l_stereo_44KHz.wav
3	86	4	4	2	I	1	0	1038	1	Ⴌ	cut_w_stereo_44KHz.wav
3	87	3	3	2	I	1	0	835	1	Ⴖ	cut_g_stereo_44KHz.wav
3	88	2	2	1	C	2	0	740	0	Ⴕ	cut_l_stereo_44KHz.wav
3	89	1	2	0	C	2	1	607	1	Ⴒ	cut_l_stereo_44KHz.wav
3	90	4	3	2	I	1	0	800	0	Ⴌ	cut_g_stereo_44KHz.wav
3	91	3	3	2	I	1	0	1341	0	Ⴖ	cut_g_stereo_44KHz.wav
3	92	2	1	0	C	2	1	803	1	Ⴕ	cut_h_stereo_44KHz.wav
3	93	1	1	1	C	1	1	781	1	Ⴒ	cut_h_stereo_44KHz.wav
3	94	2	2	1	C	1	1	867	1	Ⴕ	cut_l_stereo_44KHz.wav
3	95	4	4	2	I	2	0	851	1	Ⴌ	cut_w_stereo_44KHz.wav
3	96	3	4	2	I	1	0	559	1	Ⴖ	cut_w_stereo_44KHz.wav
3	97	1	2	0	C	2	1	391	1	Ⴒ	cut_l_stereo_44KHz.wav
3	98	2	1	0	C	2	1	897	1	Ⴕ	cut_h_stereo_44KHz.wav
3	99	4	3	2	I	1	0	736	0	Ⴌ	cut_g_stereo_44KHz.wav
3	100	3	3	2	I	2	0	950	1	Ⴖ	cut_g_stereo_44KHz.wav
3	101	4	4	2	I	1	0	855	1	Ⴌ	cut_w_stereo_44KHz.wav
3	102	1	1	1	C	1	1	1006	1	Ⴒ	cut_h_stereo_44KHz.wav
3	103	2	2	1	C	1	1	1031	1	Ⴕ	cut_l_stereo_44KHz.wav
3	104	3	4	2	I	1	0	934	0	Ⴖ	cut_w_stereo_44KHz.wav
3	105	4	4	2	I	1	0	809	0	Ⴌ	cut_w_stereo_44KHz.wav
3	106	3	3	2	I	1	0	787	0	Ⴖ	cut_g_stereo_44KHz.wav
3	107	1	1	1	C	1	1	979	1	Ⴒ	cut_h_stereo_44KHz.wav
3	108	2	2	1	C	1	1	889	1	Ⴕ	cut_l_stereo_44KHz.wav
3	109	4	3	2	I	1	0	923	0	Ⴌ	cut_g_stereo_44KHz.wav
3	110	1	2	0	C	2	1	617	1	Ⴒ	cut_l_stereo_44KHz.wav
3	111	3	4	2	I	1	0	918	1	Ⴖ	cut_w_stereo_44KHz.wav
3	112	2	1	0	C	1	0	733	0	Ⴕ	cut_h_stereo_44KHz.wav
3	113	4	3	2	I	1	0	750	0	Ⴌ	cut_g_stereo_44KHz.wav
3	114	1	2	0	C	2	1	733	1	Ⴒ	cut_l_stereo_44KHz.wav
3	115	2	1	0	C	1	0	580	0	Ⴕ	cut_h_stereo_44KHz.wav
3	116	3	3	2	I	2	0	661	1	Ⴖ	cut_g_stereo_44KHz.wav
3	117	1	1	1	C	1	1	466	1	Ⴒ	cut_h_stereo_44KHz.wav
3	118	3	4	2	I	1	0	795	1	Ⴖ	cut_w_stereo_44KHz.wav
3	119	2	2	1	C	1	1	733	1	Ⴕ	cut_l_stereo_44KHz.wav
3	120	4	4	2	I	1	0	1019	1	Ⴌ	cut_w_stereo_44KHz.wav
3	121	3	4	2	I	1	0	538	1	Ⴖ	cut_w_stereo_44KHz.wav
3	122	2	2	1	C	1	1	922	1	Ⴕ	cut_l_stereo_44KHz.wav
3	123	1	2	0	C	2	1	478	1	Ⴒ	cut_l_stereo_44KHz.wav
3	124	4	4	2	I	1	0	599	1	Ⴌ	cut_w_stereo_44KHz.wav
