block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
RL

0	1	2	3	1	C	0	0	0	0	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	2	2	4	0	C	2	1	1231	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	3	1	2	0	C	2	1	1134	1	Ⴋ	cut_g_stereo_44KHz.wav
0	4	1	1	1	C	1	1	818	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	5	1	2	0	C	2	1	1092	1	Ⴋ	cut_g_stereo_44KHz.wav
0	6	2	3	1	C	1	1	1060	1	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	7	2	4	0	C	2	1	1705	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	8	1	1	1	C	1	1	688	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	9	1	2	0	C	2	1	1155	1	Ⴋ	cut_g_stereo_44KHz.wav
0	10	2	3	1	C	1	1	1358	1	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	11	2	4	0	C	2	1	786	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	12	1	1	1	C	1	1	777	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	13	2	3	1	C	1	1	932	1	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	14	1	1	1	C	1	1	894	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	15	1	2	0	C	2	1	985	1	Ⴋ	cut_g_stereo_44KHz.wav
0	16	2	4	0	C	2	1	779	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	17	1	2	0	C	2	1	1214	1	Ⴋ	cut_g_stereo_44KHz.wav
0	18	2	4	0	C	2	1	882	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	19	2	3	1	C	1	1	1921	1	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	20	1	1	1	C	1	1	1538	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	21	1	1	1	C	1	1	1180	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	22	2	4	0	C	2	1	1024	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	23	1	2	0	C	2	1	1168	1	Ⴋ	cut_g_stereo_44KHz.wav
0	24	2	3	1	C	1	1	1006	1	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	25	2	4	0	C	2	1	744	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	26	1	1	1	C	1	1	1353	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	27	1	2	0	C	2	1	981	1	Ⴋ	cut_g_stereo_44KHz.wav
0	28	2	3	1	C	1	1	773	1	Ⴉ	cut_eeuw_stereo_44KHz.wav
0	29	2	4	0	C	2	1	709	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	30	2	3	1	C	1	1	1200	1	Ⴉ	cut_eeuw_stereo_44KHz.wav
avg_resp = 1072
1	1	3	3	2	I	0	0	0	0	Ⴉ	cut_s_stereo_44KHz.wav
1	2	4	3	2	I	2	0	608	1	Ⴒ	cut_s_stereo_44KHz.wav
1	3	2	1	0	C	2	1	1003	1	Ⴐ	cut_n_stereo_44KHz.wav
1	4	1	1	1	C	0	0	0	0	Ⴔ	cut_n_stereo_44KHz.wav
1	5	2	2	1	C	1	1	1233	1	Ⴐ	cut_j_stereo_44KHz.wav
1	6	4	4	2	I	2	0	1056	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	7	1	2	0	C	2	1	755	1	Ⴔ	cut_j_stereo_44KHz.wav
1	8	3	4	2	I	1	0	1290	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	9	4	3	2	I	2	0	1261	1	Ⴒ	cut_s_stereo_44KHz.wav
1	10	3	3	2	I	1	0	929	0	Ⴉ	cut_s_stereo_44KHz.wav
1	11	2	1	0	C	1	0	1056	0	Ⴐ	cut_n_stereo_44KHz.wav
1	12	1	2	0	C	2	1	1868	1	Ⴔ	cut_j_stereo_44KHz.wav
1	13	4	4	2	I	2	0	1328	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	14	2	2	1	C	1	1	863	1	Ⴐ	cut_j_stereo_44KHz.wav
1	15	1	1	1	C	1	1	1279	1	Ⴔ	cut_n_stereo_44KHz.wav
1	16	3	4	2	I	1	0	1755	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	17	4	3	2	I	2	0	1186	0	Ⴒ	cut_s_stereo_44KHz.wav
1	18	1	1	1	C	1	1	1266	1	Ⴔ	cut_n_stereo_44KHz.wav
1	19	3	3	2	I	2	0	1463	0	Ⴉ	cut_s_stereo_44KHz.wav
1	20	2	1	0	C	1	0	1588	0	Ⴐ	cut_n_stereo_44KHz.wav
1	21	3	4	2	I	1	0	1607	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	22	4	4	2	I	0	0	0	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	23	2	2	1	C	1	1	1313	1	Ⴐ	cut_j_stereo_44KHz.wav
1	24	1	2	0	C	2	1	962	1	Ⴔ	cut_j_stereo_44KHz.wav
1	25	4	4	2	I	1	0	881	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	26	1	1	1	C	1	1	1116	1	Ⴔ	cut_n_stereo_44KHz.wav
1	27	2	2	1	C	1	1	861	1	Ⴐ	cut_j_stereo_44KHz.wav
1	28	3	4	2	I	1	0	1463	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	29	4	3	2	I	1	0	1533	1	Ⴒ	cut_s_stereo_44KHz.wav
1	30	2	1	0	C	2	1	1561	1	Ⴐ	cut_n_stereo_44KHz.wav
1	31	3	3	2	I	2	0	1222	1	Ⴉ	cut_s_stereo_44KHz.wav
1	32	1	2	0	C	2	1	1484	1	Ⴔ	cut_j_stereo_44KHz.wav
1	33	2	2	1	C	1	1	607	1	Ⴐ	cut_j_stereo_44KHz.wav
1	34	1	1	1	C	1	1	1022	1	Ⴔ	cut_n_stereo_44KHz.wav
1	35	4	4	2	I	2	0	1258	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	36	3	3	2	I	2	0	1167	1	Ⴉ	cut_s_stereo_44KHz.wav
1	37	1	2	0	C	2	1	729	1	Ⴔ	cut_j_stereo_44KHz.wav
1	38	2	1	0	C	2	1	948	1	Ⴐ	cut_n_stereo_44KHz.wav
1	39	3	4	2	I	1	0	1518	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	40	4	3	2	I	1	0	1524	0	Ⴒ	cut_s_stereo_44KHz.wav
1	41	3	3	2	I	1	0	1046	1	Ⴉ	cut_s_stereo_44KHz.wav
1	42	4	3	2	I	2	0	904	0	Ⴒ	cut_s_stereo_44KHz.wav
1	43	2	2	1	C	1	1	1092	1	Ⴐ	cut_j_stereo_44KHz.wav
1	44	1	1	1	C	0	0	0	0	Ⴔ	cut_n_stereo_44KHz.wav
1	45	2	1	0	C	2	1	984	1	Ⴐ	cut_n_stereo_44KHz.wav
1	46	4	4	2	I	2	0	1113	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	47	3	4	2	I	2	0	864	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	48	1	2	0	C	2	1	768	1	Ⴔ	cut_j_stereo_44KHz.wav
1	49	3	4	2	I	1	0	1350	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	50	2	1	0	C	2	1	1025	1	Ⴐ	cut_n_stereo_44KHz.wav
1	51	4	4	2	I	1	0	1224	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	52	1	2	0	C	2	1	719	1	Ⴔ	cut_j_stereo_44KHz.wav
1	53	3	3	2	I	1	0	1120	0	Ⴉ	cut_s_stereo_44KHz.wav
1	54	2	2	1	C	1	1	1693	1	Ⴐ	cut_j_stereo_44KHz.wav
1	55	4	3	2	I	2	0	1184	0	Ⴒ	cut_s_stereo_44KHz.wav
1	56	1	1	1	C	1	1	1050	1	Ⴔ	cut_n_stereo_44KHz.wav
1	57	2	2	1	C	1	1	1066	1	Ⴐ	cut_j_stereo_44KHz.wav
1	58	3	3	2	I	1	0	1833	1	Ⴉ	cut_s_stereo_44KHz.wav
1	59	1	2	0	C	2	1	1342	1	Ⴔ	cut_j_stereo_44KHz.wav
1	60	4	4	2	I	2	0	1270	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	61	2	1	0	C	2	1	1749	1	Ⴐ	cut_n_stereo_44KHz.wav
1	62	1	1	1	C	1	1	908	1	Ⴔ	cut_n_stereo_44KHz.wav
1	63	3	4	2	I	2	0	1284	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	64	4	3	2	I	1	0	1468	0	Ⴒ	cut_s_stereo_44KHz.wav
1	65	2	2	1	C	1	1	1331	1	Ⴐ	cut_j_stereo_44KHz.wav
1	66	4	3	2	I	2	0	830	0	Ⴒ	cut_s_stereo_44KHz.wav
1	67	1	1	1	C	1	1	1180	1	Ⴔ	cut_n_stereo_44KHz.wav
1	68	3	3	2	I	2	0	1537	0	Ⴉ	cut_s_stereo_44KHz.wav
1	69	4	4	2	I	2	0	1515	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	70	3	4	2	I	2	0	1016	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	71	1	2	0	C	2	1	1263	1	Ⴔ	cut_j_stereo_44KHz.wav
1	72	2	1	0	C	2	1	994	1	Ⴐ	cut_n_stereo_44KHz.wav
1	73	3	4	2	I	1	0	1259	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	74	4	3	2	I	1	0	932	1	Ⴒ	cut_s_stereo_44KHz.wav
1	75	2	1	0	C	2	1	894	1	Ⴐ	cut_n_stereo_44KHz.wav
1	76	1	2	0	C	2	1	923	1	Ⴔ	cut_j_stereo_44KHz.wav
1	77	3	3	2	I	2	0	1216	0	Ⴉ	cut_s_stereo_44KHz.wav
1	78	2	2	1	C	1	1	1227	1	Ⴐ	cut_j_stereo_44KHz.wav
1	79	4	4	2	I	2	0	1103	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	80	1	1	1	C	1	1	1834	1	Ⴔ	cut_n_stereo_44KHz.wav
1	81	2	1	0	C	2	1	1527	1	Ⴐ	cut_n_stereo_44KHz.wav
1	82	3	3	2	I	2	0	1328	0	Ⴉ	cut_s_stereo_44KHz.wav
1	83	4	3	2	I	2	0	1220	1	Ⴒ	cut_s_stereo_44KHz.wav
1	84	1	1	1	C	1	1	1405	1	Ⴔ	cut_n_stereo_44KHz.wav
1	85	4	4	2	I	0	0	0	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	86	2	2	1	C	1	1	1350	1	Ⴐ	cut_j_stereo_44KHz.wav
1	87	1	2	0	C	2	1	721	1	Ⴔ	cut_j_stereo_44KHz.wav
1	88	3	4	2	I	2	0	941	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	89	1	1	1	C	1	1	1130	1	Ⴔ	cut_n_stereo_44KHz.wav
1	90	3	3	2	I	2	0	1788	1	Ⴉ	cut_s_stereo_44KHz.wav
1	91	2	1	0	C	1	0	741	0	Ⴐ	cut_n_stereo_44KHz.wav
1	92	4	4	2	I	0	0	0	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	93	1	2	0	C	2	1	772	1	Ⴔ	cut_j_stereo_44KHz.wav
1	94	2	2	1	C	1	1	875	1	Ⴐ	cut_j_stereo_44KHz.wav
1	95	4	3	2	I	2	0	1538	0	Ⴒ	cut_s_stereo_44KHz.wav
1	96	3	4	2	I	2	0	1091	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	97	4	4	2	I	1	0	1320	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	98	3	3	2	I	0	0	0	0	Ⴉ	cut_s_stereo_44KHz.wav
1	99	2	1	0	C	2	1	812	1	Ⴐ	cut_n_stereo_44KHz.wav
1	100	1	2	0	C	2	1	715	1	Ⴔ	cut_j_stereo_44KHz.wav
1	101	4	3	2	I	1	0	1228	1	Ⴒ	cut_s_stereo_44KHz.wav
1	102	1	1	1	C	2	0	783	0	Ⴔ	cut_n_stereo_44KHz.wav
1	103	3	4	2	I	2	0	1491	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	104	2	2	1	C	1	1	1301	1	Ⴐ	cut_j_stereo_44KHz.wav
1	105	3	3	2	I	0	0	0	0	Ⴉ	cut_s_stereo_44KHz.wav
1	106	2	2	1	C	1	1	806	1	Ⴐ	cut_j_stereo_44KHz.wav
1	107	1	2	0	C	2	1	1021	1	Ⴔ	cut_j_stereo_44KHz.wav
1	108	4	3	2	I	1	0	1115	0	Ⴒ	cut_s_stereo_44KHz.wav
1	109	3	4	2	I	2	0	1126	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	110	4	4	2	I	1	0	747	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	111	2	1	0	C	2	1	1020	1	Ⴐ	cut_n_stereo_44KHz.wav
1	112	1	1	1	C	1	1	765	1	Ⴔ	cut_n_stereo_44KHz.wav
1	113	3	3	2	I	1	0	1277	1	Ⴉ	cut_s_stereo_44KHz.wav
1	114	1	1	1	C	1	1	1503	1	Ⴔ	cut_n_stereo_44KHz.wav
1	115	4	3	2	I	2	0	946	0	Ⴒ	cut_s_stereo_44KHz.wav
1	116	2	1	0	C	2	1	1603	1	Ⴐ	cut_n_stereo_44KHz.wav
1	117	1	2	0	C	2	1	1019	1	Ⴔ	cut_j_stereo_44KHz.wav
1	118	3	4	2	I	2	0	1330	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	119	4	4	2	I	2	0	992	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	120	2	2	1	C	1	1	1271	1	Ⴐ	cut_j_stereo_44KHz.wav
1	121	3	4	2	I	2	0	1730	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	122	4	4	2	I	2	0	1193	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	123	1	1	1	C	0	0	0	0	Ⴔ	cut_n_stereo_44KHz.wav
1	124	2	2	1	C	1	1	837	1	Ⴐ	cut_j_stereo_44KHz.wav
1	125	1	2	0	C	1	0	1059	0	Ⴔ	cut_j_stereo_44KHz.wav
1	126	2	1	0	C	0	0	0	0	Ⴐ	cut_n_stereo_44KHz.wav
1	127	3	3	2	I	2	0	1463	1	Ⴉ	cut_s_stereo_44KHz.wav
1	128	4	3	2	I	1	0	742	1	Ⴒ	cut_s_stereo_44KHz.wav
1	129	2	1	0	C	2	1	1482	1	Ⴐ	cut_n_stereo_44KHz.wav
1	130	1	1	1	C	1	1	803	1	Ⴔ	cut_n_stereo_44KHz.wav
1	131	3	3	2	I	0	0	0	0	Ⴉ	cut_s_stereo_44KHz.wav
1	132	4	3	2	I	1	0	1591	1	Ⴒ	cut_s_stereo_44KHz.wav
1	133	1	2	0	C	2	1	945	1	Ⴔ	cut_j_stereo_44KHz.wav
1	134	3	4	2	I	1	0	1035	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	135	2	2	1	C	1	1	1291	1	Ⴐ	cut_j_stereo_44KHz.wav
1	136	4	4	2	I	2	0	998	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	137	3	3	2	I	1	0	1696	1	Ⴉ	cut_s_stereo_44KHz.wav
1	138	1	1	1	C	1	1	827	1	Ⴔ	cut_n_stereo_44KHz.wav
1	139	4	3	2	I	2	0	1635	0	Ⴒ	cut_s_stereo_44KHz.wav
1	140	2	1	0	C	2	1	961	1	Ⴐ	cut_n_stereo_44KHz.wav
1	141	4	4	2	I	0	0	0	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	142	3	4	2	I	1	0	1275	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	143	2	2	1	C	2	0	1107	0	Ⴐ	cut_j_stereo_44KHz.wav
1	144	1	2	0	C	2	1	686	1	Ⴔ	cut_j_stereo_44KHz.wav
1	145	4	3	2	I	1	0	1256	1	Ⴒ	cut_s_stereo_44KHz.wav
1	146	3	4	2	I	1	0	834	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	147	1	1	1	C	1	1	888	1	Ⴔ	cut_n_stereo_44KHz.wav
1	148	2	2	1	C	1	1	1072	1	Ⴐ	cut_j_stereo_44KHz.wav
1	149	1	2	0	C	2	1	777	1	Ⴔ	cut_j_stereo_44KHz.wav
1	150	2	1	0	C	2	1	1175	1	Ⴐ	cut_n_stereo_44KHz.wav
1	151	4	4	2	I	2	0	1505	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	152	3	3	2	I	2	0	1389	1	Ⴉ	cut_s_stereo_44KHz.wav
1	153	2	2	1	C	1	1	785	1	Ⴐ	cut_j_stereo_44KHz.wav
1	154	3	4	2	I	2	0	1705	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	155	1	1	1	C	1	1	1907	1	Ⴔ	cut_n_stereo_44KHz.wav
1	156	4	3	2	I	1	0	1094	0	Ⴒ	cut_s_stereo_44KHz.wav
1	157	3	3	2	I	2	0	1023	0	Ⴉ	cut_s_stereo_44KHz.wav
1	158	4	4	2	I	2	0	1154	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	159	1	2	0	C	2	1	1230	1	Ⴔ	cut_j_stereo_44KHz.wav
1	160	2	1	0	C	2	1	1446	1	Ⴐ	cut_n_stereo_44KHz.wav
1	161	3	4	2	I	1	0	1867	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	162	1	2	0	C	2	1	1219	1	Ⴔ	cut_j_stereo_44KHz.wav
1	163	4	4	2	I	2	0	1625	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	164	2	2	1	C	1	1	773	1	Ⴐ	cut_j_stereo_44KHz.wav
1	165	3	3	2	I	2	0	1252	0	Ⴉ	cut_s_stereo_44KHz.wav
1	166	4	3	2	I	2	0	852	1	Ⴒ	cut_s_stereo_44KHz.wav
1	167	1	1	1	C	1	1	1038	1	Ⴔ	cut_n_stereo_44KHz.wav
1	168	2	1	0	C	1	0	1151	0	Ⴐ	cut_n_stereo_44KHz.wav
1	169	1	1	1	C	1	1	1150	1	Ⴔ	cut_n_stereo_44KHz.wav
1	170	3	4	2	I	2	0	1661	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	171	4	4	2	I	2	0	1867	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	172	2	1	0	C	2	1	929	1	Ⴐ	cut_n_stereo_44KHz.wav
1	173	3	3	2	I	2	0	1415	1	Ⴉ	cut_s_stereo_44KHz.wav
1	174	1	2	0	C	2	1	683	1	Ⴔ	cut_j_stereo_44KHz.wav
1	175	4	3	2	I	1	0	1875	1	Ⴒ	cut_s_stereo_44KHz.wav
1	176	2	2	1	C	1	1	778	1	Ⴐ	cut_j_stereo_44KHz.wav
1	177	4	3	2	I	1	0	1396	0	Ⴒ	cut_s_stereo_44KHz.wav
1	178	1	2	0	C	2	1	822	1	Ⴔ	cut_j_stereo_44KHz.wav
1	179	2	1	0	C	2	1	1638	1	Ⴐ	cut_n_stereo_44KHz.wav
1	180	3	3	2	I	1	0	930	1	Ⴉ	cut_s_stereo_44KHz.wav
1	181	2	2	1	C	1	1	1201	1	Ⴐ	cut_j_stereo_44KHz.wav
1	182	1	1	1	C	1	1	1464	1	Ⴔ	cut_n_stereo_44KHz.wav
1	183	4	4	2	I	2	0	1653	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	184	3	4	2	I	2	0	1042	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	185	2	2	1	C	1	1	1911	1	Ⴐ	cut_j_stereo_44KHz.wav
1	186	3	3	2	I	2	0	1441	0	Ⴉ	cut_s_stereo_44KHz.wav
1	187	1	1	1	C	2	0	1269	0	Ⴔ	cut_n_stereo_44KHz.wav
1	188	4	3	2	I	1	0	1205	0	Ⴒ	cut_s_stereo_44KHz.wav
1	189	3	4	2	I	2	0	989	0	Ⴉ	cut_ui_stereo_44KHz.wav
1	190	1	2	0	C	2	1	716	1	Ⴔ	cut_j_stereo_44KHz.wav
1	191	2	1	0	C	2	1	932	1	Ⴐ	cut_n_stereo_44KHz.wav
1	192	4	4	2	I	0	0	0	0	Ⴒ	cut_ui_stereo_44KHz.wav
1	193	2	2	1	C	1	1	1129	1	Ⴐ	cut_j_stereo_44KHz.wav
1	194	1	1	1	C	1	1	1087	1	Ⴔ	cut_n_stereo_44KHz.wav
1	195	3	3	2	I	2	0	1266	1	Ⴉ	cut_s_stereo_44KHz.wav
1	196	4	3	2	I	1	0	1009	0	Ⴒ	cut_s_stereo_44KHz.wav
1	197	2	1	0	C	2	1	1008	1	Ⴐ	cut_n_stereo_44KHz.wav
1	198	3	4	2	I	1	0	1443	1	Ⴉ	cut_ui_stereo_44KHz.wav
1	199	4	4	2	I	2	0	1016	1	Ⴒ	cut_ui_stereo_44KHz.wav
1	200	1	2	0	C	2	1	770	1	Ⴔ	cut_j_stereo_44KHz.wav
2	1	3	3	2	I	0	0	0	0	Ⴡ	cut_a_stereo_44KHz.wav
2	2	4	3	2	I	2	0	539	1	Ⴇ	cut_a_stereo_44KHz.wav
2	3	1	2	0	C	2	1	629	1	Ⴜ	cut_k_stereo_44KHz.wav
2	4	2	1	0	C	2	1	727	1	Ⴁ	cut_u_stereo_44KHz.wav
2	5	1	1	1	C	1	1	985	1	Ⴜ	cut_u_stereo_44KHz.wav
2	6	3	4	2	I	2	0	1114	0	Ⴡ	cut_o_stereo_44KHz.wav
2	7	4	4	2	I	2	0	818	0	Ⴇ	cut_o_stereo_44KHz.wav
2	8	2	2	1	C	2	0	1040	0	Ⴁ	cut_k_stereo_44KHz.wav
2	9	3	4	2	I	1	0	1139	1	Ⴡ	cut_o_stereo_44KHz.wav
2	10	4	3	2	I	2	0	1416	1	Ⴇ	cut_a_stereo_44KHz.wav
2	11	1	1	1	C	2	0	1372	0	Ⴜ	cut_u_stereo_44KHz.wav
2	12	2	2	1	C	2	0	1176	0	Ⴁ	cut_k_stereo_44KHz.wav
2	13	3	3	2	I	2	0	1301	0	Ⴡ	cut_a_stereo_44KHz.wav
2	14	4	4	2	I	2	0	781	0	Ⴇ	cut_o_stereo_44KHz.wav
2	15	2	1	0	C	2	1	1444	1	Ⴁ	cut_u_stereo_44KHz.wav
2	16	1	2	0	C	0	0	0	0	Ⴜ	cut_k_stereo_44KHz.wav
2	17	3	3	2	I	2	0	626	0	Ⴡ	cut_a_stereo_44KHz.wav
2	18	1	1	1	C	2	0	1186	0	Ⴜ	cut_u_stereo_44KHz.wav
2	19	4	4	2	I	1	0	1305	0	Ⴇ	cut_o_stereo_44KHz.wav
2	20	2	2	1	C	1	1	1534	1	Ⴁ	cut_k_stereo_44KHz.wav
2	21	4	3	2	I	1	0	1565	0	Ⴇ	cut_a_stereo_44KHz.wav
2	22	2	1	0	C	2	1	1167	1	Ⴁ	cut_u_stereo_44KHz.wav
2	23	3	4	2	I	1	0	1149	1	Ⴡ	cut_o_stereo_44KHz.wav
2	24	1	2	0	C	2	1	1814	1	Ⴜ	cut_k_stereo_44KHz.wav
2	25	4	3	2	I	2	0	1092	0	Ⴇ	cut_a_stereo_44KHz.wav
2	26	1	1	1	C	1	1	1728	1	Ⴜ	cut_u_stereo_44KHz.wav
2	27	3	3	2	I	1	0	1153	0	Ⴡ	cut_a_stereo_44KHz.wav
2	28	2	1	0	C	2	1	1431	1	Ⴁ	cut_u_stereo_44KHz.wav
2	29	4	4	2	I	2	0	815	0	Ⴇ	cut_o_stereo_44KHz.wav
2	30	3	4	2	I	2	0	1293	0	Ⴡ	cut_o_stereo_44KHz.wav
2	31	2	2	1	C	1	1	1315	1	Ⴁ	cut_k_stereo_44KHz.wav
2	32	1	2	0	C	2	1	936	1	Ⴜ	cut_k_stereo_44KHz.wav
2	33	2	1	0	C	2	1	702	1	Ⴁ	cut_u_stereo_44KHz.wav
2	34	3	4	2	I	1	0	1031	0	Ⴡ	cut_o_stereo_44KHz.wav
2	35	4	4	2	I	1	0	1341	0	Ⴇ	cut_o_stereo_44KHz.wav
2	36	1	2	0	C	2	1	1058	1	Ⴜ	cut_k_stereo_44KHz.wav
2	37	3	3	2	I	1	0	989	1	Ⴡ	cut_a_stereo_44KHz.wav
2	38	1	1	1	C	1	1	1427	1	Ⴜ	cut_u_stereo_44KHz.wav
2	39	2	2	1	C	1	1	1000	1	Ⴁ	cut_k_stereo_44KHz.wav
2	40	4	3	2	I	2	0	956	1	Ⴇ	cut_a_stereo_44KHz.wav
2	41	2	2	1	C	2	0	1709	0	Ⴁ	cut_k_stereo_44KHz.wav
2	42	1	1	1	C	1	1	1247	1	Ⴜ	cut_u_stereo_44KHz.wav
2	43	3	3	2	I	1	0	1258	1	Ⴡ	cut_a_stereo_44KHz.wav
2	44	4	3	2	I	2	0	1177	1	Ⴇ	cut_a_stereo_44KHz.wav
2	45	1	2	0	C	2	1	895	1	Ⴜ	cut_k_stereo_44KHz.wav
2	46	2	1	0	C	2	1	752	1	Ⴁ	cut_u_stereo_44KHz.wav
2	47	4	4	2	I	2	0	855	1	Ⴇ	cut_o_stereo_44KHz.wav
2	48	3	4	2	I	1	0	854	1	Ⴡ	cut_o_stereo_44KHz.wav
2	49	4	4	2	I	2	0	1425	0	Ⴇ	cut_o_stereo_44KHz.wav
2	50	2	1	0	C	2	1	670	1	Ⴁ	cut_u_stereo_44KHz.wav
2	51	3	4	2	I	1	0	1116	0	Ⴡ	cut_o_stereo_44KHz.wav
2	52	1	2	0	C	2	1	885	1	Ⴜ	cut_k_stereo_44KHz.wav
2	53	4	3	2	I	2	0	1017	0	Ⴇ	cut_a_stereo_44KHz.wav
2	54	1	1	1	C	1	1	1497	1	Ⴜ	cut_u_stereo_44KHz.wav
2	55	2	2	1	C	2	0	703	0	Ⴁ	cut_k_stereo_44KHz.wav
2	56	3	3	2	I	1	0	1106	1	Ⴡ	cut_a_stereo_44KHz.wav
2	57	1	2	0	C	1	0	1235	0	Ⴜ	cut_k_stereo_44KHz.wav
2	58	4	4	2	I	2	0	1432	1	Ⴇ	cut_o_stereo_44KHz.wav
2	59	3	4	2	I	1	0	831	0	Ⴡ	cut_o_stereo_44KHz.wav
2	60	2	1	0	C	2	1	889	1	Ⴁ	cut_u_stereo_44KHz.wav
2	61	4	3	2	I	2	0	943	0	Ⴇ	cut_a_stereo_44KHz.wav
2	62	3	3	2	I	1	0	1243	1	Ⴡ	cut_a_stereo_44KHz.wav
2	63	1	1	1	C	1	1	918	1	Ⴜ	cut_u_stereo_44KHz.wav
2	64	2	2	1	C	1	1	1108	1	Ⴁ	cut_k_stereo_44KHz.wav
2	65	3	4	2	I	1	0	1265	0	Ⴡ	cut_o_stereo_44KHz.wav
2	66	4	3	2	I	2	0	1117	1	Ⴇ	cut_a_stereo_44KHz.wav
2	67	1	2	0	C	2	1	1198	1	Ⴜ	cut_k_stereo_44KHz.wav
2	68	2	1	0	C	2	1	771	1	Ⴁ	cut_u_stereo_44KHz.wav
2	69	4	4	2	I	2	0	1196	0	Ⴇ	cut_o_stereo_44KHz.wav
2	70	1	1	1	C	1	1	1572	1	Ⴜ	cut_u_stereo_44KHz.wav
2	71	3	3	2	I	1	0	1379	1	Ⴡ	cut_a_stereo_44KHz.wav
2	72	2	2	1	C	1	1	1249	1	Ⴁ	cut_k_stereo_44KHz.wav
2	73	1	2	0	C	2	1	963	1	Ⴜ	cut_k_stereo_44KHz.wav
2	74	4	3	2	I	1	0	937	0	Ⴇ	cut_a_stereo_44KHz.wav
2	75	2	1	0	C	2	1	761	1	Ⴁ	cut_u_stereo_44KHz.wav
2	76	3	4	2	I	2	0	1503	1	Ⴡ	cut_o_stereo_44KHz.wav
2	77	4	4	2	I	2	0	639	0	Ⴇ	cut_o_stereo_44KHz.wav
