block	trial	Vstim	Astim	match	C/I	resp	.result	RT	fb	V-file	A-file
LR

1	164	2	2	1	C	2	1	1342	1	Ⴜ	cut_f_stereo_44KHz.wav
1	165	3	3	2	I	1	0	1719	0	Ⴇ	cut_s_stereo_44KHz.wav
1	166	1	2	0	C	1	1	1229	1	Ⴃ	cut_f_stereo_44KHz.wav
1	167	4	4	2	I	2	0	1030	0	Ⴁ	cut_j_stereo_44KHz.wav
1	168	2	1	0	C	2	0	1033	0	Ⴜ	cut_n_stereo_44KHz.wav
1	169	4	3	2	I	2	0	1950	0	Ⴁ	cut_s_stereo_44KHz.wav
1	170	3	3	2	I	1	0	1363	0	Ⴇ	cut_s_stereo_44KHz.wav
1	171	1	2	0	C	1	1	784	1	Ⴃ	cut_f_stereo_44KHz.wav
1	172	2	2	1	C	2	1	1040	1	Ⴜ	cut_f_stereo_44KHz.wav
1	173	1	1	1	C	2	1	1076	1	Ⴃ	cut_n_stereo_44KHz.wav
1	174	4	4	2	I	1	0	1059	1	Ⴁ	cut_j_stereo_44KHz.wav
1	175	3	4	2	I	2	0	832	0	Ⴇ	cut_j_stereo_44KHz.wav
1	176	2	1	0	C	1	1	1664	1	Ⴜ	cut_n_stereo_44KHz.wav
1	177	4	4	2	I	1	0	730	1	Ⴁ	cut_j_stereo_44KHz.wav
1	178	2	2	1	C	2	1	1023	1	Ⴜ	cut_f_stereo_44KHz.wav
1	179	3	3	2	I	2	0	1569	0	Ⴇ	cut_s_stereo_44KHz.wav
1	180	1	1	1	C	2	1	944	1	Ⴃ	cut_n_stereo_44KHz.wav
1	181	4	3	2	I	2	0	1119	1	Ⴁ	cut_s_stereo_44KHz.wav
1	182	3	4	2	I	2	0	1206	0	Ⴇ	cut_j_stereo_44KHz.wav
1	183	1	2	0	C	1	1	797	1	Ⴃ	cut_f_stereo_44KHz.wav
1	184	2	1	0	C	1	1	1106	1	Ⴜ	cut_n_stereo_44KHz.wav
1	185	1	1	1	C	2	1	756	1	Ⴃ	cut_n_stereo_44KHz.wav
1	186	2	2	1	C	2	1	1196	1	Ⴜ	cut_f_stereo_44KHz.wav
1	187	4	4	2	I	1	0	987	0	Ⴁ	cut_j_stereo_44KHz.wav
1	188	3	3	2	I	0	0	0	0	Ⴇ	cut_s_stereo_44KHz.wav
1	189	2	1	0	C	1	1	1453	1	Ⴜ	cut_n_stereo_44KHz.wav
1	190	1	2	0	C	1	1	982	1	Ⴃ	cut_f_stereo_44KHz.wav
1	191	3	4	2	I	1	0	1303	0	Ⴇ	cut_j_stereo_44KHz.wav
1	192	4	3	2	I	1	0	1879	0	Ⴁ	cut_s_stereo_44KHz.wav
1	193	2	1	0	C	1	1	1071	1	Ⴜ	cut_n_stereo_44KHz.wav
1	194	1	2	0	C	1	1	627	1	Ⴃ	cut_f_stereo_44KHz.wav
1	195	3	4	2	I	2	0	1185	1	Ⴇ	cut_j_stereo_44KHz.wav
1	196	4	3	2	I	2	0	1008	0	Ⴁ	cut_s_stereo_44KHz.wav
1	197	1	1	1	C	2	1	1193	1	Ⴃ	cut_n_stereo_44KHz.wav
1	198	2	2	1	C	2	1	1062	1	Ⴜ	cut_f_stereo_44KHz.wav
1	199	4	4	2	I	1	0	1327	0	Ⴁ	cut_j_stereo_44KHz.wav
1	200	3	3	2	I	0	0	0	0	Ⴇ	cut_s_stereo_44KHz.wav
2	1	4	4	2	I	0	0	0	0	Ⴊ	cut_r_stereo_44KHz.wav
2	2	2	2	1	C	2	1	1486	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	3	1	2	0	C	1	1	920	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	4	3	3	2	I	2	0	1589	1	Ⴟ	cut_oei_stereo_44KHz.wav
2	5	1	1	1	C	1	0	810	0	Ⴡ	cut_ui_stereo_44KHz.wav
2	6	2	1	0	C	2	0	1392	0	Ⴂ	cut_ui_stereo_44KHz.wav
2	7	3	4	2	I	1	0	1281	1	Ⴟ	cut_r_stereo_44KHz.wav
2	8	4	3	2	I	2	0	1359	1	Ⴊ	cut_oei_stereo_44KHz.wav
2	9	3	3	2	I	2	0	935	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	10	2	1	0	C	1	1	1448	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	11	4	4	2	I	2	0	1159	1	Ⴊ	cut_r_stereo_44KHz.wav
2	12	1	1	1	C	1	0	1370	0	Ⴡ	cut_ui_stereo_44KHz.wav
2	13	3	4	2	I	1	0	714	1	Ⴟ	cut_r_stereo_44KHz.wav
2	14	1	2	0	C	1	1	816	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	15	2	2	1	C	2	1	983	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	16	4	3	2	I	2	0	1098	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	17	2	1	0	C	1	1	1383	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	18	4	4	2	I	2	0	1123	1	Ⴊ	cut_r_stereo_44KHz.wav
2	19	1	1	1	C	2	1	1040	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	20	3	4	2	I	1	0	857	1	Ⴟ	cut_r_stereo_44KHz.wav
2	21	2	2	1	C	2	1	958	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	22	4	3	2	I	1	0	856	1	Ⴊ	cut_oei_stereo_44KHz.wav
2	23	3	3	2	I	2	0	858	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	24	1	2	0	C	1	1	871	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	25	2	1	0	C	1	1	995	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	26	1	2	0	C	1	1	707	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	27	3	3	2	I	1	0	985	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	28	4	4	2	I	2	0	1018	0	Ⴊ	cut_r_stereo_44KHz.wav
2	29	1	1	1	C	2	1	907	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	30	3	4	2	I	1	0	945	1	Ⴟ	cut_r_stereo_44KHz.wav
2	31	2	2	1	C	2	1	908	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	32	4	3	2	I	1	0	1079	1	Ⴊ	cut_oei_stereo_44KHz.wav
2	33	1	1	1	C	2	1	946	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	34	2	1	0	C	1	1	840	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	35	3	4	2	I	2	0	1104	1	Ⴟ	cut_r_stereo_44KHz.wav
2	36	4	3	2	I	1	0	1043	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	37	2	2	1	C	2	1	938	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	38	4	4	2	I	1	0	943	1	Ⴊ	cut_r_stereo_44KHz.wav
2	39	1	2	0	C	1	1	868	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	40	3	3	2	I	1	0	757	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	41	1	1	1	C	2	1	1046	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	42	4	4	2	I	2	0	1231	0	Ⴊ	cut_r_stereo_44KHz.wav
2	43	2	2	1	C	2	1	948	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	44	3	3	2	I	1	0	940	1	Ⴟ	cut_oei_stereo_44KHz.wav
2	45	2	1	0	C	2	0	1584	0	Ⴂ	cut_ui_stereo_44KHz.wav
2	46	4	3	2	I	2	0	1254	1	Ⴊ	cut_oei_stereo_44KHz.wav
2	47	1	2	0	C	1	1	848	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	48	3	4	2	I	2	0	1185	1	Ⴟ	cut_r_stereo_44KHz.wav
2	49	1	2	0	C	1	1	741	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	50	4	3	2	I	2	0	1164	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	51	2	2	1	C	2	1	974	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	52	3	3	2	I	1	0	866	1	Ⴟ	cut_oei_stereo_44KHz.wav
2	53	2	1	0	C	1	1	1167	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	54	4	4	2	I	1	0	1005	1	Ⴊ	cut_r_stereo_44KHz.wav
2	55	3	4	2	I	1	0	1242	0	Ⴟ	cut_r_stereo_44KHz.wav
2	56	1	1	1	C	2	1	904	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	57	4	4	2	I	1	0	820	0	Ⴊ	cut_r_stereo_44KHz.wav
2	58	2	1	0	C	2	0	1034	0	Ⴂ	cut_ui_stereo_44KHz.wav
2	59	1	1	1	C	2	1	1150	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	60	3	4	2	I	1	0	815	1	Ⴟ	cut_r_stereo_44KHz.wav
2	61	4	3	2	I	0	0	0	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	62	3	3	2	I	1	0	727	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	63	2	2	1	C	2	1	1198	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	64	1	2	0	C	1	1	716	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	65	2	2	1	C	2	1	733	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	66	3	4	2	I	1	0	1743	1	Ⴟ	cut_r_stereo_44KHz.wav
2	67	4	3	2	I	1	0	775	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	68	1	1	1	C	2	1	1300	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	69	4	4	2	I	1	0	1171	1	Ⴊ	cut_r_stereo_44KHz.wav
2	70	2	1	0	C	1	1	1266	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	71	1	2	0	C	1	1	786	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	72	3	3	2	I	2	0	1156	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	73	1	2	0	C	1	1	921	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	74	4	4	2	I	1	0	1047	1	Ⴊ	cut_r_stereo_44KHz.wav
2	75	3	3	2	I	1	0	1022	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	76	2	2	1	C	2	1	1016	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	77	3	4	2	I	1	0	859	0	Ⴟ	cut_r_stereo_44KHz.wav
2	78	4	3	2	I	1	0	1008	1	Ⴊ	cut_oei_stereo_44KHz.wav
2	79	1	1	1	C	2	1	1243	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	80	2	1	0	C	1	1	961	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	81	4	4	2	I	1	0	1127	1	Ⴊ	cut_r_stereo_44KHz.wav
2	82	2	1	0	C	0	0	0	0	Ⴂ	cut_ui_stereo_44KHz.wav
2	83	1	2	0	C	1	1	790	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	84	3	4	2	I	1	0	964	0	Ⴟ	cut_r_stereo_44KHz.wav
2	85	1	1	1	C	2	1	1022	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	86	2	2	1	C	2	1	940	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	87	3	3	2	I	2	0	809	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	88	4	3	2	I	1	0	916	1	Ⴊ	cut_oei_stereo_44KHz.wav
2	89	2	1	0	C	1	1	1783	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	90	3	3	2	I	2	0	939	1	Ⴟ	cut_oei_stereo_44KHz.wav
2	91	1	1	1	C	2	1	1085	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	92	4	4	2	I	2	0	903	0	Ⴊ	cut_r_stereo_44KHz.wav
2	93	1	2	0	C	1	1	823	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	94	2	2	1	C	2	1	946	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	95	3	4	2	I	1	0	801	1	Ⴟ	cut_r_stereo_44KHz.wav
2	96	4	3	2	I	1	0	938	1	Ⴊ	cut_oei_stereo_44KHz.wav
2	97	3	3	2	I	2	0	886	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	98	1	2	0	C	1	1	922	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	99	4	3	2	I	2	0	1468	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	100	2	2	1	C	2	1	1109	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	101	1	1	1	C	2	1	877	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	102	4	4	2	I	1	0	1072	0	Ⴊ	cut_r_stereo_44KHz.wav
2	103	2	1	0	C	1	1	1122	1	Ⴂ	cut_ui_stereo_44KHz.wav
