subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-08,1,1,1,3,1,1,0.843,1,3,8100,8943,11847,0.5,0.418764755333521,0.350727840619087,0.5,0.5
biokurs19-08,1,2,7,3,3,2,0.915,1,7,17197,18112,20549,0.465,0.433421521770194,0.363003315040755,0.535,0.5
biokurs19-08,1,3,4,2,2,1,1.29,0,4,24329,25619,28621,-0.5,0.418764755333521,0.350727840619087,0.5,0.5
biokurs19-08,1,4,3,8,3,2,1.283,0,8,34088,35371,37747,-0.56755,0.4470523145563,0.374419506252906,0.56755,0.5
biokurs19-08,1,5,5,7,5,1,1.046,1,7,43039,44085,46915,0.5,0.433421521770194,0.363003315040755,0.5,0.535
biokurs19-08,1,6,6,2,2,2,1.2,1,6,51639,52839,55240,0.465,0.433421521770194,0.363003315040755,0.535,0.5
biokurs19-08,1,7,2,4,4,2,1.336,1,2,59869,61205,63890,0.465,0.461709080992973,0.386694980674574,0.535,0.56755
biokurs19-08,1,8,2,6,2,2,1.369,0,6,68775,70144,73272,-0.6072785,0.478345976575241,0.40062887169061,0.6072785,0.535
biokurs19-08,1,9,6,1,1,1,1.265,0,6,78160,79425,82017,-0.535,0.461709080992973,0.386694980674574,0.535,0.56755
biokurs19-08,1,10,5,8,5,2,1.762,0,8,87823,89585,91816,-0.535,0.448078288206867,0.375278789462423,0.535,0.535
biokurs19-08,1,11,6,4,4,2,1.16,1,6,97052,98212,100421,0.43245,0.488016511070158,0.408728229714026,0.56755,0.5978215
biokurs19-08,1,12,2,7,2,1,1.184,1,7,104951,106135,108412,0.350212005,0.511830194935508,0.428672892708953,0.649787995,0.57245
biokurs19-08,1,13,8,3,3,1,1.165,0,8,112627,113792,117157,-0.6072785,0.491976769361347,0.412045062902761,0.6072785,0.56755
biokurs19-08,1,14,1,7,1,2,1.495,0,7,121580,123075,125447,-0.57245,0.496224300274695,0.415602495390161,0.57245,0.6125215
biokurs19-08,1,15,4,8,4,1,0.806,1,8,130524,131330,134719,0.4021785,0.500693148361237,0.419345287541327,0.5978215,0.5978215
biokurs19-08,1,16,3,7,3,2,1.495,0,7,140029,141524,144060,-0.649787995,0.53996909057632,0.452240048205713,0.649787995,0.639644995
biokurs19-08,1,17,1,2,2,1,1.251,0,1,149244,150495,153282,-0.67430283535,0.538876677950063,0.451325120393397,0.67430283535,0.6125215
biokurs19-08,1,18,8,1,1,2,1.409,1,8,158297,159706,162271,0.360355005,0.535731614204748,0.448691036693767,0.639644995,0.639669005
biokurs19-08,1,19,5,3,5,2,0.862,0,3,167367,168229,171544,-0.57245,0.530877776687646,0.444625804533211,0.57245,0.69527315465
biokurs19-08,1,20,4,1,1,2,1.18,1,4,186382,187562,190669,0.33513015465,0.54055990497795,0.452734872702405,0.66486984535,0.625973995
biokurs19-08,1,21,2,3,2,1,1.076,1,3,195414,196490,198950,0.2784959661755,0.602228973092196,0.504384537143422,0.7215040338245,0.7166040338245
biokurs19-08,1,22,3,4,3,1,1.335,1,4,204907,206242,209284,0.233233683807785,0.601580064939832,0.503841057416105,0.766766316192215,0.66979217465
biokurs19-08,1,23,6,5,5,2,1.073,1,6,213608,214681,217609,0.3874785,0.524373250457283,0.439178071862374,0.6125215,0.639669005
biokurs19-08,1,24,8,4,4,1,0.635,0,8,222643,223278,226079,-0.7166776268755,0.586741123850917,0.491413006347089,0.7166776268755,0.68444583535
biokurs19-08,1,25,3,2,3,2,1.621,0,2,230963,232584,234857,-0.78309267405876,0.638235772911934,0.534541294577133,0.78309267405876,0.740998751456785
biokurs19-08,1,26,4,5,5,1,1.768,0,4,239146,240914,242385,-0.639644995,0.58898846407802,0.493295220107797,0.639644995,0.766845060756785
biokurs19-08,1,27,7,1,1,2,1.061,1,7,247095,248156,251442,0.3116710438245,0.56667196503844,0.474604493587376,0.6883289561755,0.66486984535
biokurs19-08,1,28,2,8,2,2,1.215,0,8,256322,257537,259973,-0.75912883885481,0.613768202627833,0.514048982409879,0.75912883885481,0.7065346268755
biokurs19-08,1,29,4,6,4,1,0.764,1,6,264540,265304,267685,0.21683409349619,0.614584072002013,0.514732297087604,0.78316590650381,0.68444583535
biokurs19-08,1,30,3,2,2,1,1.209,0,3,272468,273677,276359,-0.812267857574647,0.691035975542117,0.578763022449111,0.812267857574647,0.837909161242873
biokurs19-08,1,31,1,4,1,1,0.907,1,4,280700,281607,284896,0.289854070756785,0.631702538861017,0.529069518259396,0.710145929243215,0.798344293048543
biokurs19-08,1,32,1,5,5,1,1.635,0,1,289969,291604,293567,-0.68442014465,0.592491767561923,0.496229340160388,0.68442014465,0.73043571419619
biokurs19-08,1,33,3,4,4,2,0.81,1,3,297485,298295,302207,0.145771606438059,0.713359024258876,0.597459234517455,0.854228393561941,0.849255519955872
biokurs19-08,1,34,5,2,5,2,1.098,0,2,307802,308900,310813,-0.7323295547755,0.670633398016576,0.561675261677798,0.7323295547755,0.869126607604872
biokurs19-08,1,35,1,3,3,1,1.778,0,1,316211,317989,320773,-0.908703406352783,0.694315574327683,0.581509783215171,0.908703406352783,0.749305214202457
biokurs19-08,1,36,8,5,5,2,1.542,1,8,325079,326621,329453,0.216407376390215,0.632615280327556,0.529833966173232,0.783592623609785,0.727077202994215
biokurs19-08,1,37,1,4,4,2,1.061,1,1,334519,335580,339210,0.135567593987394,0.683125189546511,0.57213750572522,0.864432406012606,0.766853849208285
biokurs19-08,1,38,3,1,1,2,1.781,1,3,343672,345453,347291,0.179466381347135,0.7507808268644,0.628801098541938,0.820533618652865,0.972312644797478
biokurs19-08,1,39,3,1,3,1,1.016,1,1,352480,353496,356761,-0.0403745299333014,0.784543539210121,0.657078366491642,1.0403745299333,0.833096265347164
biokurs19-08,2,40,16,11,11,1,0.579,0,16,7920,8499,12186,-0.5,0.418764755333521,0.350727840619087,0.5,0.5
biokurs19-08,2,41,9,10,10,2,1.611,1,9,18129,19740,22330,0.5,0.418764755333521,0.350727840619087,0.5,0.5
biokurs19-08,2,42,15,9,9,1,1.326,0,15,26794,28120,31506,-0.535,0.433421521770194,0.363003315040755,0.535,0.5
biokurs19-08,2,43,12,13,13,1,1.555,0,12,36899,38454,40922,-0.5,0.418764755333521,0.350727840619087,0.5,0.5
biokurs19-08,2,44,11,10,10,2,1.117,1,11,45997,47114,50171,0.465,0.448078288206867,0.375278789462423,0.535,0.535
biokurs19-08,2,45,9,14,9,1,1.348,1,14,55473,56821,58910,0.42755,0.449104261857434,0.37613807267194,0.57245,0.5
biokurs19-08,2,46,12,11,12,2,1.567,0,11,63972,65539,67111,-0.535,0.463761028294108,0.388413547093608,0.535,0.57245
biokurs19-08,2,47,15,10,10,2,1.636,1,15,71420,73056,75369,0.43245,0.461709080992973,0.386694980674574,0.56755,0.535
biokurs19-08,2,48,13,16,13,2,1.435,0,16,79135,80570,83185,-0.535,0.448078288206867,0.375278789462423,0.535,0.535
biokurs19-08,2,49,14,11,11,1,1.023,0,14,88369,89392,92700,-0.6023785,0.476294029274107,0.398910305271577,0.6023785,0.535
biokurs19-08,2,50,14,10,10,2,1.217,1,14,98048,99265,102343,0.4021785,0.488016511070158,0.408728229714026,0.5978215,0.56755
