subjID,drift,alpha,alpha_mod,tau,drift_mod
biokurs19-01,1.3391595215288,1.58943640186275,0.0212983000289696,0.748087163397066,1.42331329822062
biokurs19-02,1.74207427348654,1.52123451446189,0.0210322008533794,0.860128774702598,1.61615414881305
biokurs19-03,1.01990471017999,1.55096178070372,0.0216539416319814,0.613521338608724,1.23817160692384
biokurs19-04,0.198307753860812,1.68221690671854,0.0220492569848566,0.601181024405289,0.542334404590024
biokurs19-05,1.38332055003708,1.6853617659233,0.021592211026298,0.589961259394285,1.43737699036852
biokurs19-06,0.427262371413256,1.63770478778576,0.0208126552878157,0.649943002041615,0.798729825596049
biokurs19-07,0.406997727056488,1.5587432689421,0.0210639664243793,0.743547844990917,0.777758329153827
biokurs19-08,0.465132042543562,1.68514880837851,0.0221499883809412,0.536740637768064,0.837529510667042
biokurs19-09,0.504533159853932,1.5733537496825,0.0209619111048393,0.749730876742424,0.868606463040858
biokurs19-10,0.709577471447052,1.63926693722349,0.0217601401281172,0.483761394103405,1.03391753091532
biokurs19-11,0.312028257917553,1.7254132517554,0.0210888475458667,0.50042804349152,0.685353258778495
biokurs19-12,0.985601570207082,1.67511451548906,0.0236144086706285,0.596567810486334,1.21437507897119
biokurs19-13,0.605476483573425,1.78968430655112,0.0232512530662807,0.568633934799391,0.952203513526925
biokurs19-14,0.978275066812245,1.68556493264515,0.0219639224576891,0.599683604157721,1.21065924882139
biokurs19-15,0.95751158461556,1.5572621620943,0.0215090882981854,0.60412216186517,1.19638254355183
biokurs19-16,0.593194659845487,1.68804130740782,0.0222402279130873,0.732660672144372,0.945031091633042
biokurs19-17,1.02554931471969,1.5505302212183,0.0221339954970367,0.497877955940786,1.23887803195893
