block	trial	Vstim	Astim	match	C/I	resp	.result	RT	fb	V-file	A-file
RL

4	191	3	3	2	I	2	0	1168	1	Ⴡ	cut_ui_stereo_44KHz.wav
4	192	4	4	2	I	1	0	791	0	Ⴜ	cut_n_stereo_44KHz.wav
4	193	3	3	2	I	2	0	1112	1	Ⴡ	cut_ui_stereo_44KHz.wav
4	194	1	1	1	C	1	1	925	1	Ⴟ	cut_s_stereo_44KHz.wav
4	195	4	3	2	I	1	0	960	0	Ⴜ	cut_ui_stereo_44KHz.wav
4	196	2	1	0	C	2	1	918	1	Ⴊ	cut_s_stereo_44KHz.wav
4	197	3	4	2	I	1	0	830	0	Ⴡ	cut_n_stereo_44KHz.wav
4	198	2	2	1	C	1	1	783	1	Ⴊ	cut_f_stereo_44KHz.wav
4	199	1	2	0	C	2	1	797	1	Ⴟ	cut_f_stereo_44KHz.wav
4	200	4	4	2	I	2	0	1302	1	Ⴜ	cut_n_stereo_44KHz.wav
