block	trial	Vstim	Astim	match	C/I	resp	.result	RT	fb	V-file	A-file
LR

2	67	3	3	2	I	1	0	852	1	Ⴏ	cut_l_stereo_44KHz.wav
2	68	4	4	2	I	1	0	1248	1	Ⴐ	cut_h_stereo_44KHz.wav
2	69	1	2	0	C	1	1	1176	1	Ⴖ	cut_g_stereo_44KHz.wav
2	70	4	3	2	I	1	0	778	0	Ⴐ	cut_l_stereo_44KHz.wav
2	71	3	4	2	I	1	0	681	1	Ⴏ	cut_h_stereo_44KHz.wav
2	72	2	1	0	C	2	0	810	0	Ⴌ	cut_w_stereo_44KHz.wav
2	73	1	1	1	C	2	1	882	1	Ⴖ	cut_w_stereo_44KHz.wav
2	74	2	2	1	C	2	1	924	1	Ⴌ	cut_g_stereo_44KHz.wav
2	75	3	4	2	I	1	0	1131	1	Ⴏ	cut_h_stereo_44KHz.wav
2	76	4	4	2	I	2	0	956	1	Ⴐ	cut_h_stereo_44KHz.wav
2	77	3	3	2	I	1	0	1215	1	Ⴏ	cut_l_stereo_44KHz.wav
2	78	1	2	0	C	1	1	821	1	Ⴖ	cut_g_stereo_44KHz.wav
2	79	2	1	0	C	2	0	1038	0	Ⴌ	cut_w_stereo_44KHz.wav
2	80	4	3	2	I	1	0	1137	1	Ⴐ	cut_l_stereo_44KHz.wav
2	81	3	4	2	I	1	0	1336	0	Ⴏ	cut_h_stereo_44KHz.wav
2	82	2	2	1	C	2	1	934	1	Ⴌ	cut_g_stereo_44KHz.wav
2	83	1	2	0	C	1	1	699	1	Ⴖ	cut_g_stereo_44KHz.wav
2	84	4	4	2	I	2	0	949	1	Ⴐ	cut_h_stereo_44KHz.wav
2	85	3	3	2	I	2	0	1163	0	Ⴏ	cut_l_stereo_44KHz.wav
2	86	2	1	0	C	1	1	1623	1	Ⴌ	cut_w_stereo_44KHz.wav
2	87	4	3	2	I	1	0	1173	1	Ⴐ	cut_l_stereo_44KHz.wav
2	88	1	1	1	C	2	1	969	1	Ⴖ	cut_w_stereo_44KHz.wav
2	89	2	1	0	C	2	0	753	0	Ⴌ	cut_w_stereo_44KHz.wav
2	90	4	4	2	I	2	0	1374	0	Ⴐ	cut_h_stereo_44KHz.wav
2	91	3	4	2	I	1	0	602	1	Ⴏ	cut_h_stereo_44KHz.wav
2	92	1	2	0	C	1	1	822	1	Ⴖ	cut_g_stereo_44KHz.wav
2	93	2	2	1	C	2	1	851	1	Ⴌ	cut_g_stereo_44KHz.wav
2	94	3	3	2	I	1	0	1148	1	Ⴏ	cut_l_stereo_44KHz.wav
2	95	1	1	1	C	2	1	1285	1	Ⴖ	cut_w_stereo_44KHz.wav
2	96	4	3	2	I	1	0	1015	1	Ⴐ	cut_l_stereo_44KHz.wav
2	97	1	1	1	C	2	1	839	1	Ⴖ	cut_w_stereo_44KHz.wav
2	98	3	3	2	I	1	0	1155	0	Ⴏ	cut_l_stereo_44KHz.wav
2	99	2	2	1	C	2	1	730	1	Ⴌ	cut_g_stereo_44KHz.wav
2	100	4	3	2	I	1	0	857	0	Ⴐ	cut_l_stereo_44KHz.wav
2	101	3	4	2	I	1	0	1016	0	Ⴏ	cut_h_stereo_44KHz.wav
2	102	4	4	2	I	2	0	1386	0	Ⴐ	cut_h_stereo_44KHz.wav
2	103	1	2	0	C	1	1	846	1	Ⴖ	cut_g_stereo_44KHz.wav
2	104	2	1	0	C	1	1	1477	1	Ⴌ	cut_w_stereo_44KHz.wav
2	105	1	1	1	C	2	1	894	1	Ⴖ	cut_w_stereo_44KHz.wav
2	106	2	1	0	C	1	1	1494	1	Ⴌ	cut_w_stereo_44KHz.wav
2	107	4	3	2	I	1	0	1055	1	Ⴐ	cut_l_stereo_44KHz.wav
2	108	3	4	2	I	1	0	1238	1	Ⴏ	cut_h_stereo_44KHz.wav
2	109	1	2	0	C	1	1	1367	1	Ⴖ	cut_g_stereo_44KHz.wav
2	110	4	4	2	I	1	0	1064	1	Ⴐ	cut_h_stereo_44KHz.wav
2	111	3	3	2	I	1	0	1338	0	Ⴏ	cut_l_stereo_44KHz.wav
2	112	2	2	1	C	2	1	939	1	Ⴌ	cut_g_stereo_44KHz.wav
2	113	3	3	2	I	1	0	904	1	Ⴏ	cut_l_stereo_44KHz.wav
2	114	1	1	1	C	2	1	989	1	Ⴖ	cut_w_stereo_44KHz.wav
2	115	2	1	0	C	1	1	1140	1	Ⴌ	cut_w_stereo_44KHz.wav
2	116	4	3	2	I	1	0	936	0	Ⴐ	cut_l_stereo_44KHz.wav
2	117	1	2	0	C	1	1	715	1	Ⴖ	cut_g_stereo_44KHz.wav
2	118	2	2	1	C	2	1	957	1	Ⴌ	cut_g_stereo_44KHz.wav
2	119	3	4	2	I	1	0	1200	0	Ⴏ	cut_h_stereo_44KHz.wav
2	120	4	4	2	I	2	0	998	0	Ⴐ	cut_h_stereo_44KHz.wav
2	121	1	1	1	C	2	1	1284	1	Ⴖ	cut_w_stereo_44KHz.wav
2	122	2	1	0	C	2	0	660	0	Ⴌ	cut_w_stereo_44KHz.wav
2	123	3	4	2	I	1	0	938	0	Ⴏ	cut_h_stereo_44KHz.wav
2	124	4	4	2	I	2	0	599	1	Ⴐ	cut_h_stereo_44KHz.wav
2	125	3	3	2	I	1	0	1056	1	Ⴏ	cut_l_stereo_44KHz.wav
2	126	4	3	2	I	1	0	819	1	Ⴐ	cut_l_stereo_44KHz.wav
2	127	2	2	1	C	2	1	1289	1	Ⴌ	cut_g_stereo_44KHz.wav
2	128	1	2	0	C	1	1	898	1	Ⴖ	cut_g_stereo_44KHz.wav
2	129	3	4	2	I	1	0	1149	1	Ⴏ	cut_h_stereo_44KHz.wav
2	130	2	2	1	C	2	1	1028	1	Ⴌ	cut_g_stereo_44KHz.wav
2	131	4	3	2	I	1	0	1295	1	Ⴐ	cut_l_stereo_44KHz.wav
2	132	1	2	0	C	1	1	1622	1	Ⴖ	cut_g_stereo_44KHz.wav
2	133	2	1	0	C	1	1	1249	1	Ⴌ	cut_w_stereo_44KHz.wav
2	134	1	1	1	C	2	1	924	1	Ⴖ	cut_w_stereo_44KHz.wav
2	135	3	3	2	I	1	0	689	1	Ⴏ	cut_l_stereo_44KHz.wav
2	136	4	4	2	I	2	0	962	0	Ⴐ	cut_h_stereo_44KHz.wav
2	137	3	3	2	I	1	0	878	1	Ⴏ	cut_l_stereo_44KHz.wav
2	138	1	2	0	C	1	1	845	1	Ⴖ	cut_g_stereo_44KHz.wav
2	139	4	3	2	I	1	0	865	1	Ⴐ	cut_l_stereo_44KHz.wav
2	140	2	2	1	C	2	1	748	1	Ⴌ	cut_g_stereo_44KHz.wav
2	141	3	4	2	I	2	0	988	0	Ⴏ	cut_h_stereo_44KHz.wav
2	142	4	4	2	I	2	0	1157	0	Ⴐ	cut_h_stereo_44KHz.wav
2	143	1	1	1	C	2	1	775	1	Ⴖ	cut_w_stereo_44KHz.wav
2	144	2	1	0	C	2	0	881	0	Ⴌ	cut_w_stereo_44KHz.wav
2	145	3	4	2	I	1	0	1019	0	Ⴏ	cut_h_stereo_44KHz.wav
2	146	4	3	2	I	1	0	992	0	Ⴐ	cut_l_stereo_44KHz.wav
2	147	2	2	1	C	2	1	792	1	Ⴌ	cut_g_stereo_44KHz.wav
2	148	1	1	1	C	2	1	723	1	Ⴖ	cut_w_stereo_44KHz.wav
2	149	2	1	0	C	2	0	893	0	Ⴌ	cut_w_stereo_44KHz.wav
2	150	1	2	0	C	1	1	1181	1	Ⴖ	cut_g_stereo_44KHz.wav
2	151	4	4	2	I	1	0	1862	0	Ⴐ	cut_h_stereo_44KHz.wav
2	152	3	3	2	I	2	0	1282	0	Ⴏ	cut_l_stereo_44KHz.wav
2	153	1	2	0	C	1	1	727	1	Ⴖ	cut_g_stereo_44KHz.wav
2	154	2	2	1	C	2	1	1344	1	Ⴌ	cut_g_stereo_44KHz.wav
2	155	3	3	2	I	1	0	1472	0	Ⴏ	cut_l_stereo_44KHz.wav
2	156	4	3	2	I	1	0	1798	0	Ⴐ	cut_l_stereo_44KHz.wav
2	157	1	1	1	C	2	1	1104	1	Ⴖ	cut_w_stereo_44KHz.wav
2	158	2	1	0	C	1	1	1452	1	Ⴌ	cut_w_stereo_44KHz.wav
2	159	3	4	2	I	1	0	995	1	Ⴏ	cut_h_stereo_44KHz.wav
2	160	4	4	2	I	2	0	1166	0	Ⴐ	cut_h_stereo_44KHz.wav
2	161	2	1	0	C	1	1	1068	1	Ⴌ	cut_w_stereo_44KHz.wav
2	162	3	3	2	I	1	0	1664	0	Ⴏ	cut_l_stereo_44KHz.wav
2	163	1	2	0	C	1	1	645	1	Ⴖ	cut_g_stereo_44KHz.wav
2	164	4	3	2	I	1	0	1349	1	Ⴐ	cut_l_stereo_44KHz.wav
2	165	2	2	1	C	2	1	1757	1	Ⴌ	cut_g_stereo_44KHz.wav
2	166	1	1	1	C	2	1	1597	1	Ⴖ	cut_w_stereo_44KHz.wav
2	167	4	4	2	I	2	0	1443	0	Ⴐ	cut_h_stereo_44KHz.wav
2	168	3	4	2	I	1	0	946	1	Ⴏ	cut_h_stereo_44KHz.wav
2	169	1	1	1	C	2	1	1426	1	Ⴖ	cut_w_stereo_44KHz.wav
2	170	3	4	2	I	1	0	1120	1	Ⴏ	cut_h_stereo_44KHz.wav
2	171	4	3	2	I	1	0	1383	0	Ⴐ	cut_l_stereo_44KHz.wav
2	172	2	1	0	C	2	0	1393	0	Ⴌ	cut_w_stereo_44KHz.wav
2	173	3	3	2	I	0	0	0	0	Ⴏ	cut_l_stereo_44KHz.wav
2	174	2	2	1	C	2	1	1363	1	Ⴌ	cut_g_stereo_44KHz.wav
2	175	1	2	0	C	1	1	947	1	Ⴖ	cut_g_stereo_44KHz.wav
2	176	4	4	2	I	0	0	0	0	Ⴐ	cut_h_stereo_44KHz.wav
2	177	1	2	0	C	1	1	669	1	Ⴖ	cut_g_stereo_44KHz.wav
2	178	3	3	2	I	2	0	1157	1	Ⴏ	cut_l_stereo_44KHz.wav
2	179	2	2	1	C	2	1	1190	1	Ⴌ	cut_g_stereo_44KHz.wav
2	180	4	3	2	I	1	0	1167	0	Ⴐ	cut_l_stereo_44KHz.wav
2	181	3	4	2	I	1	0	903	0	Ⴏ	cut_h_stereo_44KHz.wav
2	182	2	1	0	C	2	0	1294	0	Ⴌ	cut_w_stereo_44KHz.wav
2	183	1	1	1	C	2	1	735	1	Ⴖ	cut_w_stereo_44KHz.wav
2	184	4	4	2	I	2	0	1358	0	Ⴐ	cut_h_stereo_44KHz.wav
2	185	3	3	2	I	2	0	1812	0	Ⴏ	cut_l_stereo_44KHz.wav
2	186	1	1	1	C	2	1	1155	1	Ⴖ	cut_w_stereo_44KHz.wav
2	187	4	3	2	I	1	0	1432	1	Ⴐ	cut_l_stereo_44KHz.wav
2	188	2	2	1	C	2	1	1286	1	Ⴌ	cut_g_stereo_44KHz.wav
2	189	1	2	0	C	1	1	1405	1	Ⴖ	cut_g_stereo_44KHz.wav
2	190	4	4	2	I	2	0	1272	1	Ⴐ	cut_h_stereo_44KHz.wav
2	191	3	4	2	I	1	0	1456	0	Ⴏ	cut_h_stereo_44KHz.wav
2	192	2	1	0	C	2	0	979	0	Ⴌ	cut_w_stereo_44KHz.wav
2	193	4	3	2	I	1	0	1312	0	Ⴐ	cut_l_stereo_44KHz.wav
2	194	2	2	1	C	2	1	1018	1	Ⴌ	cut_g_stereo_44KHz.wav
2	195	3	4	2	I	1	0	1020	1	Ⴏ	cut_h_stereo_44KHz.wav
2	196	1	1	1	C	2	1	995	1	Ⴖ	cut_w_stereo_44KHz.wav
2	197	3	3	2	I	1	0	1116	0	Ⴏ	cut_l_stereo_44KHz.wav
2	198	2	1	0	C	2	0	1549	0	Ⴌ	cut_w_stereo_44KHz.wav
2	199	4	4	2	I	2	0	1414	1	Ⴐ	cut_h_stereo_44KHz.wav
2	200	1	2	0	C	1	1	943	1	Ⴖ	cut_g_stereo_44KHz.wav
3	1	2	2	1	C	1	0	903	0	Ⴟ	cut_a_stereo_44KHz.wav
3	2	4	3	2	I	1	0	530	0	Ⴜ	cut_k_stereo_44KHz.wav
3	3	1	1	1	C	1	0	518	0	Ⴇ	cut_o_stereo_44KHz.wav
3	4	3	3	2	I	1	0	442	1	Ⴃ	cut_k_stereo_44KHz.wav
3	5	4	4	2	I	1	0	380	0	Ⴜ	cut_u_stereo_44KHz.wav
3	6	1	2	0	C	1	1	474	1	Ⴇ	cut_a_stereo_44KHz.wav
3	7	2	1	0	C	1	1	487	1	Ⴟ	cut_o_stereo_44KHz.wav
3	8	3	4	2	I	1	0	414	1	Ⴃ	cut_u_stereo_44KHz.wav
3	9	1	1	1	C	2	1	1429	1	Ⴇ	cut_o_stereo_44KHz.wav
3	10	4	3	2	I	2	0	874	0	Ⴜ	cut_k_stereo_44KHz.wav
3	11	2	1	0	C	1	1	674	1	Ⴟ	cut_o_stereo_44KHz.wav
3	12	3	3	2	I	1	0	890	0	Ⴃ	cut_k_stereo_44KHz.wav
3	13	4	4	2	I	2	0	698	1	Ⴜ	cut_u_stereo_44KHz.wav
3	14	2	2	1	C	1	0	1117	0	Ⴟ	cut_a_stereo_44KHz.wav
3	15	1	2	0	C	1	1	833	1	Ⴇ	cut_a_stereo_44KHz.wav
3	16	3	4	2	I	1	0	537	0	Ⴃ	cut_u_stereo_44KHz.wav
3	17	1	2	0	C	1	1	550	1	Ⴇ	cut_a_stereo_44KHz.wav
3	18	2	1	0	C	1	1	720	1	Ⴟ	cut_o_stereo_44KHz.wav
3	19	3	3	2	I	2	0	1681	1	Ⴃ	cut_k_stereo_44KHz.wav
3	20	4	3	2	I	1	0	803	0	Ⴜ	cut_k_stereo_44KHz.wav
3	21	1	1	1	C	1	0	557	0	Ⴇ	cut_o_stereo_44KHz.wav
3	22	4	4	2	I	1	0	976	0	Ⴜ	cut_u_stereo_44KHz.wav
3	23	3	4	2	I	1	0	598	0	Ⴃ	cut_u_stereo_44KHz.wav
3	24	2	2	1	C	2	1	1178	1	Ⴟ	cut_a_stereo_44KHz.wav
3	25	3	4	2	I	1	0	993	0	Ⴃ	cut_u_stereo_44KHz.wav
3	26	1	1	1	C	2	1	1386	1	Ⴇ	cut_o_stereo_44KHz.wav
3	27	4	3	2	I	1	0	1011	0	Ⴜ	cut_k_stereo_44KHz.wav
3	28	2	1	0	C	1	1	1143	1	Ⴟ	cut_o_stereo_44KHz.wav
3	29	4	4	2	I	1	0	1124	0	Ⴜ	cut_u_stereo_44KHz.wav
3	30	2	2	1	C	2	1	1536	1	Ⴟ	cut_a_stereo_44KHz.wav
3	31	1	2	0	C	1	1	941	1	Ⴇ	cut_a_stereo_44KHz.wav
3	32	3	3	2	I	2	0	1336	0	Ⴃ	cut_k_stereo_44KHz.wav
3	33	1	1	1	C	2	1	1522	1	Ⴇ	cut_o_stereo_44KHz.wav
3	34	4	4	2	I	1	0	1301	0	Ⴜ	cut_u_stereo_44KHz.wav
3	35	2	2	1	C	2	1	897	1	Ⴟ	cut_a_stereo_44KHz.wav
3	36	3	3	2	I	1	0	985	1	Ⴃ	cut_k_stereo_44KHz.wav
3	37	2	1	0	C	1	1	1381	1	Ⴟ	cut_o_stereo_44KHz.wav
3	38	4	3	2	I	2	0	751	0	Ⴜ	cut_k_stereo_44KHz.wav
3	39	3	4	2	I	1	0	766	0	Ⴃ	cut_u_stereo_44KHz.wav
3	40	1	2	0	C	1	1	899	1	Ⴇ	cut_a_stereo_44KHz.wav
3	41	3	4	2	I	1	0	927	1	Ⴃ	cut_u_stereo_44KHz.wav
3	42	1	2	0	C	1	1	644	1	Ⴇ	cut_a_stereo_44KHz.wav
3	43	4	4	2	I	2	0	639	0	Ⴜ	cut_u_stereo_44KHz.wav
3	44	2	1	0	C	1	1	764	1	Ⴟ	cut_o_stereo_44KHz.wav
3	45	1	1	1	C	2	1	896	1	Ⴇ	cut_o_stereo_44KHz.wav
3	46	2	2	1	C	2	1	1027	1	Ⴟ	cut_a_stereo_44KHz.wav
3	47	3	3	2	I	1	0	996	0	Ⴃ	cut_k_stereo_44KHz.wav
3	48	4	3	2	I	1	0	1020	1	Ⴜ	cut_k_stereo_44KHz.wav
3	49	3	4	2	I	1	0	1029	1	Ⴃ	cut_u_stereo_44KHz.wav
3	50	2	2	1	C	2	1	1136	1	Ⴟ	cut_a_stereo_44KHz.wav
3	51	1	2	0	C	1	1	744	1	Ⴇ	cut_a_stereo_44KHz.wav
3	52	4	3	2	I	1	0	1142	1	Ⴜ	cut_k_stereo_44KHz.wav
3	53	2	1	0	C	1	1	1067	1	Ⴟ	cut_o_stereo_44KHz.wav
3	54	3	3	2	I	2	0	1317	0	Ⴃ	cut_k_stereo_44KHz.wav
3	55	1	1	1	C	2	1	1182	1	Ⴇ	cut_o_stereo_44KHz.wav
3	56	4	4	2	I	1	0	744	1	Ⴜ	cut_u_stereo_44KHz.wav
3	57	3	3	2	I	1	0	1465	1	Ⴃ	cut_k_stereo_44KHz.wav
3	58	1	1	1	C	2	1	1420	1	Ⴇ	cut_o_stereo_44KHz.wav
3	59	2	1	0	C	2	0	1571	0	Ⴟ	cut_o_stereo_44KHz.wav
3	60	4	4	2	I	2	0	1007	0	Ⴜ	cut_u_stereo_44KHz.wav
3	61	1	2	0	C	1	1	928	1	Ⴇ	cut_a_stereo_44KHz.wav
3	62	2	2	1	C	2	1	788	1	Ⴟ	cut_a_stereo_44KHz.wav
3	63	4	3	2	I	1	0	832	1	Ⴜ	cut_k_stereo_44KHz.wav
3	64	3	4	2	I	1	0	712	0	Ⴃ	cut_u_stereo_44KHz.wav
3	65	1	1	1	C	1	0	748	0	Ⴇ	cut_o_stereo_44KHz.wav
3	66	2	2	1	C	2	1	1030	1	Ⴟ	cut_a_stereo_44KHz.wav
3	67	3	3	2	I	1	0	790	1	Ⴃ	cut_k_stereo_44KHz.wav
3	68	4	4	2	I	2	0	951	0	Ⴜ	cut_u_stereo_44KHz.wav
3	69	2	1	0	C	1	1	958	1	Ⴟ	cut_o_stereo_44KHz.wav
3	70	3	4	2	I	1	0	1046	0	Ⴃ	cut_u_stereo_44KHz.wav
3	71	1	2	0	C	1	1	1004	1	Ⴇ	cut_a_stereo_44KHz.wav
3	72	4	3	2	I	1	0	842	0	Ⴜ	cut_k_stereo_44KHz.wav
3	73	3	3	2	I	1	0	950	0	Ⴃ	cut_k_stereo_44KHz.wav
3	74	2	1	0	C	0	0	0	0	Ⴟ	cut_o_stereo_44KHz.wav
3	75	1	1	1	C	2	1	1019	1	Ⴇ	cut_o_stereo_44KHz.wav
3	76	4	3	2	I	1	0	766	1	Ⴜ	cut_k_stereo_44KHz.wav
3	77	2	2	1	C	2	1	1033	1	Ⴟ	cut_a_stereo_44KHz.wav
3	78	3	4	2	I	1	0	1273	0	Ⴃ	cut_u_stereo_44KHz.wav
3	79	4	4	2	I	1	0	1217	0	Ⴜ	cut_u_stereo_44KHz.wav
3	80	1	2	0	C	1	1	843	1	Ⴇ	cut_a_stereo_44KHz.wav
3	81	2	1	0	C	1	1	1245	1	Ⴟ	cut_o_stereo_44KHz.wav
3	82	3	3	2	I	1	0	1001	0	Ⴃ	cut_k_stereo_44KHz.wav
3	83	1	1	1	C	2	1	994	1	Ⴇ	cut_o_stereo_44KHz.wav
3	84	4	3	2	I	1	0	1150	1	Ⴜ	cut_k_stereo_44KHz.wav
3	85	2	2	1	C	2	1	1012	1	Ⴟ	cut_a_stereo_44KHz.wav
3	86	4	4	2	I	2	0	894	1	Ⴜ	cut_u_stereo_44KHz.wav
