"subjID","block","trial","vStim1","vStim2","aStim","resp","RT","fb","iti","feedJitter","vSymbols","aFile","stimOnset","respOnset","feedbackOnset","response","vStimNassoc","assoc_active","assoc_inactive","deltas","drift"
"biokurs19-08",1,30,3,2,2,1,1.209,0,2760,1869,"21","s_alv_cut.wav",272468,273677,276359,1,3,0.812267857574647,0.837909161242873,0.685934902518294,"0.570249961219235"
"biokurs19-08",1,31,1,4,1,1,0.907,1,2316,2175,"03","s_palat_cut.wav",280700,281607,284896,2,4,0.710145929243215,0.798344293048543,0.627039451997071,"0.521287401867881"
"biokurs19-08",1,32,1,5,5,1,1.635,0,3052,1584,"04","t_sl_cut.wav",289969,291604,293567,1,1,0.68442014465,0.73043571419619,0.588118125842364,"0.488930271987425"
"biokurs19-08",1,33,3,4,4,2,0.81,1,1892,2704,"23","d_sh_retr_cut.wav",297485,298295,302207,2,3,0.854228393561941,0.849255519955872,0.708093167481892,"0.588671169543505"
"biokurs19-08",1,34,5,2,5,2,1.098,0,3569,998,"41","t_sl_cut.wav",307802,308900,310813,1,2,0.7323295547755,0.869126607604872,0.665682932257085,"0.553413545382005"
"biokurs19-08",1,35,1,3,3,1,1.778,0,3374,2549,"02","s_dent_cut.wav",316211,317989,320773,1,1,0.908703406352783,0.749305214202457,0.689190292039095,"0.572956319710653"
"biokurs19-08",1,36,8,5,5,2,1.542,1,2286,2358,"74","t_sl_cut.wav",325079,326621,329453,2,8,0.783592623609785,0.727077202994215,0.627945455810236,"0.522040605469892"
"biokurs19-08",1,37,1,4,4,2,1.061,1,3050,2675,"03","d_sh_retr_cut.wav",334519,335580,339210,2,1,0.864432406012606,0.766853849208285,0.67808251217569,"0.563721899632182"
"biokurs19-08",1,38,3,1,1,2,1.781,1,2443,1600,"20","s_palat_cut.wav",343672,345453,347291,2,3,0.820533618652865,0.972312644797478,0.745238730709829,"0.619552024144183"
"biokurs19-08",1,39,3,1,3,1,1.016,1,3162,2253,"20","s_dent_cut.wav",352480,353496,356761,2,1,1.0403745299333,0.833096265347164,0.77875221426392,"0.647413360004013"
"biokurs19-08",2,40,16,11,11,1,0.579,0,2863,2253,"hc","a_uml.wav",7920,8499,12186,1,16,0.5,0.5,0.415673527564831,"0.34556896303638"
"biokurs19-08",2,41,9,10,10,2,1.611,1,3929,2175,"ab","a_low.wav",18129,19740,22330,2,9,0.5,0.5,0.415673527564831,"0.34556896303638"
"biokurs19-08",2,42,15,9,9,1,1.326,0,2443,2675,"ga","u.wav",26794,28120,31506,1,15,0.535,0.5,0.4302221010296,"0.357663876742653"
"biokurs19-08",2,43,12,13,13,1,1.555,0,3374,2011,"de","i.wav",36899,38454,40922,1,12,0.5,0.5,0.415673527564831,"0.34556896303638"
"biokurs19-08",2,44,11,10,10,2,1.117,1,3050,2140,"cb","a_low.wav",45997,47114,50171,2,11,0.535,0.535,0.444770674494369,"0.369758790448927"
"biokurs19-08",2,45,9,14,9,1,1.348,1,3282,1421,"af","u.wav",55473,56821,58910,2,14,0.57245,0.5,0.445789074636902,"0.370605434408365"
"biokurs19-08",2,46,12,11,12,2,1.567,0,3052,1124,"dc","o.wav",63972,65539,67111,1,11,0.535,0.57245,0.460337648101672,"0.382700348114639"
"biokurs19-08",2,47,15,10,10,2,1.636,1,2286,1933,"gb","a_low.wav",71420,73056,75369,2,15,0.56755,0.535,0.458300847816604,"0.381007060195761"
"biokurs19-08",2,48,13,16,13,2,1.435,0,1752,2016,"eh","i.wav",79135,80570,83185,1,16,0.535,0.535,0.444770674494369,"0.369758790448927"
"biokurs19-08",2,49,14,11,11,1,1.023,0,3164,2304,"fc","a_uml.wav",88369,89392,92700,1,14,0.6023785,0.535,0.472778133271396,"0.393042708824873"
