subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-13,1,38,1,4,4,2,1.108,1,1,335879,336987,339403,0.146477759382303,0.826529261562228,0.790541829341166,0.853522240617697,0.874787621968416
biokurs19-13,1,39,3,1,1,2,1.003,1,3,344303,345306,348331,0.063977244493795,0.885535963885972,0.846979354989361,0.936022755506205,0.915672775715586
biokurs19-13,1,40,3,1,3,1,1.181,1,1,353346,354527,357554,0.0202301299843226,0.918330811483905,0.878346301108162,0.979769870015677,0.940501162620771
biokurs19-13,2,41,16,11,11,2,1.066,1,16,7369,8435,11945,0.5,0.478229789376699,0.457407462894564,0.5,0.5
biokurs19-13,2,42,9,10,10,2,1.308,1,9,16998,18306,20440,0.5,0.478229789376699,0.457407462894564,0.5,0.5
biokurs19-13,2,43,12,13,13,2,1.155,1,12,33173,34328,36792,0.5,0.478229789376699,0.457407462894564,0.5,0.5
biokurs19-13,2,44,11,10,10,1,0.826,0,11,41981,42807,45580,-0.535,0.511705874633068,0.489425985297183,0.535,0.535
biokurs19-13,2,45,9,14,9,1,1.41,1,14,50933,52343,55515,0.465,0.494967832004883,0.473416724095873,0.535,0.5
biokurs19-13,2,46,12,11,12,1,1.801,1,11,60600,62401,64591,0.465,0.527272254277279,0.504314598214401,0.535,0.56755
biokurs19-13,2,47,15,10,10,1,1.327,0,15,69304,70631,73485,-0.57245,0.512877537617041,0.490546633581275,0.57245,0.5
biokurs19-13,2,48,13,16,13,1,1.503,1,16,78570,80073,82107,0.465,0.511705874633068,0.489425985297183,0.535,0.535
biokurs19-13,2,49,14,11,11,2,1.347,1,14,87575,88922,91013,0.3927215,0.546271606464532,0.522486710604008,0.6072785,0.535
biokurs19-13,2,50,14,10,10,2,0.913,1,14,96188,97101,100084,0.3874785,0.566688670862391,0.542014807417366,0.6125215,0.57245
biokurs19-13,2,51,11,13,11,1,1.408,1,13,104983,106391,108208,0.365230995,0.574984764524752,0.549949685666966,0.634769005,0.56755
biokurs19-13,2,52,9,16,9,1,1.569,1,16,112993,114562,116748,0.43245,0.545181959889437,0.521444507699803,0.56755,0.57245
biokurs19-13,2,53,11,12,11,2,1.329,0,12,121210,122539,124370,-0.66033517465,0.587211268451641,0.561643842462505,0.66033517465,0.56755
biokurs19-13,2,54,12,14,12,2,1.321,0,14,129265,130586,133457,-0.5978215,0.578822077963562,0.553619920862195,0.5978215,0.6125215
biokurs19-13,2,55,12,10,10,2,0.92,1,12,138468,139388,141855,0.360355005,0.611806064766662,0.585167770985496,0.639644995,0.639669005
biokurs19-13,2,56,13,12,12,1,1.675,0,13,147140,148815,151516,-0.68444583535,0.617741056827187,0.59084435099161,0.68444583535,0.6072785
biokurs19-13,2,57,10,13,13,2,1.157,1,10,157629,158786,161959,0.365230995,0.621526013668656,0.594464509217801,0.634769005,0.66486984535
biokurs19-13,2,58,13,11,11,2,1.483,1,13,166492,167975,170509,0.2934413631245,0.653689339586153,0.625227430376159,0.7065586368755,0.66033517465
biokurs19-13,2,59,11,13,13,1,1.306,0,11,174279,175585,178312,-0.7065586368755,0.685618044280217,0.655765945817985,0.7065586368755,0.727099532294215
biokurs19-13,2,60,14,9,9,1,1.478,0,14,182429,183907,187149,-0.5978215,0.591793341264572,0.566026409894978,0.5978215,0.639644995
biokurs19-13,2,61,12,15,12,1,1.429,1,15,191359,192788,195006,0.2676429561755,0.606087892133267,0.57969856999732,0.7323570438245,0.535
biokurs19-13,2,62,11,16,11,1,1.728,1,16,199888,201616,203764,0.25379743496638,0.64978232344208,0.621490527360816,0.74620256503362,0.6125215
biokurs19-13,2,63,9,13,9,1,1.096,1,13,209359,210455,213361,0.360330995,0.667458978793879,0.638397533692367,0.639669005,0.756017741456785
biokurs19-13,2,64,10,11,10,1,0.796,1,11,218746,219542,222691,0.2885892654755,0.705570245811137,0.674849420089452,0.7114107345245,0.763968385481267
biokurs19-13,2,65,13,10,13,2,0.721,0,10,226980,227701,230591,-0.80893898335876,0.736737364217366,0.704659509031231,0.80893898335876,0.731611983107785
biokurs19-13,2,66,16,10,10,2,1.573,1,16,235165,236738,239046,0.24960085570976,0.672294074611435,0.643022107401259,0.75039914429024,0.655398005
biokurs19-13,2,67,11,9,9,2,1.063,1,11,243781,244844,248165,0.33510782535,0.708898355525789,0.678032622505173,0.66489217465,0.817446172464955
biokurs19-13,2,68,14,13,13,2,1.8,1,14,253233,255033,256907,0.134435287806127,0.731899396109028,0.700032188092307,0.865564712193873,0.66486984535
biokurs19-13,2,69,9,11,9,1,1.655,1,11,262010,263665,266288,0.3116502775755,0.747481351419211,0.714935698504439,0.6883497224245,0.874667404537502
biokurs19-13,2,70,12,10,12,1,1.739,1,10,270601,272340,273950,0.248907949243215,0.726413477484109,0.694785128675242,0.751092050756785,0.767871204189923
biokurs19-13,2,71,13,15,13,1,1.906,1,15,278662,280568,282511,0.125024817659698,0.692201840089133,0.662063080383979,0.874975182340302,0.57245
biokurs19-13,2,72,14,12,12,2,1.425,1,14,287749,289174,292025,0.23148439279619,0.707744862697758,0.676929353240779,0.76851560720381,0.7114107345245
biokurs19-13,2,73,10,16,10,1,0.738,1,16,297969,298707,300993,0.178377811516782,0.728295215526845,0.696584935050921,0.821622188483218,0.70127586535
biokurs19-13,2,74,16,12,12,2,1.87,1,16,306299,308169,310575,0.215280485300457,0.734123228272531,0.70215919366663,0.784719514699543,0.7503651759245
biokurs19-13,2,75,13,14,13,1,1.194,1,14,315473,316667,320192,0.116273080423519,0.786657590748792,0.752406187870753,0.883726919576481,0.761209485941215
biokurs19-13,2,76,9,11,11,2,1.595,1,9,324534,326129,328566,0.0641058771448726,0.787194623286764,0.752919837785798,0.935894122855127,0.710165241854785
biokurs19-13,2,77,9,10,9,1,1.029,1,10,333641,334670,338157,0.24012319121538,0.762291323189039,0.729100837864759,0.75987680878462,0.834108635289393
biokurs19-13,2,78,11,14,11,1,1.564,1,14,342571,344135,347091,0.0596184657447315,0.839233828843172,0.802693234410942,0.940381534255268,0.8144941499571
biokurs19-13,2,79,10,12,12,2,1.428,1,10,352904,354332,356786,0.200210851329425,0.809301284874252,0.774063966015411,0.799789148670575,0.89249623975965
biokurs19-13,3,80,20,19,20,2,1.603,0,19,7348,8951,11508,-0.5,0.478229789376699,0.457407462894564,0.5,0.5
