block	trial	Vstim	Astim	match	resp	result	RT	fb	V-file	A-file
LR

2	41	3	2	0	1	1	1493	1	Ⴟ	DEU_r_1.wav
2	42	1	3	0	2	0	978	0	Ⴡ	DEU_g.wav
2	43	3	3	1	2	1	1505	1	Ⴟ	DEU_g.wav
2	44	1	3	0	2	0	1533	0	Ⴡ	DEU_g.wav
2	45	2	1	0	1	1	1168	1	Ⴃ	DEU_n.wav
2	46	1	1	1	2	1	1715	1	Ⴡ	DEU_n.wav
2	47	3	2	0	1	1	990	1	Ⴟ	DEU_r_1.wav
2	48	1	3	0	1	1	1050	1	Ⴡ	DEU_g.wav
3	1	2	2	1	1	0	1191	0	Ⴊ	DEU_e_1.wav
3	2	3	3	1	1	0	1279	0	Ⴇ	DEU_l_1.wav
3	3	1	1	1	1	0	1446	0	Ⴢ	DEU_i_1.wav
3	4	1	1	1	1	0	850	0	Ⴢ	DEU_i_1.wav
3	5	2	2	1	1	0	1474	0	Ⴊ	DEU_e_1.wav
3	6	2	1	0	2	0	1723	0	Ⴊ	DEU_i_1.wav
3	7	1	3	0	1	1	1816	1	Ⴢ	DEU_l_1.wav
3	8	3	3	1	1	0	1439	0	Ⴇ	DEU_l_1.wav
3	9	2	1	0	1	1	1376	1	Ⴊ	DEU_i_1.wav
3	10	1	3	0	0	0	0	0	Ⴢ	DEU_l_1.wav
3	11	3	3	1	1	0	1351	0	Ⴇ	DEU_l_1.wav
3	12	3	2	0	1	1	1423	1	Ⴇ	DEU_e_1.wav
3	13	1	3	0	0	0	0	0	Ⴢ	DEU_l_1.wav
3	14	1	3	0	0	0	0	0	Ⴢ	DEU_l_1.wav
3	15	1	1	1	1	0	1030	0	Ⴢ	DEU_i_1.wav
3	16	3	2	0	1	1	1030	1	Ⴇ	DEU_e_1.wav
3	17	1	3	0	1	1	1163	1	Ⴢ	DEU_l_1.wav
3	18	1	3	0	1	1	949	1	Ⴢ	DEU_l_1.wav
3	19	3	2	0	2	0	1280	0	Ⴇ	DEU_e_1.wav
3	20	1	1	1	1	0	1137	0	Ⴢ	DEU_i_1.wav
3	21	2	1	0	1	1	865	1	Ⴊ	DEU_i_1.wav
3	22	1	3	0	1	1	1045	1	Ⴢ	DEU_l_1.wav
3	23	3	2	0	0	0	0	0	Ⴇ	DEU_e_1.wav
3	24	3	2	0	1	1	881	1	Ⴇ	DEU_e_1.wav
3	25	3	2	0	1	1	1067	1	Ⴇ	DEU_e_1.wav
3	26	3	3	1	2	1	1204	1	Ⴇ	DEU_l_1.wav
3	27	1	3	0	1	1	1018	1	Ⴢ	DEU_l_1.wav
3	28	2	2	1	2	1	1236	1	Ⴊ	DEU_e_1.wav
3	29	1	1	1	1	0	1070	0	Ⴢ	DEU_i_1.wav
3	30	2	2	1	2	1	1399	1	Ⴊ	DEU_e_1.wav
3	31	2	1	0	1	1	830	1	Ⴊ	DEU_i_1.wav
3	32	2	2	1	1	0	1849	0	Ⴊ	DEU_e_1.wav
3	33	1	1	1	2	1	1601	1	Ⴢ	DEU_i_1.wav
3	34	2	2	1	2	1	1207	1	Ⴊ	DEU_e_1.wav
3	35	2	1	0	1	1	1512	1	Ⴊ	DEU_i_1.wav
3	36	1	1	1	1	0	1209	0	Ⴢ	DEU_i_1.wav
3	37	3	2	0	1	1	1763	1	Ⴇ	DEU_e_1.wav
3	38	2	2	1	2	1	1136	1	Ⴊ	DEU_e_1.wav
3	39	2	1	0	1	1	892	1	Ⴊ	DEU_i_1.wav
3	40	3	3	1	2	1	1440	1	Ⴇ	DEU_l_1.wav
3	41	2	1	0	1	1	1317	1	Ⴊ	DEU_i_1.wav
3	42	3	3	1	2	1	1304	1	Ⴇ	DEU_l_1.wav
3	43	3	3	1	2	1	1076	1	Ⴇ	DEU_l_1.wav
3	44	3	2	0	2	0	1151	0	Ⴇ	DEU_e_1.wav
3	45	2	2	1	2	1	1021	1	Ⴊ	DEU_e_1.wav
3	46	3	3	1	2	1	1116	1	Ⴇ	DEU_l_1.wav
3	47	1	1	1	1	0	1203	0	Ⴢ	DEU_i_1.wav
3	48	2	1	0	1	1	667	1	Ⴊ	DEU_i_1.wav
