block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	1	4	4	1	1373	0	3054	930	eh	norm_k.wav	8136	9509	11081
2	2	4	3	4	0	0	2	3266	1727	hg	norm_k.wav	16369	0	20127
2	3	4	2	4	1	1213	1	2776	2052	hf	norm_k.wav	24928	26141	29021
2	4	2	4	2	1	1451	1	2538	1902	fh	norm_au.wav	33597	35048	37529
2	5	4	2	2	2	1657	1	2542	1417	hf	norm_au.wav	42098	43755	45542
2	6	1	3	1	1	1555	1	1943	1033	eg	norm_e.wav	49517	51072	52571
2	7	1	3	3	0	0	2	3058	1901	eg	norm_f.wav	57672	0	61599
2	8	3	4	3	2	1363	0	2656	1699	gh	norm_f.wav	66266	67629	69984
2	9	2	1	1	2	1562	1	2496	3292	fe	norm_e.wav	74497	76059	79808
2	10	4	3	3	2	1644	1	2744	2855	hg	norm_f.wav	84576	86220	89451
2	11	4	1	1	2	1626	1	1969	1597	he	norm_e.wav	93437	95063	97047
2	12	3	1	1	1	1203	0	2516	2050	ge	norm_e.wav	101575	102778	105642
2	13	1	4	1	1	1568	1	2685	1555	eh	norm_e.wav	110349	111917	113929
2	14	3	2	2	0	0	2	1754	2369	gf	norm_au.wav	117702	0	122086
2	15	4	3	4	1	1188	1	2128	2793	hg	norm_k.wav	126236	127424	131061
2	16	2	3	3	2	1199	1	2068	2093	fg	norm_f.wav	135154	136353	139268
2	17	3	4	4	2	1875	1	2484	1019	gh	norm_k.wav	143766	145641	146798
2	18	1	2	1	1	1238	1	2117	1426	ef	norm_e.wav	150937	152175	154387
2	19	2	4	2	0	0	2	2403	1396	fh	norm_au.wav	158814	0	162233
2	20	3	2	3	2	1271	0	2813	1580	gf	norm_f.wav	167064	168335	170666
2	21	2	4	2	1	909	1	2417	2098	fh	norm_au.wav	175094	176003	179237
2	22	3	2	2	2	1394	1	2411	2709	gf	norm_au.wav	183675	185069	188399
2	23	1	2	2	2	1621	1	3675	1780	ef	norm_au.wav	194095	195716	197906
2	24	1	3	3	0	0	2	2401	1463	eg	norm_f.wav	202332	0	205820
2	25	4	1	4	0	0	2	2379	2145	he	norm_k.wav	210221	0	214378
2	26	4	2	4	2	1199	0	1798	2107	hf	norm_k.wav	218191	219390	222322
2	27	1	2	1	1	1321	1	2659	2244	ef	norm_e.wav	226999	228320	231259
2	28	4	1	1	2	965	1	2192	2480	he	norm_e.wav	235474	236439	239993
2	29	3	2	3	1	1831	1	3272	2718	gf	norm_f.wav	245283	247114	250027
2	30	2	4	4	2	1767	1	1788	1102	fh	norm_k.wav	253826	255593	256944
2	31	2	3	2	1	1153	1	2448	2348	fg	norm_au.wav	261420	262573	265781
2	32	1	4	4	2	1861	1	2944	2062	eh	norm_k.wav	270751	272612	274846
2	33	2	4	4	2	1357	1	2387	2420	fh	norm_k.wav	279261	280618	283702
2	34	3	2	2	0	0	2	1892	1958	gf	norm_au.wav	287619	0	291596
2	35	1	2	1	1	1084	1	1955	2677	ef	norm_e.wav	295576	296660	300279
2	36	2	4	2	1	1313	1	3046	2151	fh	norm_au.wav	305342	306655	309514
2	37	1	3	1	0	0	2	2115	2417	eg	norm_e.wav	313656	0	318100
2	38	4	3	3	2	1717	1	2067	1666	hg	norm_f.wav	322195	323912	325882
2	39	2	3	3	0	0	2	2874	1878	fg	norm_f.wav	330771	0	334681
2	40	1	3	3	2	1356	1	3050	2361	eg	norm_f.wav	339747	341103	344124
