block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	2	3	3	1	1830	0	2874	2709	bc	norm_a.wav	7937	9767	12665
1	2	4	3	3	0	0	2	2659	2050	dc	norm_a.wav	17345	0	21411
1	3	3	1	3	1	1593	1	2401	1463	ca	norm_a.wav	25834	27427	29322
1	4	4	3	4	0	0	2	2387	1417	dc	norm_o.wav	33749	0	37187
1	5	2	1	1	1	1370	0	3058	1780	ba	norm_d.wav	42278	43648	46101
1	6	3	4	4	1	1682	0	2192	2793	cd	norm_o.wav	50318	52000	55132
1	7	4	2	4	0	0	2	2117	2244	db	norm_o.wav	59274	0	63543
1	8	4	1	1	0	0	2	3675	2098	da	norm_d.wav	69241	0	73353
1	9	3	2	2	2	1401	1	2067	2062	cb	norm_s.wav	77465	78866	81548
1	10	2	3	2	0	0	2	2944	2420	bc	norm_s.wav	86519	0	90955
1	11	1	3	1	0	0	2	2542	1901	ac	norm_d.wav	95522	0	99450
1	12	4	1	1	0	0	2	1955	1727	da	norm_d.wav	103415	0	107169
1	13	3	1	1	2	1436	1	2448	2361	ca	norm_d.wav	111642	113078	116016
1	14	4	1	4	1	1844	1	2417	2677	da	norm_o.wav	120446	122290	125150
1	15	2	3	3	0	0	2	1798	1033	bc	norm_a.wav	128965	0	132022
1	16	2	3	2	1	1546	1	2115	2480	bc	norm_s.wav	136162	137708	140669
1	17	3	2	2	2	1786	1	1788	2369	cb	norm_s.wav	144475	146261	148860
1	18	1	3	3	1	1728	0	3050	1396	ac	norm_a.wav	153933	155661	157345
1	19	3	1	1	0	0	2	2685	1555	ca	norm_d.wav	162048	0	165629
1	20	2	4	4	2	1536	1	1754	1597	bd	norm_o.wav	169402	170938	173013
1	21	3	2	2	0	0	2	2776	1019	cb	norm_s.wav	177801	0	180844
1	22	1	2	2	0	0	2	2744	2145	ab	norm_s.wav	185609	0	189774
1	23	2	3	2	1	1147	1	2813	2093	bc	norm_s.wav	194603	195750	198718
1	24	2	3	3	0	0	2	2496	3292	bc	norm_a.wav	203228	0	208557
1	25	3	4	3	0	0	2	2656	2855	cd	norm_a.wav	213237	0	218129
1	26	4	3	4	1	1369	1	2484	2052	dc	norm_o.wav	222630	223999	226713
1	27	1	4	4	2	1596	1	2516	1580	ad	norm_o.wav	231249	232845	234863
1	28	3	1	3	0	0	2	3046	1666	ca	norm_a.wav	239921	0	243607
1	29	1	3	1	0	0	2	3054	1902	ac	norm_d.wav	248676	0	252590
1	30	1	2	1	2	1416	0	1969	1958	ab	norm_d.wav	256586	258002	260575
1	31	1	3	1	0	0	2	2403	2151	ac	norm_d.wav	265003	0	269177
1	32	4	2	2	0	0	2	2411	1102	db	norm_s.wav	273615	0	276750
1	33	1	2	2	1	642	0	2379	2718	ab	norm_s.wav	281157	281799	285886
1	34	2	3	2	1	1966	1	1892	1699	bc	norm_s.wav	289790	291756	293507
1	35	4	3	3	0	0	2	3266	1426	dc	norm_a.wav	298790	0	302248
1	36	1	2	1	0	0	2	1943	2348	ab	norm_d.wav	306214	0	310601
1	37	1	3	3	0	0	2	3272	2107	ac	norm_a.wav	315899	0	320031
1	38	4	2	4	0	0	2	2538	1878	db	norm_o.wav	324587	0	328478
1	39	1	4	4	1	1324	0	2068	2417	ad	norm_o.wav	332562	333886	337017
1	40	2	4	4	2	1157	1	2128	930	bd	norm_o.wav	341173	342330	344117
