block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	2	1	1	1	1538	0	2538	1417	ba	norm_d.wav	7611	9149	11048
1	2	1	3	1	1	1090	1	2484	2417	ac	norm_d.wav	15547	16637	19977
1	3	4	1	1	2	1919	1	3046	2348	da	norm_d.wav	25051	26970	29419
1	4	4	2	2	1	1595	0	3054	2107	db	norm_s.wav	34517	36112	38654
1	5	4	2	4	0	0	2	1969	2709	db	norm_o.wav	42659	0	47380
1	6	2	3	2	2	978	0	2067	2369	bc	norm_s.wav	51468	52446	55876
1	7	4	3	3	0	0	2	2659	1958	dc	norm_a.wav	60575	0	64549
1	8	2	4	4	1	1792	0	1943	3292	bd	norm_o.wav	68517	70309	73830
1	9	3	2	3	1	1436	1	2542	1396	cb	norm_a.wav	78396	79832	81819
1	10	2	3	3	2	1061	1	1788	1102	bc	norm_a.wav	85625	86686	88743
1	11	3	2	2	1	1041	0	1955	1901	cb	norm_s.wav	92725	93766	96653
1	12	2	4	2	1	1145	1	3050	1555	bd	norm_s.wav	101713	102858	105285
1	13	2	1	2	1	950	1	2403	1878	ba	norm_s.wav	109706	110656	113625
1	14	2	4	4	1	1361	0	2068	2145	bd	norm_o.wav	117709	119070	121875
1	15	3	2	3	1	973	1	2387	1580	cb	norm_a.wav	126277	127250	129879
1	16	4	3	4	2	1338	0	2656	2361	dc	norm_o.wav	134546	135884	138926
1	17	4	3	3	1	1025	0	2117	2050	dc	norm_a.wav	143056	144081	147131
1	18	4	1	1	2	1109	1	3266	2855	da	norm_d.wav	152419	153528	157287
1	19	2	3	2	2	1427	0	2813	1019	bc	norm_s.wav	162117	163544	165158
1	20	1	4	1	1	1618	1	2448	2151	ad	norm_d.wav	169627	171245	173792
1	21	3	4	4	0	0	2	1754	1426	cd	norm_o.wav	177574	0	181014
1	22	4	1	4	1	1294	1	2128	930	da	norm_o.wav	185165	186459	188127
1	23	4	3	4	1	1384	1	2417	1727	dc	norm_o.wav	192566	193950	196320
1	24	1	3	3	1	911	0	2776	1597	ac	norm_a.wav	201120	202031	204759
1	25	1	2	1	1	1754	1	2411	2093	ab	norm_d.wav	209182	210936	213290
1	26	1	3	1	1	854	1	2115	1033	ac	norm_d.wav	217419	218273	220479
1	27	2	3	2	2	1038	0	2516	2098	bc	norm_s.wav	225021	226059	229135
1	28	3	2	2	1	1283	0	1892	2793	cb	norm_s.wav	233054	234337	237866
1	29	3	1	1	2	1776	1	3058	2420	ca	norm_d.wav	242949	244725	247395
1	30	3	4	3	1	1570	1	1798	2718	cd	norm_a.wav	251218	252788	255960
1	31	1	2	1	1	1351	1	2685	2677	ab	norm_d.wav	260656	262007	265359
1	32	4	1	1	2	1635	1	3272	1699	da	norm_d.wav	270648	272283	274372
1	33	4	2	4	1	1252	1	2744	1780	db	norm_o.wav	279133	280385	282951
1	34	3	4	4	1	1129	0	2401	2244	cd	norm_o.wav	287377	288506	291646
1	35	2	4	4	2	1085	1	2874	2062	bd	norm_o.wav	296544	297629	300620
1	36	1	2	2	1	1635	0	3675	2052	ab	norm_s.wav	306322	307957	310406
1	37	4	2	2	1	1550	0	2944	1463	db	norm_s.wav	315369	316919	318848
1	38	3	1	3	1	1982	1	2496	2480	ca	norm_a.wav	323366	325348	327865
1	39	3	4	3	1	1623	1	2192	1666	cd	norm_a.wav	332075	333698	335780
1	40	2	3	3	2	1397	1	2379	1902	bc	norm_a.wav	340173	341570	344087
