block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
3	1	2	1	2	1	1821	1	2068	2793	ji	norm_ä.wav	7103	8924	11921
3	2	4	2	2	2	1475	1	2379	2052	lj	norm_ä.wav	16326	17801	20389
3	3	3	2	2	2	1062	1	1892	2244	kj	norm_ä.wav	24301	25363	28564
3	4	4	1	4	1	1894	1	2448	1426	li	norm_i.wav	33053	34947	36510
3	5	3	1	1	1	1856	0	2542	1902	ki	norm_sch.wav	41093	42949	45022
3	6	2	3	3	2	1493	1	2659	1417	jk	norm_r.wav	49726	51219	53159
3	7	3	4	3	1	1328	1	3266	1901	kl	norm_r.wav	58440	59768	62372
3	8	1	4	1	1	1366	1	2411	2361	il	norm_sch.wav	66794	68160	71188
3	9	4	3	4	1	1381	1	2516	1597	lk	norm_i.wav	75716	77097	79330
3	10	4	1	1	2	1833	1	1798	2480	li	norm_sch.wav	83141	84974	87645
3	11	3	4	4	2	1376	1	2496	1102	kl	norm_i.wav	92159	93535	95280
3	12	2	4	4	2	1540	1	1969	1580	jl	norm_i.wav	99276	100816	102869
3	13	4	1	4	0	0	2	2387	3292	li	norm_i.wav	107268	0	112581
3	14	2	4	2	2	1337	0	2403	1699	jl	norm_ä.wav	117008	118345	120730
3	15	2	1	2	1	1153	1	2685	2107	ji	norm_ä.wav	125432	126585	129565
3	16	3	1	3	2	1411	0	1943	1666	ki	norm_r.wav	133526	134937	137213
3	17	1	4	1	1	1548	1	3058	2348	il	norm_sch.wav	142286	143834	146660
3	18	4	1	1	2	1846	1	1788	2709	li	norm_sch.wav	150473	152319	155199
3	19	1	3	3	1	1198	0	2744	2677	ik	norm_r.wav	159963	161161	164678
3	20	1	4	4	2	1964	1	2484	2062	il	norm_i.wav	169178	171142	173272
3	21	4	3	3	1	1527	0	2656	1555	lk	norm_r.wav	177955	179482	181547
3	22	3	1	3	1	1145	1	2192	2855	ki	norm_r.wav	185758	186903	190634
3	23	2	3	3	0	0	2	3675	2369	jk	norm_r.wav	196325	0	200708
3	24	1	2	1	0	0	2	2944	2145	ij	norm_sch.wav	205674	0	209835
3	25	2	4	2	0	0	2	2401	2151	jl	norm_ä.wav	214251	0	218428
3	26	2	3	2	1	1021	1	2538	2098	jk	norm_ä.wav	222993	224014	227104
3	27	4	1	1	2	1317	1	2776	1463	li	norm_sch.wav	231907	233224	235411
3	28	2	1	2	1	1942	1	1955	1396	ji	norm_ä.wav	239388	241330	242811
3	29	4	3	4	1	1009	1	2417	2718	lk	norm_i.wav	247246	248255	251990
3	30	4	2	4	0	0	2	2117	1033	lj	norm_i.wav	256119	0	259177
3	31	4	3	3	0	0	2	2128	2093	lk	norm_r.wav	263330	0	267437
3	32	2	3	3	2	1311	1	2813	930	jk	norm_r.wav	272264	273575	275216
3	33	4	2	2	2	1852	1	1754	2420	lj	norm_ä.wav	278992	280844	283426
3	34	3	4	3	1	1191	1	3050	1780	kl	norm_r.wav	288501	289692	292297
3	35	1	4	4	2	1237	1	3046	2417	il	norm_i.wav	297368	298605	301805
3	36	2	4	2	1	1826	1	3054	1958	jl	norm_ä.wav	306887	308713	310875
3	37	4	2	4	2	1803	0	2115	1878	lj	norm_i.wav	315015	316818	318920
3	38	4	1	1	2	1289	1	2067	1019	li	norm_sch.wav	323003	324292	326061
3	39	1	4	1	1	1921	1	2874	1727	il	norm_sch.wav	330956	332877	334716
3	40	2	1	1	2	1231	1	3272	2050	ji	norm_sch.wav	340012	341243	344088
