block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	4	2	4	1	1502	1	1798	1426	hf	norm_f.wav	6867	8369	10326
2	2	3	4	4	1	1534	0	2659	2052	gh	norm_f.wav	15008	16542	19076
2	3	4	3	4	1	1657	1	2744	1780	hg	norm_f.wav	23840	25497	27658
2	4	1	2	2	1	1542	0	2411	2098	ef	norm_k.wav	32129	33671	36242
2	5	1	3	3	0	0	2	2516	2709	eg	norm_au.wav	40803	0	45529
2	6	1	3	1	0	0	2	2401	1878	eg	norm_e.wav	49968	0	53871
2	7	3	2	3	0	0	2	3058	1396	gf	norm_au.wav	58945	0	62367
2	8	2	1	2	1	813	1	1969	2718	fe	norm_k.wav	66354	67167	71085
2	9	3	1	1	2	1376	1	3272	2480	ge	norm_e.wav	76368	77744	80874
2	10	1	4	1	1	1889	1	2538	1580	eh	norm_e.wav	85430	87319	89023
2	11	2	3	3	0	0	2	1788	1666	fg	norm_au.wav	92822	0	96504
2	12	4	3	3	2	1429	1	3054	2677	hg	norm_au.wav	101573	103002	106262
2	13	3	4	3	0	0	2	2403	2145	gh	norm_au.wav	110682	0	114850
2	14	1	4	1	1	1252	1	3675	1463	eh	norm_e.wav	120541	121793	124017
2	15	3	2	2	1	1311	0	2656	2093	gf	norm_k.wav	128695	130006	132825
2	16	3	4	4	2	1711	1	2542	2361	gh	norm_f.wav	137381	139092	141769
2	17	2	1	1	2	1218	1	2448	1019	fe	norm_e.wav	146229	147447	149280
2	18	4	3	3	2	1691	1	2874	2062	hg	norm_au.wav	154176	155867	158252
2	19	1	2	2	1	1055	0	1754	1597	ef	norm_k.wav	162033	163088	165645
2	20	4	2	4	1	1356	1	2484	2151	hf	norm_f.wav	170141	171497	174306
2	21	2	4	2	1	1645	1	2685	2417	fh	norm_k.wav	179018	180663	183461
2	22	2	1	2	1	1356	1	2192	1102	fe	norm_k.wav	187681	189037	190804
2	23	3	2	2	1	1238	0	2813	2420	gf	norm_k.wav	195644	196882	200104
2	24	1	2	1	1	1127	1	3046	2244	ef	norm_e.wav	205175	206302	209439
2	25	4	2	4	1	1039	1	2387	2107	hf	norm_f.wav	213849	214888	217978
2	26	1	3	1	1	1247	1	2117	1033	eg	norm_e.wav	222113	223360	225188
2	27	4	1	4	1	1582	1	2068	2050	he	norm_f.wav	229281	230863	233370
2	28	2	3	3	0	0	2	1892	2855	fg	norm_au.wav	237283	0	242175
2	29	3	2	3	1	1601	1	2379	1958	gf	norm_au.wav	246570	248171	250540
2	30	4	3	4	1	1429	1	2496	2793	hg	norm_f.wav	255061	256490	259873
2	31	2	4	2	1	1439	1	2417	1901	fh	norm_k.wav	264315	265754	268243
2	32	2	3	2	1	1269	1	2776	1555	fg	norm_k.wav	273030	274299	276609
2	33	3	1	3	1	1797	1	2115	2369	ge	norm_au.wav	280742	282539	285156
2	34	1	2	2	2	1501	1	2128	2348	ef	norm_k.wav	289307	290808	293668
2	35	4	1	4	0	0	2	3266	1417	he	norm_f.wav	298960	0	302391
2	36	1	3	3	2	1777	1	2944	1727	eg	norm_au.wav	307349	309126	311092
2	37	2	4	4	2	1391	1	3050	3292	fh	norm_f.wav	316167	317558	321493
2	38	3	1	1	0	0	2	2067	930	ge	norm_e.wav	325584	0	328535
2	39	1	4	1	2	1305	0	1943	1902	eh	norm_e.wav	332500	333805	336423
2	40	1	2	1	1	1343	1	1955	1699	ef	norm_e.wav	340405	341748	344149
