block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
3	1	5_8	5	1	1477	1	2608	2140	EH	k_asp_cut.wav	7664	9141	11827
3	2	7_4	4	2	1104	1	2316	1510	GD	p_cut.wav	16182	17286	19731
3	3	2_8	2	1	1516	1	3271	2549	BH	g_sl_cut.wav	25048	26564	29623
3	4	8_1	1	1	1104	0	2990	2482	HA	k_click_cut.wav	34651	35755	39156
3	5	2_6	2	1	941	1	3052	1588	BF	g_sl_cut.wav	44225	45166	47827
3	6	3_5	5	1	1485	0	2720	1642	CE	k_asp_cut.wav	52568	54053	56236
3	7	6_4	4	2	1815	1	1892	998	FD	p_cut.wav	60149	61964	63184
3	8	3_1	1	1	1644	0	3788	1626	CA	k_click_cut.wav	68996	70640	72665
3	9	7_3	3	0	0	2	2873	1823	GC	b_sh_cut.wav	77575	0	81413
3	10	2_3	2	1	835	1	2760	1857	BC	g_sl_cut.wav	86191	87026	90087
3	11	3_4	4	2	1235	1	3050	1333	CD	p_cut.wav	95156	96391	98506
3	12	3_8	3	1	1911	1	3374	1850	CH	b_sh_cut.wav	103907	105818	107769
3	13	7_1	1	1	823	0	3332	1211	GA	k_click_cut.wav	113127	113950	116357
3	14	5_1	5	1	940	1	4089	2011	EA	k_asp_cut.wav	122471	123411	126526
3	15	2_7	2	1	1286	1	2443	2168	BG	g_sl_cut.wav	130994	132280	135199
3	16	1_7	1	2	1747	0	2274	1869	AG	k_click_cut.wav	139501	141248	143415
3	17	3_1	3	1	1026	1	2516	1968	CA	b_sh_cut.wav	147956	148982	151941
3	18	5_6	5	1	1032	1	2398	2563	EF	k_asp_cut.wav	156354	157386	160945
3	19	4_7	4	1	1127	1	1752	1600	DG	p_cut.wav	164721	165848	168338
3	20	3_2	2	2	1248	1	3164	1124	CB	g_sl_cut.wav	173529	174777	176680
3	21	4_8	4	1	1026	1	3015	2675	DH	p_cut.wav	181718	182744	186408
3	22	1_6	1	1	1610	1	3057	1346	AF	k_click_cut.wav	191484	193094	194857
3	23	4_5	5	2	1018	1	2872	2260	DE	k_asp_cut.wav	199744	200762	204020
3	24	5_1	1	2	812	1	2097	1421	EA	k_click_cut.wav	208142	208954	211590
3	25	5_3	3	2	1253	1	2286	1426	EC	b_sh_cut.wav	215887	217140	219329
3	26	2_1	2	1	983	1	3569	2258	BA	g_sl_cut.wav	224921	225904	229192
3	27	1_4	1	1	1292	1	3929	2304	AD	k_click_cut.wav	235148	236440	239496
3	28	8_3	3	2	1166	1	2685	2350	HC	b_sh_cut.wav	244197	245363	248573
3	29	6_5	5	2	1093	1	2874	2016	FE	k_asp_cut.wav	253471	254564	257501
3	30	1_4	4	1	1261	0	2548	1989	AD	p_cut.wav	262069	263330	266079
3	31	8_5	5	2	903	1	2301	2175	HE	k_asp_cut.wav	270391	271294	274585
3	32	3_2	3	1	1070	1	3221	2704	CB	b_sh_cut.wav	279827	280897	284554
3	33	2_4	4	1	1305	0	3440	1933	BD	p_cut.wav	290019	291324	293987
3	34	7_2	2	2	1680	1	3043	1584	GB	g_sl_cut.wav	299045	300725	302652
3	35	4_3	4	1	1827	1	3082	1861	DC	p_cut.wav	307759	309586	311640
3	36	1_2	2	2	1145	1	2863	1733	AB	g_sl_cut.wav	316518	317663	320277
3	37	3_6	3	1	945	1	3282	2509	CF	b_sh_cut.wav	325577	326522	330102
3	38	5_3	5	1	1144	1	2698	1982	EC	k_asp_cut.wav	334824	335968	338837
3	39	3_5	3	1	1777	1	3162	2358	CE	b_sh_cut.wav	344017	345794	348386
3	40	1_3	1	1	1684	1	2192	2253	AC	k_click_cut.wav	352594	354278	356886
