block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	1_3	1	1	1271	1	1892	998	02	t_sl_cut.wav	6969	8240	9994
1	2	7_3	3	1	1802	0	2608	2258	62	d_sh_retr_cut.wav	14627	16429	18898
1	3	4_2	2	1	1920	0	2760	2549	31	s_palat_cut.wav	23703	25623	28274
1	4	3_8	3	0	0	2	3332	2482	27	d_sh_retr_cut.wav	33626	0	38145
1	5	5_7	5	0	0	2	2301	2253	46	s_dent_cut.wav	42480	0	46751
1	6	6_2	2	1	1011	0	3164	2675	51	s_palat_cut.wav	51930	52941	56631
1	7	2_4	4	0	0	2	2685	1346	13	s_alv_cut.wav	61335	0	64725
1	8	2_6	2	2	1811	0	3440	2704	15	s_palat_cut.wav	70179	71990	74900
1	9	6_1	1	2	1700	1	2316	1861	50	t_sl_cut.wav	79242	80942	83124
1	10	5_8	5	0	0	2	2516	2509	47	s_dent_cut.wav	87655	0	92181
1	11	6_4	4	1	1242	0	3052	1124	53	s_alv_cut.wav	97258	98500	100396
1	12	2_7	2	2	1212	0	4089	1588	16	s_palat_cut.wav	106508	107720	110140
1	13	8_3	3	1	941	0	3271	2260	72	d_sh_retr_cut.wav	115433	116374	119719
1	14	1_7	1	1	956	1	2874	2175	06	t_sl_cut.wav	124618	125574	128807
1	15	4_8	4	0	0	2	2192	1333	37	s_alv_cut.wav	133021	0	136374
1	16	3_7	3	1	955	1	2720	2358	26	d_sh_retr_cut.wav	141122	142077	145524
1	17	1_2	2	2	1230	1	2698	1823	01	s_palat_cut.wav	150238	151468	154091
1	18	8_1	1	2	1024	1	3282	1857	70	t_sl_cut.wav	159391	160415	163281
1	19	5_3	5	1	1371	1	3569	2304	42	s_dent_cut.wav	168869	170240	173204
1	20	5_4	4	2	1328	1	2097	1989	43	s_alv_cut.wav	177317	178645	181351
1	21	4_1	1	2	899	1	2443	2016	30	t_sl_cut.wav	185805	186704	189840
1	22	2_3	2	1	1413	1	2990	1850	12	s_palat_cut.wav	194850	196263	198723
1	23	3_4	3	1	1172	1	3929	2350	23	d_sh_retr_cut.wav	204678	205850	209054
1	24	6_5	5	0	0	2	3015	1982	54	s_dent_cut.wav	214093	0	218091
1	25	8_4	4	2	1149	1	3788	2168	73	s_alv_cut.wav	223897	225046	228090
1	26	3_2	3	1	1066	1	3057	2563	21	d_sh_retr_cut.wav	233175	234241	237765
1	27	4_5	5	1	1015	0	2274	1510	34	s_dent_cut.wav	242064	243079	245601
1	28	7_1	1	2	1052	1	3043	2011	60	t_sl_cut.wav	250673	251725	254707
1	29	2_8	2	1	1597	1	3082	1626	17	s_palat_cut.wav	259814	261411	263460
1	30	4_6	4	2	1771	0	1752	1426	35	s_alv_cut.wav	267231	269002	270673
1	31	3_2	2	2	1087	1	2398	1421	21	s_palat_cut.wav	275095	276182	278526
1	32	1_4	1	1	823	1	3162	1584	03	t_sl_cut.wav	283699	284522	287311
1	33	1_5	5	2	1274	1	3050	2140	04	s_dent_cut.wav	292387	293661	296543
1	34	3_4	4	2	919	1	2873	1968	23	s_alv_cut.wav	301436	302355	305420
1	35	5_2	5	1	1599	1	3374	1933	41	s_dent_cut.wav	310809	312408	314754
1	36	1_3	3	2	1425	1	2863	1211	02	d_sh_retr_cut.wav	319631	321056	322868
1	37	8_5	5	2	1281	1	2548	1869	74	s_dent_cut.wav	327441	328722	331330
1	38	1_4	4	2	1613	1	2286	1642	03	s_alv_cut.wav	335641	337254	339299
1	39	3_1	1	2	1268	1	3221	1733	20	t_sl_cut.wav	344540	345808	348296
1	40	3_1	3	1	1112	1	2872	1600	20	d_sh_retr_cut.wav	353187	354299	356804
