"subjID","block","trial","vStim1","vStim2","aStim","resp","RT","fb","vStimNassoc","stimOnset","respOnset","feedbackOnset","pe","deltas","drift","assoc_active","assoc_inactive"
"biokurs19-15",1,1,1,3,1,1,0.878,1,3,8211,9089,12193,0.5,0.601774105132865,0.724264147216921,0.5,0.5
"biokurs19-15",1,2,7,3,3,1,1.211,0,7,17074,18285,20829,-0.535,0.622836198812516,0.749613392369514,0.535,0.5
"biokurs19-15",1,3,4,2,2,1,1.082,0,4,26119,27201,29566,-0.5,0.601774105132865,0.724264147216921,0.5,0.5
"biokurs19-15",1,4,3,8,3,2,1.366,0,8,34020,35386,38521,-0.57245,0.645372639049741,0.776737084682787,0.57245,0.5
"biokurs19-15",1,5,5,7,5,1,1.4,1,7,42935,44335,47454,0.5,0.622836198812516,0.749613392369514,0.5,0.535
"biokurs19-15",1,6,6,2,2,2,1.728,1,6,52561,54289,57162,0.465,0.622836198812516,0.749613392369514,0.535,0.5
"biokurs19-15",1,7,2,4,4,1,1.342,0,2,61460,62802,65114,-0.535,0.663486039614241,0.798537435514017,0.535,0.56755
"biokurs19-15",1,8,2,6,2,1,1.35,1,6,70507,71857,74380,0.4021785,0.68170264443777,0.820461997646493,0.5978215,0.535
"biokurs19-15",1,9,6,1,1,2,0.848,1,6,79080,79928,82956,0.465,0.666434732729392,0.80208632983538,0.535,0.57245
"biokurs19-15",1,10,5,8,5,1,1.141,1,8,87298,88439,90961,0.465,0.643898292492166,0.774962637522106,0.535,0.535
"biokurs19-15",1,11,6,4,4,2,0.957,1,6,95845,96802,99711,0.42755,0.713085164020449,0.858232372923856,0.57245,0.6125215
"biokurs19-15",1,12,2,7,2,2,1.302,0,7,104779,106081,109362,-0.625973995,0.721180527160879,0.867975532742972,0.625973995,0.57245
"biokurs19-15",1,13,8,3,3,2,1.61,1,8,114714,116324,119011,0.3874785,0.713085164020449,0.858232372923856,0.6125215,0.57245
"biokurs19-15",1,14,1,7,1,1,0.819,1,7,125125,125944,129509,0.43245,0.704032676156935,0.847337267357271,0.56755,0.6023785
"biokurs19-15",1,15,4,8,4,1,1.106,1,8,134577,135683,138607,0.3976215,0.731095360325918,0.879908512453838,0.6023785,0.6125215
"biokurs19-15",1,16,3,7,3,1,1.307,1,7,143235,144542,146833,0.360355005,0.772792282052833,0.930092767971856,0.639644995,0.644544995
"biokurs19-15",1,17,1,2,2,2,0.924,1,1,151406,152330,155584,0.33020782535,0.762817084716687,0.91808713707089,0.66979217465,0.5978215
"biokurs19-15",1,18,8,1,1,2,0.686,1,8,160365,161051,164640,0.360330995,0.779337791029846,0.937970603586419,0.639669005,0.655398005
"biokurs19-15",1,19,5,3,5,1,0.974,1,3,168940,169914,171954,0.43245,0.74163834958348,0.892597508305627,0.56755,0.66486984535
"biokurs19-15",1,20,5,4,4,1,0.992,0,5,176279,177271,179898,-0.630212005,0.738998763544551,0.889420639252632,0.630212005,0.5978215
"biokurs19-15",1,21,4,1,1,2,0.671,1,4,184441,185112,187687,0.33510782535,0.805907327337413,0.969948321456981,0.66489217465,0.67432684535
"biokurs19-15",1,22,2,3,2,1,1.006,1,3,192585,193591,196589,0.3070932775755,0.845081880977946,1.017096785379,0.6929067224245,0.7114107345245
