"subjID","block","trial","vStim1","vStim2","aStim","resp","RT","fb","vStimNassoc","stimOnset","respOnset","feedbackOnset","pe","deltas","drift","assoc_active","assoc_inactive"
"biokurs19-06",1,1,1,3,1,1,1.082,1,3,7935,9017,11482,0.5,0.395552257634429,0.312923177039388,0.5,0.5
"biokurs19-06",1,2,7,3,3,2,1.208,1,7,16376,17584,20749,0.465,0.409396586651634,0.323875488235766,0.535,0.5
"biokurs19-06",1,3,4,2,2,1,1.312,0,4,25171,26483,28781,-0.5,0.395552257634429,0.312923177039388,0.5,0.5
"biokurs19-06",1,4,3,8,3,1,1.737,1,8,32561,34298,36427,0.43245,0.422271812637635,0.334061137648399,0.56755,0.5
"biokurs19-06",1,5,5,7,5,1,1.778,1,7,40551,42329,43998,0.5,0.409396586651634,0.323875488235766,0.5,0.535
"biokurs19-06",1,6,6,2,2,2,1.954,1,6,48694,50648,52990,0.465,0.409396586651634,0.323875488235766,0.535,0.5
"biokurs19-06",1,7,2,4,4,1,1.761,0,2,57290,59051,61628,-0.535,0.43611614165484,0.345013448844777,0.535,0.56755
"biokurs19-06",1,8,2,6,2,1,1.179,1,6,66516,67695,70701,0.4021785,0.448090101821821,0.354486102798525,0.5978215,0.535
"biokurs19-06",1,9,6,1,1,2,1.654,1,6,75950,77604,80536,0.465,0.438054347717249,0.34654677241227,0.535,0.57245
"biokurs19-06",1,10,6,4,4,1,1.2,0,6,94340,95540,98837,-0.57245,0.468718152057456,0.370805046481129,0.57245,0.6125215
"biokurs19-06",1,11,2,7,2,1,1.322,1,7,103552,104874,107443,0.374026005,0.474039316825522,0.375014643955636,0.625973995,0.57245
"biokurs19-06",1,12,8,3,3,2,1.567,1,8,113387,114954,116411,0.4021785,0.448090101821821,0.354486102798525,0.5978215,0.535
"biokurs19-06",1,13,1,7,1,2,1.601,0,7,121598,123199,125496,-0.56755,0.466779945995048,0.369271722913637,0.56755,0.6125215
"biokurs19-06",1,14,4,8,4,1,1.204,1,8,129713,130917,134438,0.3874785,0.468718152057456,0.370805046481129,0.6125215,0.57245
"biokurs19-06",1,15,3,7,3,1,1.268,1,7,139837,141105,143437,0.374026005,0.500618448799506,0.396041515272181,0.625973995,0.639644995
"biokurs19-06",1,16,1,2,2,2,1.264,1,1,148179,149443,151329,0.34784418465,0.498172086778964,0.394106187231748,0.65215581535,0.6072785
"biokurs19-06",1,17,8,1,1,1,1.25,0,8,156342,157592,160914,-0.649787995,0.499309370580627,0.395005897582386,0.649787995,0.6125215
"biokurs19-06",1,18,5,3,5,2,1.166,0,3,164826,165992,169103,-0.535,0.469582162925534,0.371488569380107,0.535,0.65215581535
