"subjID","block","trial","vStim1","vStim2","aStim","resp","RT","fb","vStimNassoc","stimOnset","respOnset","feedbackOnset","pe","deltas","drift","assoc_active","assoc_inactive"
"biokurs19-02",1,38,1,4,4,2,1.152,1,1,335095,336247,338752,0.0749112047849353,1.43650991192551,2.34311122645233,0.925088795215065,0.836296412421575
"biokurs19-02",1,39,3,1,1,2,1.164,1,3,343786,344950,347830,0.105162838708914,1.46497266028088,2.3895372097703,0.894837161291086,0.901447815226813
"biokurs19-02",1,40,3,1,3,1,1.12,1,1,352463,353583,356730,0.0354508377073097,1.52243904088244,2.48327141961686,0.96454916229269,0.90219856000071
"biokurs19-02",2,41,16,11,11,2,1.363,1,16,8093,9456,11464,0.5,0.81555692968091,1.33026621110111,0.5,0.5
"biokurs19-02",2,42,9,10,10,1,1.213,0,9,15868,17081,19220,-0.5,0.81555692968091,1.33026621110111,0.5,0.5
"biokurs19-02",2,43,15,9,9,1,1.623,0,15,24290,25913,27901,-0.535,0.844101422219742,1.37682552848964,0.535,0.5
"biokurs19-02",2,44,11,10,10,2,0.947,1,11,43292,44239,47286,0.465,0.872645914758574,1.42338484587818,0.535,0.535
"biokurs19-02",2,45,9,14,9,2,1.44,0,14,52174,53614,56738,-0.57245,0.874644029236292,1.42664399809538,0.57245,0.5
"biokurs19-02",2,46,12,11,12,2,1.612,0,11,60511,62123,65090,-0.5,0.874644029236292,1.42664399809538,0.5,0.57245
"biokurs19-02",2,47,15,10,10,2,1.452,1,15,70446,71898,74481,0.43245,0.899192292819687,1.46668501104952,0.56755,0.535
"biokurs19-02",2,48,14,11,11,2,1.13,1,14,88483,89613,92667,0.3976215,0.927596917345079,1.51301618778286,0.6023785,0.535
"biokurs19-02",2,49,14,10,10,2,1.109,1,14,97678,98787,101558,0.4021785,0.954423031433073,1.55677263426461,0.5978215,0.57245
"biokurs19-02",2,50,11,13,11,2,1.23,0,13,106629,107859,110376,-0.630212005,0.921752232686305,1.50348284163233,0.630212005,0.5
"biokurs19-02",2,51,9,16,9,1,1.419,1,16,114492,115911,118161,0.3874785,0.935869111282832,1.52650907796206,0.6125215,0.535
"biokurs19-02",2,52,11,12,11,1,1.202,1,12,122879,124081,127163,0.32567315465,0.986274888974347,1.6087266405466,0.67432684535,0.535
"biokurs19-02",2,53,12,14,12,1,1.349,1,14,132746,134095,136748,0.42755,0.966411718299382,1.57632754756779,0.57245,0.6125215
"biokurs19-02",2,54,12,10,10,2,0.957,1,12,141816,142773,145825,0.374026005,1.00179138938809,1.63403581942025,0.625973995,0.6023785
"biokurs19-02",2,55,13,12,12,1,1.546,0,13,151773,153319,155425,-0.644544995,0.961986094542684,1.56910885132192,0.644544995,0.535
"biokurs19-02",2,56,10,13,13,1,1.052,0,10,159887,160939,164164,-0.56755,0.994739529880797,1.62253343364363,0.56755,0.65215581535
"biokurs19-02",2,57,13,11,11,2,1.19,1,13,168951,170141,172500,0.3028760338245,1.0638144703823,1.73520252643022,0.6971239661755,0.6072785
"biokurs19-02",2,58,11,13,13,2,1.389,1,11,176845,178234,180466,0.350212005,1.11577426898217,1.81995487405612,0.649787995,0.718325288543215
"biokurs19-02",2,59,14,9,9,2,1.189,1,14,185365,186554,189557,0.360355005,1.05618129288475,1.722751944823,0.639644995,0.655398005
"biokurs19-02",2,60,12,15,12,1,1.679,1,15,194742,196421,197892,0.31033685535,1.02932512116067,1.67894647091445,0.68966314465,0.57245
"biokurs19-02",2,61,11,16,11,1,1.375,1,16,203186,204561,207589,0.23139194125876,1.09370919291085,1.78396422266832,0.76860805874124,0.57245
"biokurs19-02",2,62,9,13,9,1,1.076,1,13,212121,213197,216006,0.33513015465,1.09217155978425,1.78145616796491,0.66486984535,0.67430283535
"biokurs19-02",2,63,10,11,10,1,1.059,1,11,220332,221391,223349,0.3234950917245,1.19178182550386,1.94393185291488,0.6765049082755,0.784805494629353
"biokurs19-02",2,64,13,10,13,2,1.18,0,10,228247,229427,232085,-0.7215040338245,1.15862388694969,1.8898474797913,0.7215040338245,0.699149564696215
"biokurs19-02",2,65,16,10,10,2,1.528,1,16,237323,238851,241873,0.27979090483252,1.0869176722866,1.77288647925196,0.72020909516748,0.6125215
"biokurs19-02",2,66,11,9,9,1,1.678,0,11,246090,247768,250833,-0.6883289561755,1.24622875887734,2.03274100054011,0.6883289561755,0.839741879253408
"biokurs19-02",2,67,14,13,13,2,1.131,1,14,255144,256275,259420,0.227990683807785,1.20154793920295,1.95986149632157,0.772009316192215,0.70127586535
"biokurs19-02",2,68,9,11,9,1,1.662,1,11,264727,266389,269224,0.263488016892215,1.29467373384885,2.11176027063258,0.736511983107785,0.85095994770567
"biokurs19-02",2,69,12,10,12,1,1.793,1,10,273926,275719,277162,0.2886132754755,1.18352087004287,1.93045729397088,0.7113867245245,0.739794458505757
"biokurs19-02",2,70,13,15,13,1,1.575,1,15,282202,283777,286229,0.21203133594124,1.14217945824808,1.86302474422682,0.78796866405876,0.6125215
"biokurs19-02",2,71,14,12,12,2,1.936,1,14,292042,293978,295917,0.268410346192215,1.20861853086226,1.97139443637095,0.731589653807785,0.7503651759245
"biokurs19-02",2,72,10,16,10,1,1.044,1,16,301105,302149,304537,0.20841992939884,1.18009299665287,1.92486604217632,0.79158007060116,0.655398005
"biokurs19-02",2,73,16,12,12,2,1.232,1,16,308440,309672,311884,0.24962162195876,1.18390667769842,1.9310865901849,0.75037837804124,0.70127586535
"biokurs19-02",2,74,13,14,13,1,1.323,1,14,316990,318313,320593,0.197189142425353,1.30954106346569,2.1360105780223,0.802810857574647,0.802890738239215
"biokurs19-02",2,75,9,11,11,2,1.022,1,9,324893,325915,328854,0.0894728559549336,1.35829643706961,2.21553614362602,0.910527144045066,0.75495614429024
"biokurs19-02",2,76,9,10,9,1,1.146,1,10,334308,335454,338647,0.192196925609443,1.31628648935218,2.14701313567306,0.807803074390557,0.806169465659078
"biokurs19-02",2,77,11,14,11,1,1.254,1,14,344037,345291,348218,0.0832097560380882,1.44833395924894,2.36239759391532,0.916790243961912,0.85909308991596
"biokurs19-02",2,78,10,12,12,2,1.319,1,10,352854,354173,356746,0.232148108421647,1.32972742195582,2.1689368271256,0.767851891578353,0.862601328255214
"biokurs19-02",3,79,21,24,21,1,1.104,1,24,8422,9526,12422,0.5,0.81555692968091,1.33026621110111,0.5,0.5
"biokurs19-02",3,80,23,20,20,2,1.157,1,23,17295,18452,20309,0.5,0.81555692968091,1.33026621110111,0.5,0.5
"biokurs19-02",3,81,18,24,18,1,1.417,1,24,25384,26801,29133,0.5,0.844101422219742,1.37682552848964,0.5,0.535
"biokurs19-02",3,82,24,17,17,1,1.348,0,24,34234,35582,38242,-0.5,0.874644029236292,1.42664399809538,0.5,0.57245
"biokurs19-02",3,83,18,22,18,1,1.273,1,22,43126,44399,47310,0.465,0.844101422219742,1.37682552848964,0.535,0.5
"biokurs19-02",3,84,19,21,21,2,1.436,1,19,53126,54562,57501,0.465,0.844101422219742,1.37682552848964,0.535,0.5
"biokurs19-02",3,85,22,20,20,1,1.549,0,22,62515,64064,66896,-0.535,0.872645914758574,1.42338484587818,0.535,0.535
"biokurs19-02",3,86,19,17,17,1,1.383,0,19,70804,72187,75331,-0.535,0.872645914758574,1.42338484587818,0.535,0.535
"biokurs19-02",3,87,23,19,19,1,1.537,0,23,80627,82164,84504,-0.56755,0.899192292819687,1.46668501104952,0.56755,0.535
"biokurs19-02",3,88,18,19,18,1,0.929,1,19,89862,90791,94038,0.43245,0.958139524361629,1.5628346573886,0.56755,0.6072785
"biokurs19-02",3,89,19,20,20,1,1.259,0,19,98251,99510,102129,-0.57245,0.996804666541551,1.62590190667246,0.57245,0.649787995
"biokurs19-02",3,90,19,24,19,1,1.106,1,24,107312,108418,111367,0.32569716465,1.04120631003897,1.69832604275954,0.67430283535,0.6023785
"biokurs19-02",3,91,23,17,17,1,1.348,0,23,115666,117014,119627,-0.57245,0.929734899836237,1.51650348065526,0.57245,0.56755
"biokurs19-02",3,92,21,17,21,1,1.529,1,17,124515,126044,129079,0.43245,0.962415489343946,1.5698092431334,0.56755,0.6125215
"biokurs19-02",3,93,18,23,18,1,1.021,1,23,133707,134728,137147,0.4021785,0.975114934074472,1.59052348343956,0.5978215,0.5978215
"biokurs19-02",3,94,17,23,17,2,1.521,0,23,142452,143973,146721,-0.655398005,1.05620087440664,1.72278388451474,0.655398005,0.639669005
"biokurs19-02",3,95,19,17,19,1,1.206,1,17,151433,152639,154569,0.3028983631245,1.14045646224989,1.86021434157455,0.6971016368755,0.70127586535
"biokurs19-02",3,96,21,22,21,1,1.495,1,22,160682,162177,164900,0.4021785,0.950426802477636,1.55025432983021,0.5978215,0.56755
"biokurs19-02",3,97,20,23,20,2,1.605,0,23,169208,170813,173239,-0.6125215,1.04180357442996,1.69930024898539,0.6125215,0.66489217465
"biokurs19-02",3,98,19,18,18,2,1.178,1,19,178311,179489,181836,0.374026005,1.09633566020048,1.78824828986559,0.625973995,0.718304522294215
"biokurs19-02",3,99,20,24,20,1,1.56,1,24,186549,188109,190835,0.344601995,1.06017752184019,1.7292702492574,0.655398005,0.644544995
"biokurs19-02",3,100,17,22,17,2,1.015,0,22,195580,196595,199910,-0.7503651759245,1.10723570793769,1.80602750879746,0.7503651759245,0.6072785
"biokurs19-02",3,101,20,21,21,2,1.228,1,20,204969,206197,208619,0.374026005,1.06470479224938,1.73665474276691,0.625973995,0.67952014465
"biokurs19-02",3,102,21,17,17,2,1.592,1,21,213397,214989,217695,0.197109261760785,1.18667329978801,1.93559926581885,0.802890738239215,0.65215581535
"biokurs19-02",3,103,21,19,19,2,1.691,1,21,222884,224575,226537,0.23141416114519,1.19592661498388,1.95069247647987,0.76858583885481,0.6978067224245
"biokurs19-02",3,104,18,17,18,1,1.241,1,17,230655,231896,235386,0.34784418465,1.19792606749134,1.95395381117593,0.65215581535,0.81668838656247
"biokurs19-02",3,105,17,20,17,1,1.203,1,20,241340,242543,244787,0.126143426378157,1.30566026238949,2.12968054960149,0.873856573621843,0.7270865547755
"biokurs19-02",3,106,24,19,19,2,1.422,1,24,249346,250768,252954,0.215215169865027,1.20249626328987,1.96140832088291,0.784784830134973,0.68966314465
"biokurs19-02",3,107,22,21,21,1,1.402,0,22,256728,258130,260605,-0.746653192994215,1.12662844638922,1.83765927325673,0.746653192994215,0.634769005
"biokurs19-02",3,108,17,20,20,2,1.609,1,17,265841,267450,269210,0.222017386390215,1.35437029605138,2.20913216059738,0.777982613609785,0.882686613468314
"biokurs19-02",3,109,24,21,21,2,0.98,1,24,273541,274521,278044,0.20108108349619,1.25339558434622,2.04443090889003,0.79891891650381,0.7379395647755
"biokurs19-02",3,110,19,18,19,1,0.949,1,18,282503,283452,286345,0.200150107974475,1.20405138805318,1.96394490643738,0.799849892025525,0.6765049082755
"biokurs19-02",3,111,18,20,20,2,1.054,1,18,291932,292986,295930,0.2064761693429,1.23751310348008,2.01852477422822,0.7935238306571,0.723860251854785
"biokurs19-02",3,112,23,18,18,2,1.129,1,23,300818,301947,304044,0.22546953051538,1.19306207780442,1.9460200901858,0.77453046948462,0.6883497224245
"biokurs19-02",3,113,20,19,20,2,1.01,0,19,309126,310136,312737,-0.807977162511103,1.32270086258324,2.15747570874936,0.807977162511103,0.813860399583738
"biokurs19-02",3,114,17,18,18,2,1.031,1,17,318203,319234,322089,0.209686663379303,1.41481838555546,2.30772987715943,0.790313336620697,0.944474676411096
"biokurs19-02",3,115,19,22,19,1,1.333,1,22,326512,327845,331198,0.173109828387123,1.21291693714178,1.97840562642665,0.826890171612877,0.66033517465
"biokurs19-02",3,116,21,19,21,1,1.518,1,19,335517,337035,338869,0.187005407651457,1.34730204753647,2.19760304248329,0.812994592348543,0.839007859599975
"biokurs19-02",3,117,19,21,19,1,1.232,1,21,343412,344644,347029,0.102261590228026,1.40587610364007,2.29314399719291,0.897738409771974,0.826084970884145
"biokurs19-02",3,118,17,19,17,1,1.071,1,19,352072,353143,356650,0.0951032789120644,1.55634874909332,2.53858201464655,1.01058790375987,0.904896721087936
