subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-06,1,1,1,3,1,1,1.082,1,3,7935,9017,11482,0.5,0.409049917749034,0.334643670420983,0.5,0.5
biokurs19-06,1,2,7,3,3,2,1.208,1,7,16376,17584,20749,0.445042016521835,0.430828232614203,0.352460506229603,0.554957983478165,0.5
biokurs19-06,1,3,4,2,2,1,1.312,0,4,25171,26483,28781,-0.5,0.409049917749034,0.334643670420983,0.5,0.5
biokurs19-06,1,4,3,8,3,1,1.737,1,8,32561,34298,36427,0.397309158750721,0.449815753472909,0.367994193920627,0.602690841249279,0.5
biokurs19-06,1,5,5,7,5,1,1.778,1,7,40551,42329,43998,0.5,0.430828232614203,0.352460506229603,0.5,0.554957983478165
biokurs19-06,1,6,6,2,2,2,1.954,1,6,48694,50648,52990,0.474246344486457,0.418988830943266,0.342774693670214,0.525753655513543,0.5
biokurs19-06,1,7,2,4,4,1,1.761,0,2,57290,59051,61628,-0.525753655513543,0.449668521820653,0.367873743730136,0.525753655513543,0.577952535492099
biokurs19-06,1,8,2,6,2,1,1.179,1,6,66516,67695,70701,0.401252965474756,0.469569201055788,0.3841544861387,0.598747034525244,0.554957983478165
biokurs19-06,1,9,6,1,1,2,1.654,1,6,75950,77604,80536,0.445042016521835,0.477175656351006,0.390377325964441,0.554957983478165,0.617141092663382
biokurs19-06,1,10,6,4,4,1,1.2,0,6,94340,95540,98837,-0.553961020633179,0.503966086029431,0.412294572077283,0.553961020633179,0.687598721476973
biokurs19-06,1,11,2,7,2,1,1.322,1,7,103552,104874,107443,0.358125867752289,0.511387584984733,0.418366099151765,0.641874132247711,0.617141092663382
biokurs19-06,1,12,8,3,3,2,1.567,1,8,113387,114954,116411,0.355752032765336,0.488187338888547,0.39938598163696,0.644247967234664,0.554957983478165
