"subjID","block","trial","vStim1","vStim2","aStim","resp","RT","fb","iti","feedJitter","vSymbols","aFile","stimOnset","respOnset","feedbackOnset","response","vStimNassoc","assoc_active","assoc_inactive","deltas","drift"
"biokurs19-05",1,30,4,6,4,1,1.102,1,1892,2358,"35","s_alv_cut.wav",265331,266433,269726,2,6,0.817894592348544,0.66942684535,1.080422456976,"1.56968447566296"
"biokurs19-05",1,31,3,2,2,2,1.103,1,3164,1823,"21","s_dent_cut.wav",274905,276008,278773,2,3,0.798412734585974,0.789209854504127,1.15328338244728,"1.67553997955059"
"biokurs19-05",1,32,1,4,1,1,1.003,1,2990,2350,"03","d_sh_retr_cut.wav",283780,284783,288153,2,4,0.714087278543215,0.830641970884145,1.12212473291014,"1.63027134583673"
"biokurs19-05",1,33,1,5,5,2,1.254,1,2443,2168,"04","s_palat_cut.wav",292620,293874,296807,2,1,0.7113867245245,0.73410116904519,1.05003366583369,"1.52553432552284"
"biokurs19-05",1,34,3,4,4,2,0.892,1,2548,1733,"23","s_alv_cut.wav",301383,302275,305154,2,3,0.888786908846036,0.844454544319416,1.25906407444739,"1.829222744089"
"biokurs19-05",1,35,5,2,5,1,0.867,1,3082,1211,"41","s_palat_cut.wav",310255,311122,313486,2,2,0.731589653807785,0.812523843164955,1.12167743701092,"1.62962149500801"
"biokurs19-05",1,36,1,3,3,1,1.172,0,3440,1989,"02","t_sl_cut.wav",318951,320123,322957,1,1,0.903566362421775,0.785488250878353,1.22696579839001,"1.78258898032604"
"biokurs19-05",1,37,8,5,5,2,1.179,1,2301,2304,"74","s_palat_cut.wav",327270,328449,331592,2,8,0.75037837804124,0.783622036892215,1.1143310755133,"1.61894838328124"
"biokurs19-05",1,38,1,4,4,2,1.09,1,2608,1124,"03","s_alv_cut.wav",336217,337307,339355,2,1,0.896571825226813,0.800504073316869,1.23279263345827,"1.79105445833406"
"biokurs19-05",1,39,3,1,1,2,0.939,1,2274,2563,"20","d_sh_retr_cut.wav",343652,344591,348242,2,3,0.856539358449049,0.966816007791299,1.32452476969747,"1.92432687343832"
"biokurs19-05",1,40,3,1,3,1,1.231,1,2863,1626,"20","t_sl_cut.wav",353130,354361,356781,2,1,1.03449312833669,0.866581603357616,1.38098179751273,"2.00635008531391"
"biokurs19-05",2,41,16,11,11,1,1.084,0,2192,1588,"hc","a_uml.wav",7248,8332,10879,1,16,0.5,0.5,0.72642162587788,"1.05537675708613"
"biokurs19-05",2,42,9,10,10,2,1.087,1,3162,2350,"ab","i.wav",16055,17142,20423,2,9,0.5,0.5,0.72642162587788,"1.05537675708613"
"biokurs19-05",2,43,15,9,9,1,1.287,0,2443,2175,"ga","o.wav",24890,26177,29084,1,15,0.535,0.5,0.751846382783606,"1.09231494358414"
"biokurs19-05",2,44,12,13,13,2,1.267,1,3282,2509,"de","a_low.wav",34387,35654,38929,2,12,0.5,0.5,0.72642162587788,"1.05537675708613"
"biokurs19-05",2,45,11,10,10,2,1.526,1,3082,2140,"cb","i.wav",44036,45562,48196,2,11,0.535,0.535,0.777271139689332,"1.12925313008215"
"biokurs19-05",2,46,9,14,9,1,1.374,1,2608,2704,"af","o.wav",52825,54199,57542,2,14,0.57245,0.5,0.779050872672733,"1.13183880313702"
"biokurs19-05",2,47,12,11,12,1,1.558,1,2548,2675,"dc","u.wav",62116,63674,66811,2,11,0.535,0.57245,0.804475629578459,"1.16877698963503"
"biokurs19-05",2,48,15,10,10,2,0.96,1,2286,2016,"gb","i.wav",71116,72076,75166,2,15,0.56755,0.535,0.800916163611657,"1.16360564352531"
"biokurs19-05",2,49,13,16,13,1,1.702,1,2990,1733,"eh","a_low.wav",80176,81878,83932,2,16,0.535,0.535,0.777271139689332,"1.12925313008215"
"biokurs19-05",2,50,14,11,11,2,1.063,1,3043,1869,"fc","a_uml.wav",88993,90056,92885,2,14,0.6125215,0.535,0.833584433759824,"1.21106751935661"
"biokurs19-05",2,51,14,10,10,2,0.786,1,2516,1584,"fb","i.wav",97426,98212,101027,2,14,0.5978215,0.57245,0.850110525748546,"1.23507734058032"
"biokurs19-05",2,52,11,13,11,1,1.374,1,3050,1857,"ce","a_uml.wav",106103,107477,109976,2,13,0.639644995,0.56755,0.87693255101954,"1.2740455389937"
"biokurs19-05",2,53,9,16,9,1,1.314,1,1892,2260,"ah","o.wav",113887,115201,118166,2,16,0.6023785,0.57245,0.853420829097671,"1.23988669246236"
"biokurs19-05",2,54,11,12,11,1,0.893,1,4089,1933,"cd","a_uml.wav",124280,125173,128239,2,12,0.66486984535,0.56755,0.895256427823313,"1.30066725975407"
"biokurs19-05",2,55,12,14,12,2,1.626,0,2698,1823,"df","u.wav",132951,134577,136787,1,14,0.6072785,0.6125215,0.886089099245838,"1.28734856829366"
"biokurs19-05",2,56,12,10,10,2,0.865,1,3929,2253,"db","i.wav",142733,143598,147012,2,12,0.625973995,0.649787995,0.926741099009,"1.34640955181994"
"biokurs19-05",2,57,13,12,12,1,1.417,0,2685,2258,"ed","u.wav",151711,153128,155995,1,13,0.69527315465,0.6072785,0.946201690760776,"1.37468274122168"
"biokurs19-05",2,58,10,13,13,2,1.168,1,1752,1850,"be","a_low.wav",159774,160942,163641,2,10,0.634769005,0.65215581535,0.934850020381246,"1.35819054351463"
"biokurs19-05",2,59,13,11,11,1,1.179,0,2301,2563,"ec","a_uml.wav",167968,169147,172549,1,13,0.6883289561755,0.66033517465,0.979698790677438,"1.42334877678899"
"biokurs19-05",2,60,11,13,13,1,1.668,0,3052,1982,"ce","a_low.wav",177625,179293,181622,1,11,0.6841117124245,0.736511983107785,1.03197177466921,"1.49929322883058"
"biokurs19-05",2,61,14,9,9,2,1.02,1,2097,1333,"fa","o.wav",185737,186757,189115,2,14,0.630212005,0.639644995,0.922451586572407,"1.34017756262312"
"biokurs19-05",2,62,12,15,12,1,1.48,1,3271,1510,"dg","u.wav",194414,195894,197968,2,15,0.7439422754755,0.57245,0.956255817043995,"1.38928981074456"
"biokurs19-05",2,63,11,16,11,1,1.178,1,3332,1211,"ch","a_uml.wav",203328,204506,206558,2,16,0.75495614429024,0.6125215,0.99336533371697,"1.44320412161881"
"biokurs19-05",2,64,9,13,9,1,0.878,1,2873,2168,"ae","o.wav",211456,212334,215639,2,13,0.65609716465,0.731999532294215,1.00834345946993,"1.46496499054295"
"biokurs19-05",2,65,10,11,10,1,0.77,1,2398,1124,"bc","i.wav",220065,220835,223200,2,11,0.6978067224245,0.772109214189923,1.06777872457926,"1.55131511437335"
"biokurs19-05",2,66,13,10,13,1,1.208,1,3057,1861,"eb","a_low.wav",228280,229488,232168,2,10,0.78323949955481,0.718960251854785,1.09123038581231,"1.58538670213825"
"biokurs19-05",2,67,16,10,10,2,0.636,1,3015,1421,"hb","i.wav",237198,237834,240635,2,16,0.76928746948462,0.655398005,1.03492233873972,"1.50357993592929"
"biokurs19-05",2,68,11,9,9,2,0.841,1,3569,2304,"ca","o.wav",246214,247055,250549,2,11,0.6801703631245,0.826156859183218,1.09422866993288,"1.58974273898967"
"biokurs19-05",2,69,14,13,13,2,1.461,1,2863,1626,"fe","a_low.wav",255428,256889,259098,2,14,0.798412734585974,0.68442014465,1.07716187103977,"1.56494735538874"
"biokurs19-05",2,70,9,11,9,1,0.741,1,2872,2482,"ac","o.wav",263989,264730,268487,2,11,0.702558437705785,0.883987839326043,1.15250152609196,"1.67440406482092"
"biokurs19-05",2,71,12,10,12,1,1.162,1,3440,1642,"db","u.wav",273943,275105,277603,2,10,0.761866316192215,0.785437346620697,1.12399484246735,"1.63298832188697"
"biokurs19-05",2,72,13,15,13,1,1.526,1,3164,2358,"eg","a_low.wav",282787,284313,287172,2,15,0.812523843164955,0.6125215,1.03518375513159,"1.50395973297012"
"biokurs19-05",2,73,14,12,12,2,1.685,1,3221,1989,"fd","u.wav",292409,294094,296439,2,14,0.77853567405876,0.7323295547755,1.09752517601214,"1.59453204560129"
"biokurs19-05",2,74,10,16,10,1,0.816,1,3788,2011,"bh","i.wav",302238,303054,306274,2,16,0.840417960884146,0.70127586535,1.1199197358589,"1.6270678307507"
"biokurs19-05",2,75,16,12,12,2,1.039,1,2274,1346,"hd","u.wav",310573,311612,313947,2,16,0.794038176874647,0.7503651759245,1.12188799455161,"1.62992740211011"
"biokurs19-05",2,76,13,14,13,1,0.915,1,2760,1600,"ef","a_low.wav",318722,319637,322361,2,14,0.825647174143408,0.783592623609785,1.16898659031127,"1.6983542791267"
"biokurs19-05",2,77,9,11,11,2,1.061,1,2316,1968,"ac","a_uml.wav",326704,327765,330694,2,9,0.945866988078866,0.72337934706638,1.2125766367669,"1.76168378396349"
"biokurs19-05",2,78,9,10,9,1,0.961,1,2720,1426,"ab","o.wav",335428,336389,338881,2,10,0.774015901361027,0.851588703622255,1.18087434018653,"1.71562531631154"
"biokurs19-05",2,79,11,14,11,1,0.869,1,3374,998,"cf","a_uml.wav",344278,345147,347288,2,14,0.949656298913346,0.83844410726247,1.29891480428713,"1.88711960801421"
"biokurs19-05",2,80,10,12,12,2,1.124,1,2874,2549,"bd","u.wav",352187,353311,356751,2,10,0.808455504493422,0.911199912875813,1.24919488423506,"1.81488435768872"
"biokurs19-05",3,81,21,24,21,1,0.904,1,3374,2011,"EH","p_cut.wav",8421,9325,12451,2,24,0.5,0.5,0.72642162587788,"1.05537675708613"
"biokurs19-05",3,82,23,20,20,1,1.187,0,4089,2304,"GD","b_sh_cut.wav",18565,19752,22895,1,23,0.5,0.5,0.72642162587788,"1.05537675708613"
"biokurs19-05",3,83,18,24,18,1,0.902,1,3050,998,"BH","g_sl_cut.wav",27961,28863,30976,2,24,0.5,0.535,0.751846382783606,"1.09231494358414"
"biokurs19-05",3,84,24,17,17,2,1.168,1,3332,1124,"HA","k_click_cut.wav",36332,37500,39475,2,24,0.5,0.57245,0.779050872672733,"1.13183880313702"
"biokurs19-05",3,85,18,22,18,1,1.099,1,2874,1584,"BF","g_sl_cut.wav",44372,45471,47971,2,22,0.535,0.5,0.751846382783606,"1.09231494358414"
"biokurs19-05",3,86,19,21,21,1,0.962,0,3929,2482,"CE","p_cut.wav",53925,54887,58433,1,19,0.535,0.5,0.751846382783606,"1.09231494358414"
"biokurs19-05",3,87,22,20,20,1,1.176,0,2872,2175,"FD","b_sh_cut.wav",63322,64498,67513,1,22,0.535,0.535,0.777271139689332,"1.12925313008215"
"biokurs19-05",3,88,19,17,17,2,0.953,1,2398,2358,"CA","k_click_cut.wav",71932,72885,76301,2,19,0.535,0.535,0.777271139689332,"1.12925313008215"
"biokurs19-05",3,89,23,19,19,1,1.633,0,2316,1857,"GC","k_asp_cut.wav",80632,82265,84511,1,23,0.57245,0.535,0.804475629578459,"1.16877698963503"
"biokurs19-05",3,90,18,19,18,1,0.762,1,1892,1421,"BC","g_sl_cut.wav",88422,89184,91862,2,19,0.56755,0.6125215,0.857229457682149,"1.24542003279976"
"biokurs19-05",3,91,19,20,20,2,1.21,1,2301,1850,"CD","b_sh_cut.wav",96173,97383,100059,2,19,0.57245,0.655398005,0.891935344123012,"1.29584224571157"
"biokurs19-05",3,92,19,24,19,1,1.457,1,3015,2016,"CH","k_asp_cut.wav",105101,106558,109132,2,24,0.70127586535,0.6125215,0.954370818211623,"1.38655120291138"
"biokurs19-05",3,93,23,17,17,2,0.78,1,2097,2140,"GA","k_click_cut.wav",113249,114029,117434,2,23,0.56755,0.56755,0.824561187533982,"1.19795815696846"
"biokurs19-05",3,94,21,17,21,1,1.27,1,2608,2563,"EA","p_cut.wav",122063,123333,126639,2,17,0.57245,0.5978215,0.850110525748546,"1.23507734058032"
"biokurs19-05",3,95,18,23,18,1,0.978,1,2685,1426,"BG","g_sl_cut.wav",131349,132327,134800,2,23,0.5978215,0.6072785,0.875410701345434,"1.27183452996449"
"biokurs19-05",3,96,17,23,17,1,0.995,1,2720,2168,"AG","k_click_cut.wav",139544,140539,143756,2,23,0.639669005,0.649787995,0.936689450439614,"1.360862947062"
"biokurs19-05",3,97,19,17,19,1,1.05,1,2863,1982,"CA","k_asp_cut.wav",148647,149697,152654,2,17,0.7221865547755,0.66489217465,1.0076039858499,"1.46389065128423"
"biokurs19-05",3,98,21,22,21,1,1.184,1,3057,1861,"EF","p_cut.wav",157730,158914,161618,2,22,0.6023785,0.56755,0.84986136313087,"1.23471534635264"
"biokurs19-05",3,99,20,23,20,1,1.244,1,3569,1510,"DG","b_sh_cut.wav",167202,168446,170725,2,23,0.6023785,0.69527315465,0.942642224793975,"1.36951139511196"
"biokurs19-05",3,100,19,18,18,1,1.596,0,2548,2258,"CB","g_sl_cut.wav",175301,176897,179579,1,19,0.625973995,0.741633495941215,0.993459657132286,"1.44334115875623"
"biokurs19-05",3,101,20,24,20,1,1.012,1,3282,2704,"DH","b_sh_cut.wav",184888,185900,189626,2,24,0.630212005,0.655398005,0.933894913709078,"1.35680292323126"
"biokurs19-05",3,102,17,22,17,1,1.068,1,3052,1733,"AF","k_click_cut.wav",194703,195771,198468,2,22,0.7114346268755,0.6072785,0.957941733691404,"1.39173918336877"
"biokurs19-05",3,103,20,21,21,1,1,0,2760,1989,"DE","p_cut.wav",203247,204247,207257,1,20,0.630212005,0.65609716465,0.934402798398779,"1.35754080007536"
"biokurs19-05",3,104,21,17,17,2,1.125,1,2698,2260,"EA","k_click_cut.wav",211967,213092,216257,2,21,0.731634202994215,0.67432684535,1.02132051065917,"1.48381861179092"
"biokurs19-05",3,105,21,19,19,2,1.311,1,2990,1600,"EC","k_asp_cut.wav",221272,222583,224895,2,21,0.75971915122533,0.7215297245245,1.07601121665197,"1.56327563492632"
"biokurs19-05",3,106,18,17,18,1,0.995,1,3043,1333,"BA","g_sl_cut.wav",229965,230960,233322,2,17,0.66979217465,0.75041980878462,1.03167269809783,"1.49885871745209"
"biokurs19-05",3,107,17,20,17,1,0.833,1,3440,1933,"AD","k_click_cut.wav",238789,239622,242740,2,20,0.802949195399544,0.6801703631245,1.07737012107432,"1.56524991004611"
"biokurs19-05",3,108,24,19,19,2,1.118,1,1752,1869,"HC","k_asp_cut.wav",246506,247624,250391,2,24,0.776538810639557,0.70127586535,1.07351653967853,"1.55965126032015"
"biokurs19-05",3,109,22,21,21,1,1.386,0,2443,1968,"FE","p_cut.wav",254859,256245,258846,1,22,0.772036805241215,0.649787995,1.03284428310472,"1.50056084682321"
"biokurs19-05",3,110,17,20,20,2,1.258,1,2516,2675,"AD","b_sh_cut.wav",263377,264635,268069,2,17,0.727782288543215,0.816742751721576,1.12197639095825,"1.63005582823298"
"biokurs19-05",3,111,24,21,21,2,0.957,1,2286,1642,"HE","p_cut.wav",272373,273330,276031,2,24,0.8260793816081,0.7503651759245,1.14516341858917,"1.66374294485483"
"biokurs19-05",3,112,19,18,19,1,1.39,1,3788,2509,"CB","k_asp_cut.wav",281840,283230,286374,2,18,0.792181093894788,0.6929067224245,1.07879990610209,"1.56732716357517"
"biokurs19-05",3,113,18,20,20,2,0.95,1,2192,1211,"BD","b_sh_cut.wav",290591,291541,293840,2,18,0.74683752834519,0.741410192994215,1.08109532944442,"1.570662053888"
"biokurs19-05",3,114,23,18,18,2,1.022,1,3082,1588,"GB","g_sl_cut.wav",298947,299969,302573,2,23,0.79330890650381,0.7439422754755,1.1166925029961,"1.62237916726413"
"biokurs19-05",3,115,20,19,20,1,0.98,1,3162,2549,"DC","b_sh_cut.wav",307756,308736,312316,2,19,0.764558901361027,0.806728417322153,1.14141708875913,"1.65830011484241"
"biokurs19-05",3,116,17,18,18,2,1.093,1,3221,1346,"AB","g_sl_cut.wav",317558,318651,320927,2,17,0.807777283048543,0.873914744342086,1.22161745676297,"1.77481867828511"
"biokurs19-05",3,117,19,22,19,1,1.319,1,3271,2350,"CF","k_asp_cut.wav",326212,327531,330606,2,22,0.863199406534704,0.67430283535,1.11687487834077,"1.62264413005292"
"biokurs19-05",3,118,21,19,21,1,1.116,1,3164,1626,"EC","p_cut.wav",335794,336910,339447,2,19,0.838253824895533,0.872775448077274,1.24292866639755,"1.80578052538947"
"biokurs19-05",3,119,19,21,19,1,1.056,1,2274,1823,"CE","k_asp_cut.wav",343740,344796,347591,2,21,0.933869729442684,0.849576057152846,1.29553358796378,"1.8822072306961"
"biokurs19-05",3,120,17,19,17,1,0.722,1,2873,2253,"AC","k_click_cut.wav",352481,353203,356750,2,19,0.935088776446032,0.938498848381696,1.35765187654597,"1.97245536707336"
