subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset,block_abs
16,1,1,1_3,1,1,1.136,1,2874,2549,02,d_sh_retr_cut.wav,7953,9089,12539,1
16,1,2,7_3,3,1,1.606,0,3082,1823,62,s_palat_cut.wav,17651,19257,21482,1
16,1,3,4_2,2,1,1.676,0,2873,1733,31,s_alv_cut.wav,26392,28068,30141,1
16,1,4,3_8,3,1,1.392,1,4089,2304,27,s_palat_cut.wav,36249,37641,40579,1
16,1,5,5_7,5,2,1.454,0,3015,1968,46,s_dent_cut.wav,45628,47082,49612,1
16,1,6,6_2,2,2,1.404,1,3332,1600,51,s_alv_cut.wav,54958,56362,58577,1
16,1,7,2_4,4,2,1.65,1,3440,1982,13,t_sl_cut.wav,64060,65710,68061,1
16,1,8,2_6,2,1,1.397,1,2863,1211,15,s_alv_cut.wav,72943,74340,76179,1
16,1,9,6_1,1,2,1.386,1,2301,1857,50,d_sh_retr_cut.wav,80505,81891,84399,1
16,1,10,5_8,5,2,1.509,0,3374,2175,47,s_dent_cut.wav,89792,91301,93979,1
16,1,11,6_4,4,2,1.465,1,3788,1642,53,t_sl_cut.wav,99788,101253,103455,1
16,1,12,2_7,2,1,1.703,1,2872,2168,16,s_alv_cut.wav,108348,110051,112550,1
16,1,13,8_3,3,2,0.993,1,2097,2011,72,s_palat_cut.wav,116675,117668,120713,1
16,1,14,1_7,1,1,1.037,1,2286,1346,06,d_sh_retr_cut.wav,125024,126061,128386,1
16,1,15,4_8,4,1,1.148,1,3052,1933,37,t_sl_cut.wav,133452,134600,137400,1
16,1,16,3_7,3,1,1.213,1,3043,1588,26,s_palat_cut.wav,142457,143670,146068,1
16,1,17,1_2,2,2,1.133,1,2398,1333,01,s_alv_cut.wav,150487,151620,153849,1
16,1,18,8_1,1,2,0.976,1,3221,1510,70,d_sh_retr_cut.wav,159097,160073,162630,1
16,1,19,5_3,5,1,1.397,1,2720,2509,42,s_dent_cut.wav,167378,168775,171914,1
16,1,20,5_4,4,2,1.621,1,3164,2704,43,t_sl_cut.wav,177103,178724,181833,1
16,1,21,4_1,1,2,0.979,1,2316,1861,30,d_sh_retr_cut.wav,186175,187154,190057,1
16,1,22,2_3,2,2,1.076,0,3569,1124,12,s_alv_cut.wav,195641,196717,198796,1
16,1,23,3_4,3,1,1.129,1,2698,2140,23,s_palat_cut.wav,203517,204646,207687,1
16,1,24,6_5,5,2,1.067,1,3282,2563,54,s_dent_cut.wav,212990,214057,217568,1
16,1,25,8_4,4,2,1.164,1,3057,2258,73,t_sl_cut.wav,222649,223813,226934,1
16,1,26,3_2,3,1,1.785,1,2760,998,21,s_palat_cut.wav,231721,233506,234741,1
16,1,27,4_5,5,2,1.851,1,2548,1584,34,s_dent_cut.wav,239314,241165,242918,1
16,1,28,7_1,1,2,1.251,1,3162,1989,60,d_sh_retr_cut.wav,248106,249357,252106,1
16,1,29,2_8,2,1,0.985,1,1752,1869,17,s_alv_cut.wav,255869,256854,259755,1
16,1,30,4_6,4,1,1.351,1,2990,2260,35,t_sl_cut.wav,264769,266120,269070,1
16,1,32,1_4,1,1,0.814,1,2608,1850,03,d_sh_retr_cut.wav,281365,282179,285229,1
16,1,33,1_5,5,2,1.177,1,2443,2253,04,s_dent_cut.wav,289698,290875,293970,1
16,1,34,3_4,4,2,1.142,1,2274,2358,23,t_sl_cut.wav,298258,299400,302644,1
16,1,35,5_2,5,1,1.224,1,3271,2016,41,s_dent_cut.wav,307931,309155,311973,1
16,1,36,1_3,3,2,1.331,1,2516,2350,02,s_palat_cut.wav,316509,317840,320876,1
16,1,37,8_5,5,2,0.947,1,3929,2675,74,s_dent_cut.wav,326829,327776,331548,1
16,1,38,1_4,4,2,1.071,1,1892,1426,03,t_sl_cut.wav,335459,336530,338903,1
16,1,39,3_1,1,2,0.793,1,2685,1626,20,d_sh_retr_cut.wav,343612,344405,347263,1
