subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset,block_abs
06,1,1,1_3,1,1,1.082,1,2873,1510,02,s_palat_cut.wav,7935,9017,11482,1
06,1,2,7_3,3,2,1.208,1,2874,2350,62,d_sh_retr_cut.wav,16376,17584,20749,1
06,1,3,4_2,2,1,1.312,0,2398,1600,31,s_dent_cut.wav,25171,26483,28781,1
06,1,4,3_8,3,1,1.737,1,1752,1850,27,d_sh_retr_cut.wav,32561,34298,36427,1
06,1,5,5_7,5,1,1.778,1,2097,1421,46,s_alv_cut.wav,40551,42329,43998,1
06,1,6,6_2,2,2,1.954,1,2685,2253,51,s_dent_cut.wav,48694,50648,52990,1
06,1,7,2_4,4,1,1.761,0,2286,2304,13,t_sl_cut.wav,57290,59051,61628,1
06,1,8,2_6,2,1,1.179,1,2872,2168,15,s_dent_cut.wav,66516,67695,70701,1
06,1,9,6_1,1,2,1.654,1,3221,2563,50,s_palat_cut.wav,75950,77604,80536,1
06,1,11,6_4,4,1,1.2,0,3015,2482,53,t_sl_cut.wav,94340,95540,98837,1
06,1,12,2_7,2,1,1.322,1,2698,1861,16,s_dent_cut.wav,103552,104874,107443,1
06,1,13,8_3,3,2,1.567,1,3929,998,72,d_sh_retr_cut.wav,113387,114954,116411,1
06,1,14,1_7,1,2,1.601,0,3162,1869,06,s_palat_cut.wav,121598,123199,125496,1
06,1,15,4_8,4,1,1.204,1,2192,2704,37,t_sl_cut.wav,129713,130917,134438,1
06,1,16,3_7,3,1,1.268,1,3374,1588,26,d_sh_retr_cut.wav,139837,141105,143437,1
06,1,17,1_2,2,2,1.264,1,2720,1124,01,s_dent_cut.wav,148179,149443,151329,1
06,1,18,8_1,1,1,1.25,0,2990,2549,70,s_palat_cut.wav,156342,157592,160914,1
06,1,19,5_3,5,2,1.166,0,1892,2258,42,s_alv_cut.wav,164826,165992,169103,1
06,1,20,5_4,4,1,1.197,0,2863,1857,43,t_sl_cut.wav,173993,175190,177876,1
06,1,21,4_1,1,1,1.716,0,2301,2140,30,s_palat_cut.wav,182196,183912,186354,1
06,1,22,2_3,2,2,1.061,0,4089,1333,12,s_dent_cut.wav,192464,193525,195823,1
06,1,23,3_4,3,2,1.229,0,2760,1982,23,d_sh_retr_cut.wav,200610,201839,204614,1
06,1,24,6_5,5,1,1.473,0,2548,2358,54,s_alv_cut.wav,209181,210654,213559,1
06,1,25,8_4,4,2,1.442,1,3057,2011,73,t_sl_cut.wav,218632,220074,222688,1
06,1,26,3_2,3,1,1.288,1,2608,2509,21,d_sh_retr_cut.wav,227321,228609,231844,1
06,1,27,4_5,5,1,1.356,0,3569,1733,34,s_alv_cut.wav,237437,238793,241201,1
06,1,28,7_1,1,2,1.52,1,3282,2675,60,s_palat_cut.wav,246502,248022,251192,1
06,1,29,2_8,2,1,1.28,1,3050,1933,17,s_dent_cut.wav,256261,257541,260210,1
06,1,30,4_6,4,1,1.368,1,2516,2175,35,t_sl_cut.wav,264740,266108,268932,1
06,1,31,3_2,2,1,0.909,0,3332,2016,21,s_dent_cut.wav,274285,275194,278320,1
06,1,32,1_4,1,2,1.33,0,3271,1211,03,s_palat_cut.wav,283611,284941,286848,1
06,1,33,1_5,5,1,1.541,0,2316,1968,04,s_alv_cut.wav,291190,292731,295179,1
06,1,34,3_4,4,2,1.386,1,3052,1584,23,t_sl_cut.wav,300246,301632,303844,1
