subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset,block_abs
07,1,1,1_3,1,1,1.998,1,3082,2168,02,s_alv_cut.wav,8138,10136,12330,1
07,1,2,7_3,3,2,1.583,1,2443,1861,62,s_dent_cut.wav,16801,18384,20681,1
07,1,3,4_2,2,1,1.424,0,3052,1642,31,s_palat_cut.wav,25748,27172,29404,1
07,1,4,3_8,3,1,1.098,1,4089,1989,27,s_dent_cut.wav,35514,36612,39529,1
07,1,5,5_7,5,2,0.972,0,3788,2549,46,d_sh_retr_cut.wav,45329,46301,49903,1
07,1,6,6_2,2,1,1.443,0,2316,2011,51,s_palat_cut.wav,54239,55682,58289,1
07,1,7,2_4,4,2,1.177,1,1892,2675,13,t_sl_cut.wav,62206,63383,66900,1
07,1,8,2_6,2,1,1.824,1,2398,1933,15,s_palat_cut.wav,71317,73141,75260,1
07,1,9,6_1,1,1,1.425,0,2698,2140,50,s_alv_cut.wav,79972,81397,84125,1
07,1,10,5_8,5,2,1.303,0,2192,2350,47,d_sh_retr_cut.wav,88338,89641,92726,1
07,1,11,6_4,4,1,1.207,0,3271,2563,53,t_sl_cut.wav,98021,99228,102611,1
07,1,12,2_7,2,1,1.221,1,2720,2509,16,s_palat_cut.wav,107355,108576,111890,1
07,1,13,8_3,3,1,1.203,0,2873,1211,72,s_dent_cut.wav,116788,117991,120014,1
07,1,14,1_7,1,1,1.424,1,2990,1600,06,s_alv_cut.wav,125029,126453,128652,1
07,1,15,4_8,4,1,1.218,1,3221,998,37,t_sl_cut.wav,133900,135118,136921,1
07,1,16,3_7,3,1,1.004,1,2301,1869,26,s_dent_cut.wav,141247,142251,145135,1
07,1,17,1_2,2,1,1.551,0,2760,2175,01,s_palat_cut.wav,149920,151471,154116,1
07,1,18,8_1,1,1,1.03,0,3929,1968,70,s_alv_cut.wav,160066,161096,164061,1
07,1,19,5_3,5,2,1.508,0,2097,2304,42,d_sh_retr_cut.wav,168172,169680,172521,1
07,1,20,5_4,4,1,1.168,0,2863,1124,43,t_sl_cut.wav,177401,178569,180550,1
07,1,21,4_1,1,1,1.089,0,2874,2016,30,s_alv_cut.wav,185447,186536,189496,1
07,1,22,2_3,2,2,1.604,0,2608,1823,12,s_palat_cut.wav,194124,195728,197960,1
07,1,23,3_4,3,1,1.293,1,2286,1584,23,s_dent_cut.wav,202264,203557,205864,1
07,1,24,6_5,5,2,1.489,1,3162,1510,54,d_sh_retr_cut.wav,211051,212540,214590,1
07,1,25,8_4,4,2,1.519,1,2548,2482,73,t_sl_cut.wav,219166,220685,223669,1
07,1,26,3_2,3,1,0.977,1,3569,2260,21,s_dent_cut.wav,229254,230231,233527,1
07,1,27,4_5,5,2,1.135,1,2516,1333,34,d_sh_retr_cut.wav,238068,239203,241418,1
07,1,28,7_1,1,1,1.055,0,3164,2358,60,s_alv_cut.wav,246609,247664,250994,1
07,1,29,2_8,2,2,1.195,0,2274,1346,17,s_palat_cut.wav,255284,256479,258675,1
07,1,30,4_6,4,1,1.354,1,3282,1857,35,t_sl_cut.wav,263972,265326,267844,1
07,1,31,3_2,2,2,1.48,1,3332,1421,21,s_palat_cut.wav,273195,274675,276635,1
07,1,32,1_4,1,1,1.287,1,1752,2253,03,s_alv_cut.wav,280397,281684,284667,1
07,1,33,1_5,5,2,0.986,1,3015,1850,04,d_sh_retr_cut.wav,289696,290682,293580,1
07,1,34,3_4,4,1,1.319,0,3374,2258,23,t_sl_cut.wav,298980,300299,303250,1
07,1,35,5_2,5,2,1.206,0,2872,1588,41,d_sh_retr_cut.wav,308149,309355,311753,1
07,1,36,1_3,3,2,1.504,1,3057,1982,02,s_dent_cut.wav,316832,318336,320859,1
07,1,37,8_5,5,2,0.968,1,3043,1733,74,d_sh_retr_cut.wav,325920,326888,329694,1
07,1,38,1_4,4,1,1.307,0,3050,1626,03,t_sl_cut.wav,334763,336070,338405,1
07,1,39,3_1,1,2,1.098,1,2685,2704,20,s_alv_cut.wav,343109,344207,347856,1
07,1,40,3_1,3,1,1.473,1,3440,1426,20,s_dent_cut.wav,353322,354795,356783,1
07,2,1,8_3,3,1,1.241,0,3082,2509,hc,o.wav,8127,9368,12646,2
07,2,2,1_2,2,2,0.858,1,2548,1989,ab,i.wav,17219,18077,21229,2
07,2,3,7_1,1,1,1.105,0,2872,1426,ga,a_uml.wav,26112,27217,29555,2
07,2,4,4_5,5,2,1.138,1,3043,2258,de,a_low.wav,34621,35759,38902,2
07,2,5,3_2,2,2,1.163,1,3569,1346,cb,i.wav,44498,45661,47857,2
07,2,6,1_6,1,1,1.209,1,2685,2304,af,a_uml.wav,52557,53766,56904,2
07,2,7,4_3,4,1,1.599,1,3788,1857,dc,u.wav,62709,64308,66608,2
07,2,8,7_2,2,2,0.924,1,3221,1933,gb,i.wav,71848,72772,75804,2
07,2,9,5_8,5,2,1.042,0,2301,1211,eh,a_low.wav,80120,81162,83349,2
07,2,10,6_3,3,2,1.432,1,2608,2016,fc,o.wav,87982,89414,92012,2
07,2,11,6_2,2,2,0.801,1,2760,2358,fb,i.wav,96792,97593,101172,2
07,2,12,3_5,3,2,1.064,0,2274,2549,ce,o.wav,105462,106526,110039,2
07,2,13,1_8,1,1,1.272,1,1892,1626,ah,a_uml.wav,113951,115223,117596,2
07,2,14,3_4,3,2,1.6,0,2316,1510,cd,o.wav,121931,123531,125462,2
07,2,15,4_6,4,1,1.2,1,2990,1968,df,u.wav,130480,131680,134471,2
07,2,16,4_2,2,2,0.87,1,2097,2140,db,i.wav,138583,139453,142750,2
07,2,17,5_4,4,2,1.228,1,2698,2350,ed,u.wav,147468,148696,151831,2
07,2,18,2_5,5,2,1.479,1,2192,1333,be,a_low.wav,156047,157526,159401,2
07,2,19,5_3,3,2,1.445,1,2398,2260,ec,o.wav,163826,165271,168115,2
07,2,20,3_5,5,1,1.505,0,3052,1869,ce,a_low.wav,173192,174697,177075,2
07,2,21,6_1,1,2,0.946,1,2720,1124,fa,a_uml.wav,181820,182766,184970,2
07,2,22,4_7,4,1,1.32,1,3271,2482,dg,u.wav,190264,191584,194790,2
07,2,23,3_8,3,1,1.406,1,2873,1733,ch,o.wav,199680,201086,203428,2
07,2,24,1_5,1,1,0.988,1,3440,1584,ae,a_uml.wav,208887,209875,212488,2
07,2,25,2_3,2,1,0.939,1,2874,2175,bc,i.wav,217387,218326,221577,2
07,2,26,5_2,5,1,1.23,1,2443,998,eb,a_low.wav,226041,227271,229076,2
07,2,27,8_2,2,2,0.932,1,4089,2168,hb,i.wav,235189,236121,239383,2
07,2,28,3_1,1,2,0.939,1,2286,1823,ca,a_uml.wav,243698,244637,247536,2
07,2,29,6_5,5,2,1.231,1,2863,1850,fe,a_low.wav,252417,253648,256310,2
07,2,30,1_3,1,1,1.112,1,3282,2704,ac,a_uml.wav,261618,262730,266337,2
07,2,31,4_2,4,1,1.183,1,3164,2675,db,u.wav,271527,272710,276229,2
07,2,32,5_7,5,1,1.771,1,3057,2253,eg,a_low.wav,281304,283075,285584,2
07,2,33,6_4,4,1,1.192,0,3050,1421,fd,u.wav,290649,291841,294104,2
07,2,34,2_8,2,1,0.928,1,3332,1642,bh,i.wav,299446,300374,303107,2
07,2,35,8_4,4,2,1.485,1,2516,1588,hd,u.wav,307644,309129,311249,2
07,2,36,5_6,5,1,1.17,1,3929,1600,ef,a_low.wav,317199,318369,320825,2
07,2,37,1_3,3,2,1.082,1,3162,2011,ac,o.wav,326014,327096,330036,2
07,2,38,1_2,1,1,1.273,1,3015,2563,ab,a_uml.wav,335076,336349,339655,2
07,2,39,3_6,3,1,1.058,1,3374,1861,cf,o.wav,345053,346111,348944,2
