subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset,block_abs
04,1,1,1_3,1,1,1.244,1,3043,1211,02,s_palat_cut.wav,8114,9358,11336,1
04,1,2,7_3,3,1,1.444,0,3440,1584,62,t_sl_cut.wav,16819,18263,20420,1
04,1,3,4_2,2,1,1.211,0,2316,1857,31,s_alv_cut.wav,24780,25991,28658,1
04,1,4,3_8,3,1,1.227,1,2874,2258,27,t_sl_cut.wav,33551,34778,37823,1
04,1,6,6_2,2,1,1.693,0,2274,1869,51,s_alv_cut.wav,50978,52671,54875,1
04,1,7,2_4,4,2,1.157,1,2443,2675,13,d_sh_retr_cut.wav,59360,60517,64054,1
04,1,8,2_6,2,1,1.348,1,2301,2358,15,s_alv_cut.wav,68374,69722,72751,1
04,1,9,6_1,1,1,0.939,0,3052,1823,50,s_palat_cut.wav,77818,78757,81656,1
04,1,10,5_8,5,2,1.501,0,3082,1861,47,s_dent_cut.wav,86755,88256,90636,1
04,1,11,6_4,4,1,0.82,0,2698,1421,53,d_sh_retr_cut.wav,95349,96169,98783,1
04,1,12,2_7,2,1,1.199,1,2872,2304,16,s_alv_cut.wav,103665,104864,107986,1
04,1,13,8_3,3,1,1.448,0,2608,2168,72,t_sl_cut.wav,112610,114058,116810,1
04,1,14,1_7,1,1,1.334,1,3271,2260,06,s_palat_cut.wav,122109,123443,126395,1
04,1,15,4_8,4,1,1.052,1,2097,2016,37,d_sh_retr_cut.wav,130517,131569,134560,1
04,1,16,3_7,3,1,0.881,1,3282,1982,26,t_sl_cut.wav,139862,140743,143860,1
04,1,17,1_2,2,1,1.118,0,3929,1968,01,s_alv_cut.wav,149807,150925,153801,1
04,1,18,8_1,1,2,1.849,1,2990,2350,70,s_palat_cut.wav,158806,160655,163179,1
04,1,19,5_3,5,1,1.126,1,2286,2482,42,s_dent_cut.wav,167489,168615,171987,1
04,1,20,5_4,4,1,1.495,0,2685,2140,43,d_sh_retr_cut.wav,176688,178183,180854,1
04,1,21,4_1,1,2,1.295,1,2548,2175,30,s_palat_cut.wav,185422,186717,189618,1
04,1,22,2_3,2,2,1.372,0,3374,1124,12,s_alv_cut.wav,195013,196385,198167,1
04,1,23,3_4,3,1,1.278,1,1752,2253,23,t_sl_cut.wav,201942,203220,206229,1
04,1,24,6_5,5,1,1.045,0,2192,1588,54,s_dent_cut.wav,210435,211480,214044,1
04,1,25,8_4,4,2,1.395,1,3221,1333,73,d_sh_retr_cut.wav,219287,220682,222643,1
04,1,26,3_2,3,1,0.908,1,3162,1600,21,t_sl_cut.wav,227832,228740,231443,1
