subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset,block_abs
10,3,5,6_1,1,1,1.774,0,2720,2140,NI,n_palat_cut.wav,41963,43737,46129,4
10,3,6,4_7,4,1,1.132,1,3050,1510,LO,r_dent_cut.wav,51200,52332,54726,4
10,3,7,7_2,2,2,1.158,1,3282,1211,OJ,r_dent_trill_cut.wav,60037,61195,63263,4
10,3,8,8_1,1,2,0.903,1,3788,1982,PI,n_palat_cut.wav,69076,69979,73083,4
10,3,9,3_4,3,1,1.492,1,3164,1626,KL,n_alv_cut.wav,78265,79757,81918,4
10,3,11,8_2,2,2,0.656,1,2874,2358,PJ,r_dent_trill_cut.wav,95949,96605,100321,4
10,3,12,5_3,3,2,0.637,1,3374,1600,MK,n_alv_cut.wav,105711,106348,109324,4
10,3,13,1_2,2,2,0.687,1,3929,1642,IJ,r_dent_trill_cut.wav,115280,115967,118948,4
10,3,14,5_1,5,2,1.095,0,2990,1733,MI,n_velar_cut.wav,123959,125054,127715,4
10,3,15,4_3,3,1,1.304,0,1752,2350,LK,n_alv_cut.wav,131485,132789,135852,4
10,3,16,6_5,5,2,1.783,1,3043,1584,NM,n_velar_cut.wav,140919,142702,144526,4
10,3,17,8_4,4,2,0.732,1,3015,1346,PL,r_dent_cut.wav,149566,150298,152928,4
10,3,18,6_2,2,2,0.634,1,3332,2168,NJ,r_dent_trill_cut.wav,158274,158908,162461,4
10,3,19,3_1,3,1,1.458,1,2192,2304,KI,n_alv_cut.wav,166681,168139,171006,4
10,3,20,5_2,2,2,0.616,1,2685,2563,MJ,r_dent_trill_cut.wav,175708,176324,180296,4
10,3,21,6_3,3,2,0.672,1,2698,2704,NK,n_alv_cut.wav,185018,185690,189735,4
10,3,22,4_8,4,1,0.692,1,3057,1861,LP,r_dent_cut.wav,194818,195510,198706,4
10,3,23,7_5,5,1,1.565,0,3162,2258,OM,n_velar_cut.wav,203883,205448,208152,4
10,3,24,1_6,1,1,1.053,1,2398,1426,IN,n_palat_cut.wav,212577,213630,216013,4
10,3,25,2_4,4,1,1.74,0,2316,2675,JL,r_dent_cut.wav,220352,222092,225049,4
10,3,26,1_5,5,2,1.645,1,2274,2482,IM,n_velar_cut.wav,229342,230987,233851,4
10,3,27,5_4,4,2,0.749,1,2443,998,ML,r_dent_cut.wav,238311,239060,241328,4
10,3,28,1_2,1,1,0.977,1,2760,2175,IJ,n_palat_cut.wav,246112,247089,250309,4
10,3,29,5_8,5,1,1.672,1,2286,2253,MP,n_velar_cut.wav,254616,256288,258885,4
10,3,30,3_6,3,1,0.817,1,2872,1823,KN,n_alv_cut.wav,263771,264588,267611,4
10,3,31,2_5,5,1,0.748,0,2608,2011,JM,n_velar_cut.wav,272236,272984,276279,4
10,3,32,4_5,4,1,0.742,1,3440,1989,LM,r_dent_cut.wav,281744,282486,285750,4
10,3,33,3_1,1,2,1.502,1,4089,1421,KI,n_palat_cut.wav,291851,293353,295298,4
10,3,34,8_3,3,1,0.98,0,3271,1857,PK,n_alv_cut.wav,300579,301559,304481,4
10,3,35,6_4,4,1,0.971,0,2301,1933,NL,r_dent_cut.wav,308801,309772,312770,4
10,3,36,7_1,1,2,0.936,1,2548,1850,OI,n_palat_cut.wav,317332,318268,321203,4
10,3,37,2_4,2,2,1.967,0,3221,1869,JL,r_dent_trill_cut.wav,326450,328417,330342,4
10,3,38,4_1,1,2,1.075,1,2097,2260,LI,n_palat_cut.wav,334464,335539,338751,4
10,3,39,2_3,2,2,1.019,0,1892,2549,JK,r_dent_trill_cut.wav,342668,343687,347253,4
10,3,40,8_5,5,2,1.236,1,2863,2509,PM,n_velar_cut.wav,352136,353372,356671,4
