subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset,block_abs
02,1,1,1_3,1,1,1.018,1,3050,2350,02,s_alv_cut.wav,8098,9116,12468,1
02,1,2,7_3,3,2,1.15,1,3164,1733,62,t_sl_cut.wav,17656,18806,21416,1
02,1,3,4_2,2,2,1.357,1,3052,998,31,d_sh_retr_cut.wav,26487,27844,29517,1
02,1,4,3_8,3,1,1.146,1,3057,2563,27,t_sl_cut.wav,34598,35744,39188,1
02,1,5,5_7,5,1,1.355,1,2873,1421,46,s_palat_cut.wav,44085,45440,47522,1
02,1,6,6_2,2,2,1.377,1,2548,1588,51,d_sh_retr_cut.wav,52081,53458,55689,1
02,1,7,2_4,4,2,1.777,1,2872,2260,13,s_dent_cut.wav,60582,62359,64859,1
02,1,8,2_6,2,1,1.028,1,3282,1933,15,d_sh_retr_cut.wav,70166,71194,74114,1
02,1,9,6_1,1,2,1.505,1,2760,1823,50,s_alv_cut.wav,78888,80393,82733,1
02,1,10,5_8,5,1,1.055,1,2274,1584,47,s_palat_cut.wav,87025,88080,90636,1
02,1,11,6_4,4,1,1.645,0,4089,1869,53,s_dent_cut.wav,96751,98396,100646,1
02,1,12,2_7,2,1,0.975,1,3082,2549,16,d_sh_retr_cut.wav,105753,106728,110322,1
02,1,13,8_3,3,2,1.099,1,2685,1346,72,t_sl_cut.wav,115027,116126,118399,1
02,1,14,1_7,1,1,1.2,1,3332,1861,06,s_alv_cut.wav,123745,124945,127625,1
02,1,15,4_8,4,1,1.394,1,2516,1600,37,s_dent_cut.wav,132156,133550,135773,1
02,1,16,3_7,3,1,1.205,1,3374,1642,26,t_sl_cut.wav,141174,142379,144828,1
02,1,17,1_2,2,2,1.408,1,1752,2168,01,d_sh_retr_cut.wav,148601,150009,152785,1
02,1,18,8_1,1,2,1.457,1,2286,1968,70,s_alv_cut.wav,157100,158557,161101,1
02,1,19,5_3,5,1,1.029,1,3271,1989,42,s_palat_cut.wav,166387,167416,170402,1
02,1,20,5_4,4,1,1.413,0,3788,1333,43,s_dent_cut.wav,176202,177615,179560,1
02,1,21,4_1,1,2,1.122,1,3043,2509,30,s_alv_cut.wav,184630,185752,189162,1
02,1,22,2_3,2,1,1.23,1,2316,1850,12,d_sh_retr_cut.wav,193503,194733,197375,1
02,1,23,3_4,3,1,1.356,1,2443,2482,23,t_sl_cut.wav,201844,203200,206344,1
02,1,24,6_5,5,2,1.291,1,1892,2358,54,s_palat_cut.wav,210253,211544,214629,1
02,1,25,8_4,4,2,1.784,1,3929,1510,73,s_dent_cut.wav,220574,222358,224110,1
02,1,26,3_2,3,1,1.278,1,2720,1982,21,t_sl_cut.wav,228859,230137,232885,1
02,1,27,4_5,5,2,1.115,1,2097,2016,34,s_palat_cut.wav,237000,238115,241043,1
02,1,28,7_1,1,2,1.279,1,2874,2675,60,s_alv_cut.wav,245937,247216,250644,1
02,1,29,2_8,2,1,1.153,1,3569,1124,17,d_sh_retr_cut.wav,256232,257385,259387,1
02,1,30,4_6,4,1,1.098,1,2990,1857,35,s_dent_cut.wav,264400,265498,268280,1
02,1,31,3_2,2,2,1.159,1,2863,2175,21,d_sh_retr_cut.wav,273162,274321,277362,1
02,1,32,1_4,1,1,1.302,1,2192,2304,03,s_alv_cut.wav,281576,282878,285900,1
02,1,33,1_5,5,2,1.092,1,2301,2258,04,s_palat_cut.wav,290218,291310,294495,1
02,1,34,3_4,4,2,1.191,1,3221,2140,23,s_dent_cut.wav,299742,300933,303905,1
02,1,35,5_2,5,1,1.37,1,3440,2704,41,s_palat_cut.wav,309366,310736,314105,1
02,1,36,1_3,3,2,1.257,1,3162,1426,02,t_sl_cut.wav,319293,320550,322729,1
02,1,37,8_5,5,2,1.117,1,2398,1211,74,s_palat_cut.wav,327151,328268,330372,1
02,1,38,1_4,4,2,1.152,1,2698,1626,03,s_dent_cut.wav,335095,336247,338752,1
02,1,39,3_1,1,2,1.164,1,3015,2011,20,s_alv_cut.wav,343786,344950,347830,1
02,1,40,3_1,3,1,1.12,1,2608,2253,20,t_sl_cut.wav,352463,353583,356730,1
02,2,1,8_3,3,2,1.363,1,3050,1346,hc,u.wav,8093,9456,11464,2
02,2,2,1_2,2,1,1.213,0,2398,1333,ab,a_uml.wav,15868,17081,19220,2
02,2,3,7_1,1,1,1.623,0,3043,1588,ga,o.wav,24290,25913,27901,2
02,2,5,3_2,2,2,0.947,1,4089,1968,cb,a_uml.wav,43292,44239,47286,2
02,2,6,1_6,1,2,1.44,0,2873,2549,af,o.wav,52174,53614,56738,2
02,2,7,4_3,4,2,1.612,0,1752,2563,dc,a_low.wav,60511,62123,65090,2
02,2,8,7_2,2,2,1.452,1,3332,2016,gb,a_uml.wav,70446,71898,74481,2
