subjID,drift,alpha,alpha_mod,tau,drift_mod,eta_pos,eta_neg
biokurs19-01,0,1.57613430908314,0.0198603300596029,0.748835444413321,1.76002147246695,0.00100547714163829,0.000908752770998518
biokurs19-02,0,1.50119234798351,0.0196005474389825,0.861210839912963,1.98111576440553,0.00101282802645826,0.00091375303666746
biokurs19-03,0,1.53807590717463,0.0201349780948012,0.6140012962989,1.49563172467249,0.00100081525020386,0.000920144220288865
biokurs19-04,0,1.6853132188333,0.0205858988675729,0.60156321998212,0.754081404527934,0.000934643257226659,0.000898553396129835
biokurs19-05,0,1.6716539379707,0.019946005001801,0.590467503345151,1.78076402776009,0.00101928661859331,0.000920387664512387
biokurs19-06,0,1.63453139652562,0.0195148174511117,0.650447522881369,1.01879030412677,0.000961135051213827,0.000893310045941836
biokurs19-07,0,1.55142014384407,0.0196353838569799,0.74432382861993,1.00260437508955,0.000960807423819822,0.000915800782415229
biokurs19-08,0,1.68305477550994,0.0206087814406633,0.537177519176553,1.08426750613545,0.000977690890067997,0.000909247869039245
biokurs19-09,0,1.56764691346403,0.0195382723159814,0.750427118570439,1.09932765531053,0.000983209730843879,0.000906647767833326
biokurs19-10,0,1.63516243991667,0.02026681698834,0.48412428245063,1.34019639251812,0.000981085088231013,0.00091998289913049
biokurs19-11,0,1.72814805761865,0.0196896469887773,0.500648149009143,0.914228221933778,0.000967496977436717,0.00089545834552505
biokurs19-12,0,1.66332680144588,0.0217460167239655,0.597026429716753,1.5111188998294,0.000999129187709556,0.000916286839856003
biokurs19-13,0,1.79106694924125,0.0212965162995711,0.568996804424788,1.24343998398241,0.000953615759478678,0.000910185034807537
biokurs19-14,0,1.68125937202552,0.0204133680572952,0.60009544881613,1.54286973115286,0.000987187179789668,0.000909355756681742
biokurs19-15,0,1.54587556575997,0.0200104730528015,0.604720494807162,1.51238247728404,0.000989769637523897,0.000911104720842197
biokurs19-16,0,1.6822405049024,0.0205783127046076,0.733367091830242,1.17859176067814,0.000999465118135508,0.000901057466653964
biokurs19-17,0,1.53476585337119,0.0206431225482066,0.498257228227675,1.52260754526767,0.00099478202112748,0.000912868129535504
