subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-12,1,1,1,3,1,2,1.155,0,3,7758,8913,12342,-0.5,0.755559449914701,1.14174016471081,0.5,0.5
biokurs19-12,1,2,7,3,3,2,1.393,1,7,16932,18325,21223,0.499541856580072,0.755905589129886,1.14226322222085,0.500458143419928,0.5
biokurs19-12,1,3,4,2,2,1,0.764,0,4,25863,26627,29700,-0.5,0.755559449914701,1.14174016471081,0.5,0.5
biokurs19-12,1,4,3,8,3,1,0.805,1,8,35506,36311,39699,0.499042752348898,0.756282660732182,1.14283302224567,0.500957247651102,0.5
biokurs19-12,1,5,5,7,5,1,0.962,1,7,44260,45222,47623,0.5,0.755936868647456,1.14231048929103,0.5,0.500499564593855
biokurs19-12,1,6,6,2,2,2,1.277,1,6,52512,53789,56515,0.499541856580072,0.755905589129886,1.14226322222085,0.500458143419928,0.5
biokurs19-12,1,7,2,4,4,2,1.06,1,2,61417,62477,64961,0.499541856580072,0.756628799947366,1.1433560797557,0.500458143419928,0.500957247651102
biokurs19-12,1,8,2,6,2,1,1.307,1,6,69086,70393,73680,0.498541850926192,0.757038507615993,1.14397519675717,0.501458149073808,0.500499564593855
biokurs19-12,1,9,6,1,1,2,0.911,1,6,78864,79775,82102,0.499541856580072,0.756661089493967,1.14340487309984,0.500458143419928,0.501000006465146
biokurs19-12,1,10,5,8,5,1,1.14,1,8,86990,88130,90454,0.499500435406145,0.756314287380211,1.14288081387124,0.500499564593855,0.500499564593855
biokurs19-12,1,11,6,4,4,2,1.315,1,6,94751,96066,99027,0.499042752348898,0.757416907310493,1.14454700368722,0.500957247651102,0.501501327847626
biokurs19-12,1,12,2,7,2,1,0.852,1,7,103326,104178,106351,0.498044503481574,0.757792333369692,1.14511431710076,0.501955496518426,0.501000006465146
biokurs19-12,1,13,8,3,3,2,0.942,1,8,111419,112361,115375,0.498544524583895,0.757414570410716,1.1445434723538,0.501455475416105,0.501000006465146
biokurs19-12,1,14,1,7,1,1,0.939,1,7,120830,121769,125522,0.499042752348898,0.757416907310493,1.14454700368722,0.500957247651102,0.501501327847626
biokurs19-12,1,15,4,8,4,1,0.966,1,8,130226,131192,134234,0.498544524583895,0.757793316624946,1.14511580291636,0.501455475416105,0.501501327847626
biokurs19-12,1,16,3,7,3,1,0.643,1,7,139523,140166,143191,0.498047171053378,0.75854847782161,1.14625694127306,0.501952828946622,0.50200353098281
biokurs19-12,1,17,1,2,2,2,1.034,1,1,148544,149578,153072,0.497548028027865,0.75851153834654,1.14620112133413,0.502451971972135,0.501455475416105
biokurs19-12,1,18,8,1,1,2,0.77,1,8,158147,158917,162038,0.498042748926702,0.758551817868338,1.14626198848079,0.501957251073298,0.50200353098281
biokurs19-12,1,19,5,3,5,1,0.888,1,3,166930,167818,170278,0.499001748089727,0.758164083104271,1.14567607515069,0.500998251910273,0.50244931046658
