block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	4	0	0	2	2516	1901	db	norm_d.wav	20548	0	24504
1	2	2_3	2	2	1177	0	1754	930	bc	norm_s.wav	28291	29468	31251
1	3	2_1	1	0	0	2	3185	2062	ba	norm_a.wav	36473	0	40567
1	4	4_1	1	2	796	1	2662	974	da	norm_a.wav	45268	46064	48264
1	5	1_2	1	1	1323	1	2379	2244	ab	norm_a.wav	52670	53993	56968
1	6	3_2	2	2	1462	1	1644	2855	cb	norm_s.wav	60636	62098	65514
1	7	1_4	4	1	1809	0	1955	1902	ad	norm_d.wav	69498	71307	73429
1	8	3_4	4	2	1563	1	2484	2151	cd	norm_d.wav	77945	79508	82146
1	9	2_4	2	1	1284	1	3054	1861	bd	norm_s.wav	87233	88517	91124
1	10	4_2	2	2	1923	1	2068	2140	db	norm_s.wav	95215	97138	99387
1	11	1_4	1	1	1326	1	2542	1588	ad	norm_a.wav	103957	105283	107570
1	12	4_3	4	1	1465	1	2496	2689	dc	norm_d.wav	112096	113561	116822
1	13	3_1	1	2	1286	1	2387	2718	ca	norm_a.wav	121238	122524	125986
1	14	3_4	3	1	1158	1	2128	1211	cd	norm_o.wav	130147	131305	133380
1	15	1_3	3	1	1613	0	3050	1019	ac	norm_o.wav	138454	140067	141506
1	16	1_3	1	1	1880	1	2538	1823	ac	norm_a.wav	146076	147956	149928
1	17	2_3	3	1	1242	0	2067	2369	bc	norm_o.wav	154023	155265	158425
1	18	4_3	3	2	602	1	2115	1396	dc	norm_o.wav	162573	163175	166004
1	19	1_2	2	2	1295	1	2685	1765	ab	norm_s.wav	170727	172022	174524
1	20	3_1	3	1	1729	1	3046	1463	ca	norm_o.wav	179606	181335	183107
1	21	3_2	3	1	1007	1	2448	1699	cb	norm_o.wav	187593	188600	191327
1	22	2_1	2	2	1044	0	2656	2549	ba	norm_s.wav	196018	197062	200612
1	23	4_1	4	0	0	2	1943	1580	da	norm_d.wav	204590	0	208194
1	24	2_4	4	2	1220	1	1892	2350	bd	norm_d.wav	212124	213344	216498
1	25	4_1	4	2	1528	0	2813	3454	da	norm_d.wav	221346	222874	226837
1	26	1_4	1	1	1913	1	2776	2412	ad	norm_a.wav	231644	233557	236080
1	27	3_1	1	2	1377	1	3058	1470	ca	norm_a.wav	241177	242554	244690
1	28	1_4	4	2	1739	1	2122	2677	ad	norm_d.wav	248843	250582	253564
1	29	4_2	4	1	1343	1	3272	2253	db	norm_d.wav	258861	260204	263142
1	30	2_4	4	2	1975	1	2659	2016	bd	norm_d.wav	267832	269807	271890
1	31	3_1	3	1	1505	1	2417	2480	ca	norm_o.wav	276342	277847	280872
1	32	1_2	2	2	831	1	3266	1863	ab	norm_s.wav	286176	287007	290073
