block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	4	0	0	2	1892	974	db	norm_a.wav	24259	0	27262
1	2	2_3	2	2	1451	0	2516	2253	bc	norm_s.wav	31804	33255	36090
1	3	2_1	1	1	1437	0	1955	1901	ba	norm_o.wav	40076	41513	44021
1	4	4_1	1	0	0	2	2496	1470	da	norm_o.wav	48550	0	52057
1	5	1_2	1	2	1168	0	2387	2151	ab	norm_o.wav	56474	57642	60671
1	6	3_2	2	2	1979	1	2659	1588	cb	norm_s.wav	65363	67342	68975
1	7	1_4	4	1	1095	0	3266	2480	ad	norm_a.wav	74270	75365	78800
1	8	3_4	4	2	922	1	2128	3454	cd	norm_a.wav	82965	83887	88473
1	9	2_4	2	2	1310	0	3054	1863	bd	norm_s.wav	93557	94867	97449
1	10	4_2	2	1	1027	0	2448	1823	db	norm_s.wav	101934	102961	105792
1	11	1_4	1	2	1320	0	2685	2369	ad	norm_o.wav	110504	111824	114921
1	12	4_3	4	2	1473	0	1754	2689	dc	norm_a.wav	118707	120180	123424
1	13	3_1	1	0	0	2	2417	1463	ca	norm_o.wav	127869	0	131365
1	14	3_4	3	2	1297	0	2656	1699	cd	norm_d.wav	136058	137355	139784
1	15	1_3	3	1	1026	0	2662	1765	ac	norm_d.wav	144481	145507	148283
1	16	1_3	1	0	0	2	2776	2140	ac	norm_o.wav	153095	0	157258
1	17	2_3	3	1	1691	0	1943	2855	bc	norm_d.wav	161228	162919	166123
1	18	4_3	3	2	1363	1	3050	2549	dc	norm_d.wav	171201	172564	175783
1	19	1_2	2	1	1511	0	2115	2350	ab	norm_s.wav	179933	181444	184317
1	20	3_1	3	2	1593	0	1644	2244	ca	norm_d.wav	187995	189588	192278
1	21	3_2	3	1	1467	1	2542	1019	cb	norm_d.wav	196843	198310	199886
1	22	2_1	2	2	1214	0	2068	1580	ba	norm_s.wav	203985	205199	207597
1	23	4_1	4	2	1678	0	2484	1902	da	norm_a.wav	212118	213796	216052
1	24	2_4	4	1	1219	0	2813	930	bd	norm_a.wav	220897	222116	223863
1	25	4_1	4	2	1147	0	3058	2718	da	norm_a.wav	228958	230105	233717
1	26	1_4	1	1	1812	1	2538	1211	ad	norm_o.wav	238288	240100	241527
1	27	3_1	1	1	889	0	2379	2016	ca	norm_o.wav	245945	246834	249998
1	28	1_4	4	2	1327	1	3185	1861	ad	norm_a.wav	255218	256545	259110
1	29	4_2	4	1	1541	1	2067	2677	db	norm_a.wav	263216	264757	267926
1	30	2_4	4	2	1336	1	3272	1396	bd	norm_a.wav	273221	274557	276644
1	31	3_1	3	0	0	2	2122	2062	ca	norm_d.wav	280804	0	284894
1	32	1_2	2	2	1465	1	3046	2412	ab	norm_s.wav	289978	291443	294443
