block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	4	1	752	1	2659	1463	db	norm_a.wav	26586	27338	30085
1	2	2_3	2	2	862	0	2542	2253	bc	norm_o.wav	34698	35560	38976
1	3	2_1	1	1	979	0	2417	2350	ba	norm_d.wav	43508	44487	47892
1	4	4_1	1	1	496	0	3046	1580	da	norm_d.wav	52972	53468	56574
1	5	1_2	1	2	605	0	2068	1901	ab	norm_d.wav	60679	61284	64613
1	6	3_2	2	1	914	0	2448	930	cb	norm_o.wav	69094	70008	72060
1	7	1_4	4	2	740	1	2484	1765	ad	norm_a.wav	76582	77322	80380
1	8	3_4	4	2	882	1	2662	1902	cd	norm_a.wav	85078	85960	89002
1	9	2_4	2	0	0	2	3272	974	bd	norm_o.wav	94307	0	97310
1	10	4_2	2	2	599	1	1754	2677	db	norm_o.wav	101091	101690	105798
1	11	1_4	1	2	854	0	3058	1588	ad	norm_d.wav	110880	111734	114511
1	12	4_3	4	1	622	1	1955	1861	dc	norm_a.wav	118495	119117	122385
1	13	3_1	1	1	791	0	2813	3454	ca	norm_d.wav	127222	128013	132713
1	14	3_4	3	2	1096	0	2122	2016	cd	norm_s.wav	136949	138045	140994
1	15	1_3	3	0	0	2	2496	1699	ac	norm_s.wav	145525	0	149245
1	16	1_3	1	1	472	1	2379	2151	ac	norm_d.wav	153660	154132	157833
1	17	2_3	3	2	894	1	3266	2718	bc	norm_s.wav	163132	164026	167885
1	18	4_3	3	1	655	0	3185	1470	dc	norm_s.wav	173103	173758	176622
1	19	1_2	2	2	381	1	1892	2062	ab	norm_o.wav	180545	180926	184649
1	20	3_1	3	2	677	0	1644	2480	ca	norm_s.wav	188316	188993	192819
1	21	3_2	3	1	741	1	2115	2855	cb	norm_s.wav	196972	197713	201862
1	22	2_1	2	2	740	0	2387	1211	ba	norm_o.wav	206279	207019	209520
1	23	4_1	4	1	523	1	2656	2412	da	norm_a.wav	214199	214722	218640
1	24	2_4	4	1	934	0	3050	1863	bd	norm_a.wav	223712	224646	227609
1	25	4_1	4	1	581	1	2685	2689	da	norm_a.wav	232332	232913	237070
1	26	1_4	1	2	880	0	3054	2369	ad	norm_d.wav	242153	243033	246569
1	27	3_1	1	1	827	0	2067	2549	ca	norm_d.wav	250668	251495	255251
1	28	1_4	4	2	1426	1	2516	1396	ad	norm_a.wav	259802	261228	263233
1	29	4_2	4	2	1098	0	2128	1823	db	norm_a.wav	267399	268497	271262
1	30	2_4	4	1	679	0	2538	2140	bd	norm_a.wav	275828	276507	279997
1	31	3_1	3	2	1900	0	2776	1019	ca	norm_s.wav	284801	286701	287845
1	32	1_2	2	0	0	2	1943	2244	ab	norm_o.wav	291820	0	296088
