subj_idx,block,trial,Vstim,Astim,match,response,result,rt,fb,V-file,A-file
4,3,12,2,1,0,1,1,1.811,1,<U+10C2>,DEU_g.wav
4,3,13,3,2,0,1,1,1.682,1,<U+10AA>,DEU_r_1.wav
4,3,15,2,2,1,1,0,1.36,0,<U+10C2>,DEU_r_1.wav
4,3,16,3,3,1,2,1,1.156,1,<U+10AA>,DEU_a_short.wav
4,3,17,1,3,0,2,0,0.891,0,<U+10A7>,DEU_a_short.wav
4,3,18,3,2,0,1,1,1.188,1,<U+10AA>,DEU_r_1.wav
4,3,19,1,1,1,2,1,1.281,1,<U+10A7>,DEU_g.wav
4,3,20,3,3,1,2,1,1.229,1,<U+10AA>,DEU_a_short.wav
4,3,21,1,3,0,1,1,1.308,1,<U+10A7>,DEU_a_short.wav
4,3,22,2,1,0,1,1,1.443,1,<U+10C2>,DEU_g.wav
4,3,23,1,1,1,1,0,1.572,0,<U+10A7>,DEU_g.wav
4,3,25,3,3,1,2,1,1.011,1,<U+10AA>,DEU_a_short.wav
4,3,27,3,2,0,1,1,1.027,1,<U+10AA>,DEU_r_1.wav
4,3,28,2,1,0,1,1,1.094,1,<U+10C2>,DEU_g.wav
4,3,29,1,3,0,1,1,0.998,1,<U+10A7>,DEU_a_short.wav
4,3,30,2,2,1,2,1,1.724,1,<U+10C2>,DEU_r_1.wav
4,4,1,3,2,0,1,1,1.444,1,<U+10C5>,DEU_h.wav
4,4,3,3,3,1,2,1,1.583,1,<U+10C5>,DEU_l_1.wav
4,4,4,2,1,0,2,0,1.378,0,<U+10BE>,DEU_s_1.wav
4,4,5,1,1,1,1,0,1.208,0,<U+10AB>,DEU_s_1.wav
4,4,6,2,2,1,2,1,1.027,1,<U+10BE>,DEU_h.wav
4,4,7,3,2,0,2,0,1.75,0,<U+10C5>,DEU_h.wav
4,4,8,2,2,1,2,1,0.939,1,<U+10BE>,DEU_h.wav
4,4,9,3,3,1,1,0,1.614,0,<U+10C5>,DEU_l_1.wav
4,4,10,1,3,0,2,0,1.285,0,<U+10AB>,DEU_l_1.wav
4,4,11,2,1,0,1,1,0.934,1,<U+10BE>,DEU_s_1.wav
4,4,12,3,2,0,1,1,1.067,1,<U+10C5>,DEU_h.wav
4,4,13,2,1,0,1,1,0.813,1,<U+10BE>,DEU_s_1.wav
4,4,14,1,1,1,1,0,1.354,0,<U+10AB>,DEU_s_1.wav
4,4,15,2,1,0,1,1,1.356,1,<U+10BE>,DEU_s_1.wav
4,4,16,3,3,1,2,1,1.034,1,<U+10C5>,DEU_l_1.wav
4,4,17,1,1,1,2,1,1.321,1,<U+10AB>,DEU_s_1.wav
4,4,18,2,2,1,2,1,1.537,1,<U+10BE>,DEU_h.wav
4,4,19,1,3,0,2,0,1.944,0,<U+10AB>,DEU_l_1.wav
4,4,20,3,2,0,2,0,1.383,0,<U+10C5>,DEU_h.wav
4,4,21,1,3,0,2,0,1.532,0,<U+10AB>,DEU_l_1.wav
