block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	1_3	1	1	878	1	3164	1968	02	t_sl_cut.wav	8211	9089	12193
1	2	7_3	3	1	1211	0	2874	1733	62	d_sh_retr_cut.wav	17074	18285	20829
1	3	4_2	2	1	1082	0	3271	1421	31	s_dent_cut.wav	26119	27201	29566
1	4	3_8	3	2	1366	0	2443	2482	27	d_sh_retr_cut.wav	34020	35386	38521
1	5	5_7	5	1	1400	1	2398	2509	46	s_palat_cut.wav	42935	44335	47454
1	6	6_2	2	2	1728	1	3082	2563	51	s_dent_cut.wav	52561	54289	57162
1	7	2_4	4	1	1342	0	2274	1626	13	s_alv_cut.wav	61460	62802	65114
1	8	2_6	2	1	1350	1	3374	1861	15	s_dent_cut.wav	70507	71857	74380
1	9	6_1	1	2	848	1	2685	1850	50	t_sl_cut.wav	79080	79928	82956
1	10	5_8	5	1	1141	1	2316	1642	47	s_palat_cut.wav	87298	88439	90961
1	11	6_4	4	2	957	1	2863	1823	53	s_alv_cut.wav	95845	96802	99711
1	12	2_7	2	2	1302	0	3050	2549	16	s_dent_cut.wav	104779	106081	109362
1	13	8_3	3	2	1610	1	3332	2260	72	d_sh_retr_cut.wav	114714	116324	119011
1	14	1_7	1	1	819	1	4089	2358	06	t_sl_cut.wav	125125	125944	129509
1	15	4_8	4	1	1106	1	3052	2016	37	s_alv_cut.wav	134577	135683	138607
1	16	3_7	3	1	1307	1	2608	1584	26	d_sh_retr_cut.wav	143235	144542	146833
1	17	1_2	2	2	924	1	2548	2140	01	s_dent_cut.wav	151406	152330	155584
1	18	8_1	1	2	686	1	2760	2253	70	t_sl_cut.wav	160365	161051	164640
1	19	5_3	5	1	974	1	2286	998	42	s_palat_cut.wav	168940	169914	171954
1	20	5_4	4	1	992	0	2301	1600	43	s_alv_cut.wav	176279	177271	179898
1	21	4_1	1	2	671	1	2516	1211	30	t_sl_cut.wav	184441	185112	187687
1	22	2_3	2	1	1006	1	2873	1989	12	s_dent_cut.wav	192585	193591	196589
1	23	3_4	3	1	1093	1	2192	1869	23	d_sh_retr_cut.wav	200793	201886	204683
1	24	6_5	5	2	841	1	3162	1346	54	s_palat_cut.wav	209870	210711	213227
1	25	8_4	4	2	1220	1	3221	2350	73	s_alv_cut.wav	218462	219682	222835
1	26	3_2	3	1	1000	1	3015	2175	21	d_sh_retr_cut.wav	227874	228874	232065
1	27	4_5	5	2	902	1	1892	1933	34	s_palat_cut.wav	235978	236880	239947
1	28	7_1	1	2	768	1	3057	1510	60	t_sl_cut.wav	245018	245786	248573
1	29	2_8	2	1	998	1	2720	1982	17	s_dent_cut.wav	253321	254319	257347
1	30	4_6	4	1	1061	1	2698	2304	35	s_alv_cut.wav	262064	263125	266398
1	31	3_2	2	1	1691	0	3440	1588	21	s_dent_cut.wav	271855	273546	275460
1	32	1_4	1	1	655	1	2990	2704	03	t_sl_cut.wav	280472	281127	285199
1	33	1_5	5	2	828	1	3788	1426	04	s_palat_cut.wav	291012	291840	294463
1	34	3_4	4	2	1364	1	2872	2011	23	s_alv_cut.wav	299358	300722	303404
1	35	5_2	5	2	935	0	1752	1124	41	s_palat_cut.wav	307181	308116	310321
1	36	1_3	3	2	869	1	3569	2258	02	d_sh_retr_cut.wav	315913	316782	320202
1	37	8_5	5	2	832	1	3929	2675	74	s_palat_cut.wav	326158	326990	330859
1	38	1_4	4	2	1152	1	3282	2168	03	s_alv_cut.wav	336160	337312	340343
1	39	3_1	1	2	930	1	3043	1857	20	t_sl_cut.wav	345414	346344	349312
1	40	3_1	3	1	986	1	2097	1333	20	d_sh_retr_cut.wav	353428	354414	356806
