subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset
2x3-17,2,9,3_2,3,1,0.99,1,2863,1584,fe,norm_f.wav,85810,86800,89449
2x3-17,2,10,2_3,2,1,0.88,1,3569,1333,ef,norm_e.wav,95056,95936,98419
2x3-17,2,11,1_2,1,1,0.979,1,2286,2140,de,norm_k.wav,102734,103713,106906
2x3-17,2,12,2_1,2,1,1.423,1,3332,1850,ed,norm_e.wav,112280,113703,116177
2x3-17,2,13,1_3,3,2,1.152,1,2990,2253,df,norm_f.wav,121199,122351,125501
2x3-17,2,14,3_1,1,2,1.324,1,3164,998,fd,norm_k.wav,130694,132018,133726
2x3-17,2,15,1_2,1,1,1.038,1,3374,2549,de,norm_k.wav,139144,140182,143738
2x3-17,2,16,2_1,1,2,0.763,1,2760,2563,ed,norm_k.wav,148531,149294,153132
2x3-17,2,17,1_3,1,1,1.157,1,3788,1124,df,norm_k.wav,158959,160116,162114
2x3-17,2,18,1_2,2,2,1.024,1,2398,2175,de,norm_e.wav,166550,167574,170766
2x3-17,2,19,3_1,3,1,0.895,1,3082,2016,fd,norm_f.wav,175895,176790,179967
2x3-17,2,20,1_2,2,2,1.111,1,3043,1211,de,norm_e.wav,185056,186167,188303
2x3-17,2,21,3_1,1,2,1.038,1,2608,1857,fd,norm_k.wav,192942,193980,196829
2x3-17,2,22,3_2,3,1,1.257,1,2873,1861,fe,norm_f.wav,201747,203004,205654
2x3-17,2,23,2_3,3,2,0.932,1,3221,2482,ef,norm_f.wav,210916,211848,215436
2x3-17,2,24,2_1,1,2,1.251,1,3440,2350,ed,norm_k.wav,220916,222167,225304
2x3-18,1,1,1_3,1,1,1.764,1,3221,2549,ac,norm_s.wav,15812,17576,20410
2x3-18,1,2,2_3,3,1,1.79,0,3332,1857,bc,norm_a.wav,25794,27584,29698
2x3-18,1,3,2_1,1,1,1.683,0,3374,1333,ba,norm_s.wav,35117,36800,38495
2x3-18,1,4,2_1,1,2,1.083,1,2097,1588,ba,norm_s.wav,42621,43704,46250
2x3-18,1,5,1_3,3,1,1.62,0,2685,2175,ac,norm_a.wav,50969,52589,55178
2x3-18,1,6,3_1,3,2,1.361,0,3162,1510,ca,norm_a.wav,60387,61748,63954
2x3-18,1,7,2_3,2,0,0,2,3164,2016,bc,norm_d.wav,69149,0,73200
2x3-18,1,8,2_3,2,1,0.99,1,3440,2563,bc,norm_d.wav,78686,79676,83288
2x3-18,1,9,1_2,2,2,1.505,1,2990,1584,ab,norm_d.wav,88317,89822,91949
2x3-18,1,10,1_3,1,1,1.14,1,1752,1346,ac,norm_s.wav,95739,96879,99132
2x3-18,1,11,3_2,2,2,0.916,1,3569,1861,cb,norm_d.wav,104737,105653,108628
2x3-18,1,12,1_2,1,1,1.526,1,2398,998,ab,norm_s.wav,113066,114592,116105
2x3-18,1,13,3_1,3,1,1.002,1,2720,1421,ca,norm_a.wav,120869,121871,124329
2x3-18,1,14,2_1,2,1,1.094,1,4089,2253,ba,norm_d.wav,130458,131552,134741
2x3-18,1,15,3_2,2,2,0.953,1,3788,1211,cb,norm_d.wav,140558,141511,143820
2x3-18,1,16,3_2,3,1,1.076,1,2760,2482,cb,norm_a.wav,148611,149687,153131
2x3-18,1,17,2_3,3,2,1.169,1,2863,1124,bc,norm_a.wav,158034,159203,161194
2x3-18,1,18,1_2,2,2,1.168,1,2608,1869,ab,norm_d.wav,165840,167008,169740
2x3-18,1,19,1_3,3,2,1.014,1,3043,1850,ac,norm_a.wav,174815,175829,178701
2x3-18,1,20,3_2,3,1,0.971,1,2301,2011,cb,norm_a.wav,183034,184005,187083
2x3-18,1,21,3_1,1,2,1.014,1,3082,1733,ca,norm_s.wav,192196,193210,195965
2x3-18,1,22,3_1,1,1,1.321,0,2873,1823,ca,norm_s.wav,200867,202188,204736
2x3-18,1,23,2_1,2,1,1.25,1,2872,2350,ba,norm_d.wav,209647,210897,214043
2x3-18,1,24,1_2,1,1,1.205,1,2286,2140,ab,norm_s.wav,218361,219566,222534
2x3-18,2,1,1_3,3,1,1.263,0,3082,1124,df,norm_e.wav,16055,17318,19225
2x3-18,2,2,3_1,3,2,1.367,0,3440,2482,fd,norm_e.wav,24702,26069,29243
2x3-18,2,3,2_3,3,2,1.5,1,2608,1510,ef,norm_e.wav,33891,35391,37452
2x3-18,2,4,3_2,2,2,1.143,1,3788,1211,fe,norm_f.wav,43292,44435,46533
2x3-18,2,5,2_1,2,1,1.278,1,2398,2175,ed,norm_f.wav,50962,52240,55178
2x3-18,2,6,3_2,2,2,0.987,1,1752,1857,fe,norm_f.wav,58977,59964,62880
2x3-18,2,7,2_3,2,2,1.077,0,2863,2140,ef,norm_f.wav,67788,68865,71984
2x3-18,2,8,1_3,1,1,1.709,1,3332,2350,df,norm_k.wav,77358,79067,81755
2x3-18,2,9,3_2,3,1,1.409,1,2760,1850,fe,norm_e.wav,86547,87956,90435
2x3-18,2,10,2_3,2,2,1.219,0,4089,2253,ef,norm_f.wav,96556,97775,100839
2x3-18,2,11,1_2,1,1,1.446,1,2873,2563,de,norm_k.wav,105761,107207,110370
2x3-18,2,12,2_1,2,1,1.212,1,3162,2011,ed,norm_f.wav,115571,116783,119618
2x3-18,2,13,1_3,3,2,1.473,1,2872,1733,df,norm_e.wav,124521,125994,128301
2x3-18,2,14,3_1,1,2,1.301,1,2286,2549,fd,norm_k.wav,132616,133917,137197
2x3-18,2,15,1_2,1,2,1.328,0,2720,1421,de,norm_k.wav,141950,143278,145430
2x3-18,2,16,2_1,1,1,1.007,0,3221,998,ed,norm_k.wav,150692,151699,153728
2x3-18,2,17,1_3,1,1,1.608,1,3569,1346,df,norm_k.wav,159340,160948,162716
2x3-18,2,18,1_2,2,2,1.562,1,2685,2016,de,norm_f.wav,167437,168999,171487
2x3-18,2,19,3_1,3,1,1.419,1,3374,1861,fd,norm_e.wav,176907,178326,180812
2x3-18,2,20,1_2,2,2,1.103,1,2990,1333,de,norm_f.wav,185843,186946,189225
2x3-18,2,21,3_1,1,2,1.133,1,3164,1823,fd,norm_k.wav,194418,195551,198275
2x3-18,2,22,3_2,3,1,1.326,1,2301,1588,fe,norm_e.wav,202615,203941,206241
2x3-18,2,23,2_3,3,1,1.408,0,3043,1869,ef,norm_e.wav,211318,212726,215223
2x3-18,2,24,2_1,1,2,1.178,1,2097,1584,ed,norm_k.wav,219353,220531,222978
