subjID,drift,alpha,alpha_mod,tau,drift_mod
biokurs19-01,1.35050095379872,1.58914450738554,0.0232217095913621,0.747345931749766,1.42932765920025
biokurs19-02,1.75882799160574,1.51852157135364,0.0228754167965689,0.860066525308325,1.62390691888491
biokurs19-03,1.02611332618684,1.55040656394704,0.02366862179589,0.612435617032671,1.24193454104811
biokurs19-04,0.198080250939694,1.68150675595072,0.0239511403504502,0.60075819898785,0.542023226469179
biokurs19-05,1.39326263998797,1.68461465708997,0.0234125047401724,0.589504613182025,1.4425330426847
biokurs19-06,0.431370428917503,1.63695905727762,0.0226634814218012,0.64937318814437,0.802560467897002
biokurs19-07,0.41105730551138,1.55615426694356,0.0229375311839005,0.743501181236262,0.781627560490715
biokurs19-08,0.469257807868213,1.68508119895492,0.0241794546629718,0.536117595684636,0.841235793132946
biokurs19-10,0.71639943238442,1.63811985816165,0.0237256059702213,0.483132171426648,1.03887574434337
biokurs19-11,0.314290432226505,1.72600913099945,0.0230126020855245,0.499343032958324,0.687833144164479
biokurs19-12,0.993694929693944,1.6732834292131,0.0256885730151832,0.596118041859773,1.21935086235453
biokurs19-13,0.61090117790191,1.79145172435144,0.025207704685139,0.568013388925443,0.956459578753398
biokurs19-14,0.988304076306246,1.68667180554622,0.023915453311841,0.598896262750915,1.21684909951949
biokurs19-15,0.968112325244518,1.5565445649829,0.0234336190173015,0.603270061192374,1.20298697094762
biokurs19-16,0.599612145066744,1.68762628179532,0.0242066980452946,0.732174886874418,0.950129256519873
biokurs19-17,1.03145129096691,1.54801830846727,0.0242268319413888,0.497410058113369,1.24243775307055
