subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-03,1,38,3,1,1,2,0.688,1,3,342626,343314,347125,0.105162838708914,1.08327617015313,1.34535809320748,0.894837161291086,0.849660852652421
biokurs19-03,1,39,3,1,3,1,0.734,1,1,352515,353249,356780,0.0908628876619099,1.12478016845507,1.39690334229026,0.90913711233809,0.90219856000071
biokurs19-03,2,40,16,11,11,2,1.029,1,16,7926,8955,12513,0.5,0.620967270524053,0.771200702124187,0.5,0.5
biokurs19-03,2,41,9,10,10,1,1.135,0,9,16927,18062,21427,-0.5,0.620967270524053,0.771200702124187,0.5,0.5
biokurs19-03,2,42,15,9,9,1,1.006,0,15,25745,26751,29938,-0.535,0.642701124992395,0.798192726698534,0.535,0.5
biokurs19-03,2,43,12,13,13,2,1.036,1,12,35333,36369,38789,0.5,0.620967270524053,0.771200702124187,0.5,0.5
biokurs19-03,2,44,11,10,10,2,1.457,1,11,43975,45432,48239,0.465,0.664434979460736,0.82518475127288,0.535,0.535
biokurs19-03,2,45,9,14,9,2,1.347,0,14,52569,53916,56234,-0.57245,0.66595634927352,0.827074192993084,0.57245,0.5
biokurs19-03,2,46,12,11,12,2,1.303,0,11,61335,62638,64865,-0.535,0.687690203741862,0.854066217567431,0.535,0.57245
biokurs19-03,2,47,15,10,10,2,1.054,1,15,69085,70139,72985,0.43245,0.684647464116294,0.850287334127022,0.56755,0.535
biokurs19-03,2,48,13,16,13,1,1.478,1,16,77286,78764,80647,0.465,0.664434979460736,0.82518475127288,0.535,0.535
biokurs19-03,2,49,14,11,11,2,0.965,1,14,85422,86387,89702,0.3976215,0.706274822697741,0.877147097780954,0.6023785,0.535
biokurs19-03,2,50,14,10,10,2,0.918,1,14,95658,96576,100388,0.4021785,0.726700299127089,0.902514202475926,0.5978215,0.57245
biokurs19-03,2,51,11,13,11,1,1.727,1,13,104856,106583,108086,0.369787995,0.743771002982267,0.923714899233674,0.630212005,0.56755
biokurs19-03,2,52,9,16,9,1,1.065,1,16,113332,114397,117196,0.3874785,0.735828518003792,0.91385085279715,0.6125215,0.57245
