,LSB_C_corrStay_B1,LSB_C_corrStay_B2,LSB_C_corrStay_B3,LSB_C_corrStay_B4,LSB_C_corrShift_B1,LSB_C_corrShift_B2,LSB_C_corrShift_B3,LSB_C_corrShift_B4,LSB_C_incorrStay_B1,LSB_C_incorrStay_B2,LSB_C_incorrStay_B3,LSB_C_incorrStay_B4,LSB_C_incorrShift_B1,LSB_C_incorrShift_B2,LSB_C_incorrShift_B3,LSB_C_incorrShift_B4,LSB_I_corrStay_B1,LSB_I_corrStay_B2,LSB_I_corrStay_B3,LSB_I_corrStay_B4,LSB_I_corrShift_B1,LSB_I_corrShift_B2,LSB_I_corrShift_B3,LSB_I_corrShift_B4,LSB_I_incorrStay_B1,LSB_I_incorrStay_B2,LSB_I_incorrStay_B3,LSB_I_incorrStay_B4,LSB_I_incorrShift_B1,LSB_I_incorrShift_B2,LSB_I_incorrShift_B3,LSB_I_incorrShift_B4,,BIRD_C_corrStay_B1,BIRD_C_corrStay_B2,BIRD_C_corrStay_B3,BIRD_C_corrStay_B4,BIRD_C_corrShift_B1,BIRD_C_corrShift_B2,BIRD_C_corrShift_B3,BIRD_C_corrShift_B4,BIRD_C_incorrStay_B1,BIRD_C_incorrStay_B2,BIRD_C_incorrStay_B3,BIRD_C_incorrStay_B4,BIRD_C_incorrShift_B1,BIRD_C_incorrShift_B2,BIRD_C_incorrShift_B3,BIRD_C_incorrShift_B4,BIRD_I_corrStay_B1,BIRD_I_corrStay_B2,BIRD_I_corrStay_B3,BIRD_I_corrStay_B4,BIRD_I_corrShift_B1,BIRD_I_corrShift_B2,BIRD_I_corrShift_B3,BIRD_I_corrShift_B4,BIRD_I_incorrStay_B1,BIRD_I_incorrStay_B2,BIRD_I_incorrStay_B3,BIRD_I_incorrStay_B4,BIRD_I_incorrShift_B1,BIRD_I_incorrShift_B2,BIRD_I_incorrShift_B3,BIRD_I_incorrShift_B4
s032,0.75,0.770833333,0.729166667,0.802083333,0.083333333,0.072916667,0.114583333,0.083333333,0.010416667,0.104166667,0.041666667,0.010416667,0.125,0.052083333,0.114583333,0.09375,0.333333333,0.270833333,0.333333333,0.270833333,0.208333333,0.260416667,0.15625,0.208333333,0.260416667,0.260416667,0.354166667,0.25,0.177083333,0.208333333,0.15625,0.239583333,s033,0.75,0.135416667,0.541666667,0.458333333,0.09375,0.229166667,0.177083333,0.208333333,0.041666667,0.385416667,0.09375,0.145833333,0.09375,0.229166667,0.166666667,0.1875,0.291666667,0.375,0.25,0.364583333,0.208333333,0.145833333,0.239583333,0.21875,0.28125,0.354166667,0.260416667,0.28125,0.1875,0.125,0.239583333,0.135416667
s033,0.854166667,0.958333333,0.833333333,0.5625,0.0625,0.010416667,0.072916667,0.1875,0.03125,0,0.03125,0.052083333,0.052083333,0.020833333,0.0625,0.197916667,0.28125,0.34375,0.28125,0.322916667,0.239583333,0.1875,0.177083333,0.260416667,0.260416667,0.291666667,0.322916667,0.25,0.208333333,0.177083333,0.21875,0.166666667,s034,0.822916667,0.75,0.625,0.333333333,0.083333333,0.114583333,0.135416667,0.21875,0.020833333,0.03125,0.114583333,0.239583333,0.072916667,0.104166667,0.125,0.208333333,0.322916667,0.229166667,0.270833333,0.28125,0.21875,0.25,0.260416667,0.15625,0.28125,0.260416667,0.239583333,0.354166667,0.177083333,0.25,0.229166667,0.208333333
s034,0.8125,0.71875,0.645833333,0.854166667,0.072916667,0.114583333,0.135416667,0.072916667,0.041666667,0.0625,0.09375,0,0.072916667,0.104166667,0.125,0.072916667,0.385416667,0.291666667,0.3125,0.28125,0.177083333,0.229166667,0.21875,0.229166667,0.333333333,0.260416667,0.270833333,0.260416667,0.104166667,0.21875,0.1875,0.229166667,s035,0.208333333,0.802083333,0.572916667,0.729166667,0.229166667,0.083333333,0.166666667,0.125,0.302083333,0.03125,0.104166667,0.010416667,0.25,0.083333333,0.15625,0.125,0.270833333,0.4375,0.364583333,0.25,0.229166667,0.166666667,0.1875,0.145833333,0.260416667,0.322916667,0.302083333,0.364583333,0.229166667,0.072916667,0.145833333,0.229166667
s035,0.885416667,0.59375,0.916666667,0.791666667,0.0625,0.104166667,0.020833333,0.09375,0,0.21875,0.020833333,0.052083333,0.052083333,0.072916667,0.03125,0.0625,0.333333333,0.40625,0.395833333,0.3125,0.28125,0.177083333,0.125,0.302083333,0.21875,0.291666667,0.385416667,0.208333333,0.135416667,0.09375,0.09375,0.166666667,s036,0.364583333,0.375,0.427083333,0.427083333,0.125,0.145833333,0.104166667,0.177083333,0.34375,0.3125,0.364583333,0.208333333,0.15625,0.15625,0.104166667,0.166666667,0.375,0.395833333,0.34375,0.354166667,0.125,0.135416667,0.1875,0.083333333,0.385416667,0.354166667,0.302083333,0.395833333,0.104166667,0.104166667,0.145833333,0.125
s036,0.895833333,0.864583333,0.854166667,0.677083333,0.0625,0.072916667,0.072916667,0.083333333,0,0.010416667,0,0.1875,0.041666667,0.052083333,0.072916667,0.052083333,0.3125,0.375,0.354166667,0.385416667,0.239583333,0.239583333,0.208333333,0.125,0.25,0.28125,0.302083333,0.364583333,0.197916667,0.104166667,0.135416667,0.114583333,s037,0.53125,0.302083333,0.260416667,0.760416667,0.145833333,0.177083333,0.1875,0.09375,0.1875,0.34375,0.364583333,0.052083333,0.135416667,0.166666667,0.1875,0.09375,0.447916667,0.375,0.333333333,0.416666667,0.125,0.114583333,0.21875,0.03125,0.364583333,0.385416667,0.270833333,0.46875,0.0625,0.125,0.166666667,0.072916667
s037,0.958333333,0.708333333,0.84375,0.864583333,0.020833333,0.114583333,0.072916667,0.0625,0,0.041666667,0,0.020833333,0.020833333,0.125,0.083333333,0.041666667,0.260416667,0.3125,0.364583333,0.34375,0.28125,0.25,0.166666667,0.135416667,0.21875,0.260416667,0.3125,0.364583333,0.239583333,0.177083333,0.15625,0.15625,s038,0.447916667,0.489583333,0.822916667,0.854166667,0.15625,0.166666667,0.083333333,0.0625,0.25,0.1875,0.010416667,0.03125,0.145833333,0.15625,0.072916667,0.052083333,0.364583333,0.364583333,0.375,0.375,0.239583333,0.208333333,0.197916667,0.229166667,0.260416667,0.291666667,0.291666667,0.270833333,0.135416667,0.125,0.135416667,0.125
s038,0.71875,0.75,0.84375,0.71875,0.114583333,0.104166667,0.0625,0.104166667,0.020833333,0.010416667,0,0.020833333,0.114583333,0.114583333,0.072916667,0.114583333,0.34375,0.375,0.40625,0.3125,0.260416667,0.25,0.229166667,0.21875,0.208333333,0.239583333,0.239583333,0.302083333,0.145833333,0.09375,0.09375,0.166666667,s039,0.489583333,0.885416667,0.791666667,0.65625,0.177083333,0.041666667,0.0625,0.135416667,0.114583333,0,0.03125,0.052083333,0.166666667,0.052083333,0.083333333,0.145833333,0.4375,0.28125,0.322916667,0.28125,0.145833333,0.270833333,0.25,0.177083333,0.322916667,0.21875,0.239583333,0.3125,0.072916667,0.229166667,0.145833333,0.1875
s039,0.885416667,0.572916667,0.958333333,0.833333333,0.052083333,0.166666667,0.03125,0.072916667,0,0.114583333,0,0.03125,0.052083333,0.145833333,0.010416667,0.0625,0.427083333,0.427083333,0.40625,0.375,0.208333333,0.270833333,0.21875,0.3125,0.28125,0.239583333,0.28125,0.166666667,0.0625,0.0625,0.09375,0.125,s101,0.260416667,0.489583333,0.875,0.645833333,0.229166667,0.1875,0.052083333,0.145833333,0.302083333,0.125,0.020833333,0.041666667,0.208333333,0.177083333,0.052083333,0.145833333,0.291666667,0.34375,0.416666667,0.385416667,0.25,0.177083333,0.239583333,0.21875,0.229166667,0.3125,0.260416667,0.260416667,0.229166667,0.166666667,0.083333333,0.125
s101,0.71875,0.614583333,0.489583333,0.90625,0.125,0.135416667,0.09375,0.041666667,0.0625,0.135416667,0.34375,0.020833333,0.09375,0.114583333,0.072916667,0.03125,0.375,0.34375,0.427083333,0.385416667,0.229166667,0.15625,0.125,0.21875,0.270833333,0.34375,0.375,0.270833333,0.125,0.15625,0.072916667,0.125,s102,0.427083333,0.895833333,0.885416667,0.90625,0.166666667,0.041666667,0.052083333,0.052083333,0.21875,0.03125,0.020833333,0,0.177083333,0.03125,0.041666667,0.041666667,0.28125,0.447916667,0.385416667,0.333333333,0.145833333,0.15625,0.208333333,0.145833333,0.354166667,0.322916667,0.291666667,0.354166667,0.208333333,0.072916667,0.114583333,0.166666667
s102,0.708333333,0.885416667,0.864583333,0.729166667,0.135416667,0.0625,0.0625,0.114583333,0.041666667,0.010416667,0.03125,0.03125,0.114583333,0.041666667,0.041666667,0.104166667,0.354166667,0.385416667,0.4375,0.34375,0.1875,0.1875,0.229166667,0.15625,0.322916667,0.302083333,0.270833333,0.333333333,0.135416667,0.114583333,0.0625,0.166666667,s103,0.739583333,0.895833333,0.364583333,0.572916667,0.083333333,0.041666667,0.260416667,0.1875,0.052083333,0,0.125,0.052083333,0.083333333,0.052083333,0.25,0.177083333,0.427083333,0.302083333,0.25,0.416666667,0.125,0.21875,0.291666667,0.114583333,0.364583333,0.270833333,0.21875,0.385416667,0.083333333,0.208333333,0.21875,0.083333333
s103,0.75,0.833333333,0.947916667,0.96875,0.104166667,0.052083333,0.03125,0.020833333,0.052083333,0.03125,0,0,0.083333333,0.0625,0.020833333,0.010416667,0.40625,0.416666667,0.395833333,0.385416667,0.15625,0.15625,0.1875,0.135416667,0.34375,0.333333333,0.302083333,0.364583333,0.072916667,0.09375,0.104166667,0.09375,s104,0.739583333,0.5,0.791666667,0.541666667,0.09375,0.177083333,0.041666667,0.145833333,0.0625,0.114583333,0.15625,0.15625,0.083333333,0.1875,0.010416667,0.145833333,0.4375,0.3125,0.333333333,0.364583333,0.125,0.145833333,0.239583333,0.1875,0.375,0.34375,0.260416667,0.3125,0.0625,0.1875,0.166666667,0.125
s104,0.947916667,0.822916667,0.9375,0.927083333,0.03125,0.072916667,0.020833333,0.03125,0,0.041666667,0,0,0.020833333,0.0625,0.03125,0.041666667,0.354166667,0.34375,0.354166667,0.427083333,0.291666667,0.260416667,0.21875,0.166666667,0.197916667,0.21875,0.260416667,0.322916667,0.145833333,0.145833333,0.135416667,0.083333333,s105,0.8125,0.65625,NA,NA,0.072916667,0.135416667,NA,NA,0.041666667,0.0625,NA,NA,0.072916667,0.135416667,NA,NA,0.302083333,0.322916667,NA,NA,0.15625,0.197916667,NA,NA,0.322916667,0.3125,NA,NA,0.208333333,0.145833333,NA,NA
s105,0.489583333,0.604166667,0.552083333,0.677083333,0.177083333,0.166666667,0.104166667,0.104166667,0.166666667,0.083333333,0.197916667,0.114583333,0.166666667,0.135416667,0.125,0.083333333,0.375,0.208333333,0.239583333,0.28125,0.114583333,0.270833333,0.25,0.125,0.375,0.239583333,0.25,0.34375,0.114583333,0.28125,0.25,0.208333333,s106,0.53125,0.302083333,0.5,0.208333333,0.145833333,0.166666667,0.15625,0.208333333,0.1875,0.34375,0.1875,0.375,0.135416667,0.177083333,0.145833333,0.197916667,0.322916667,0.333333333,0.385416667,0.364583333,0.177083333,0.1875,0.229166667,0.21875,0.322916667,0.302083333,0.260416667,0.260416667,0.166666667,0.15625,0.125,0.15625
s106,0.708333333,0.875,0.84375,0.854166667,0.125,0.041666667,0.083333333,0.072916667,0.072916667,0.010416667,0,0.020833333,0.09375,0.0625,0.072916667,0.052083333,0.333333333,0.427083333,0.322916667,0.25,0.21875,0.145833333,0.302083333,0.28125,0.260416667,0.34375,0.197916667,0.229166667,0.166666667,0.072916667,0.177083333,0.239583333,s107,0.291666667,0.4375,0.770833333,0.614583333,0.208333333,0.197916667,0.114583333,0.135416667,0.302083333,0.177083333,0.010416667,0.125,0.197916667,0.177083333,0.104166667,0.114583333,0.354166667,0.333333333,0.302083333,0.364583333,0.21875,0.1875,0.177083333,0.1875,0.28125,0.322916667,0.322916667,0.302083333,0.145833333,0.15625,0.1875,0.135416667
s107,0.864583333,0.635416667,0.729166667,0.739583333,0.083333333,0.15625,0.09375,0.072916667,0,0.072916667,0.104166667,0.09375,0.052083333,0.135416667,0.072916667,0.083333333,0.395833333,0.34375,0.3125,0.270833333,0.166666667,0.239583333,0.1875,0.197916667,0.3125,0.260416667,0.3125,0.302083333,0.125,0.15625,0.1875,0.229166667,s108,0.458333333,0.864583333,0.802083333,0.3125,0.21875,0.072916667,0.09375,0.208333333,0.114583333,0,0.041666667,0.260416667,0.208333333,0.0625,0.0625,0.21875,0.28125,0.302083333,0.260416667,0.354166667,0.25,0.177083333,0.21875,0.145833333,0.25,0.3125,0.291666667,0.34375,0.21875,0.208333333,0.229166667,0.15625
s108,0.854166667,0.625,0.59375,0.677083333,0.0625,0.135416667,0.145833333,0.114583333,0.020833333,0.114583333,0.145833333,0.09375,0.052083333,0.125,0.114583333,0.104166667,0.302083333,0.291666667,0.302083333,0.375,0.166666667,0.21875,0.208333333,0.0625,0.322916667,0.28125,0.291666667,0.427083333,0.197916667,0.208333333,0.197916667,0.135416667,s109,0.270833333,0.291666667,0.604166667,0.6875,0.197916667,0.21875,0.145833333,0.114583333,0.34375,0.260416667,0.145833333,0.052083333,0.1875,0.229166667,0.104166667,0.135416667,0.25,0.322916667,0.34375,0.260416667,0.260416667,0.208333333,0.260416667,0.229166667,0.21875,0.291666667,0.239583333,0.25,0.260416667,0.166666667,0.15625,0.260416667
s109,0.385416667,0.708333333,0.677083333,0.729166667,0.197916667,0.104166667,0.125,0.114583333,0.197916667,0.041666667,0.052083333,0.020833333,0.1875,0.114583333,0.125,0.125,0.333333333,0.34375,0.364583333,0.354166667,0.25,0.208333333,0.1875,0.208333333,0.25,0.25,0.291666667,0.3125,0.145833333,0.15625,0.125,0.125,s110,0.78125,0.34375,0.729166667,0.677083333,0.083333333,0.166666667,0.083333333,0.125,0.03125,0.302083333,0.03125,0.052083333,0.083333333,0.177083333,0.114583333,0.114583333,0.322916667,0.302083333,0.375,0.375,0.25,0.125,0.166666667,0.135416667,0.25,0.354166667,0.333333333,0.375,0.15625,0.197916667,0.114583333,0.114583333
s110,0.916666667,0.875,0.802083333,0.802083333,0.041666667,0.0625,0.104166667,0.09375,0,0.010416667,0.010416667,0.03125,0.041666667,0.052083333,0.083333333,0.072916667,0.364583333,0.447916667,0.302083333,0.302083333,0.229166667,0.177083333,0.15625,0.260416667,0.28125,0.322916667,0.333333333,0.239583333,0.114583333,0.052083333,0.208333333,0.197916667,s111,0.666666667,0.427083333,0.552083333,0.520833333,0.166666667,0.197916667,0.15625,0.0625,0.020833333,0.1875,0.145833333,0.34375,0.145833333,0.1875,0.135416667,0.072916667,0.395833333,0.333333333,0.364583333,0.385416667,0.0625,0.197916667,0.177083333,0.15625,0.427083333,0.291666667,0.3125,0.354166667,0.114583333,0.166666667,0.145833333,0.104166667
s111,0.46875,0.739583333,0.791666667,0.78125,0.208333333,0.114583333,0.09375,0.104166667,0.104166667,0.041666667,0.010416667,0.010416667,0.21875,0.104166667,0.104166667,0.104166667,0.333333333,0.395833333,0.385416667,0.375,0.166666667,0.166666667,0.197916667,0.125,0.333333333,0.34375,0.302083333,0.375,0.166666667,0.09375,0.114583333,0.125,s112,0.4375,0.645833333,0.333333333,0.270833333,0.135416667,0.145833333,0.260416667,0.260416667,0.260416667,0.052083333,0.166666667,0.197916667,0.145833333,0.145833333,0.239583333,0.270833333,0.354166667,0.302083333,0.364583333,0.354166667,0.15625,0.333333333,0.135416667,0.197916667,0.322916667,0.15625,0.364583333,0.3125,0.15625,0.208333333,0.135416667,0.135416667
s112,0.697916667,0.510416667,0.53125,0.572916667,0.135416667,0.15625,0.197916667,0.166666667,0.0625,0.177083333,0.09375,0.125,0.104166667,0.145833333,0.177083333,0.135416667,0.364583333,0.4375,0.416666667,0.375,0.114583333,0.15625,0.197916667,0.135416667,0.385416667,0.34375,0.3125,0.375,0.135416667,0.0625,0.072916667,0.114583333,s113,0.40625,0.854166667,0.385416667,0.458333333,0.21875,0.083333333,0.177083333,0.114583333,0.177083333,0.010416667,0.260416667,0.322916667,0.197916667,0.052083333,0.177083333,0.104166667,0.333333333,0.385416667,0.21875,0.34375,0.197916667,0.166666667,0.1875,0.208333333,0.302083333,0.322916667,0.322916667,0.28125,0.166666667,0.125,0.270833333,0.15625
s113,0.864583333,0.875,0.9375,0.979166667,0.052083333,0.041666667,0.041666667,0.020833333,0.03125,0.03125,0,0,0.052083333,0.041666667,0.020833333,0,0.375,0.447916667,0.354166667,0.427083333,0.166666667,0.104166667,0.145833333,0.09375,0.322916667,0.40625,0.34375,0.40625,0.135416667,0.03125,0.135416667,0.072916667,s114,0.90625,0.572916667,0.666666667,0.854166667,0.052083333,0.145833333,0.114583333,0.0625,0,0.0625,0.125,0.010416667,0.03125,0.166666667,0.09375,0.0625,0.40625,0.416666667,0.291666667,0.416666667,0.1875,0.125,0.197916667,0.114583333,0.291666667,0.354166667,0.291666667,0.385416667,0.114583333,0.0625,0.21875,0.083333333
s114,0.302083333,0.65625,0.885416667,0.489583333,0.177083333,0.145833333,0.052083333,0.1875,0.3125,0.072916667,0.03125,0.125,0.177083333,0.114583333,0.03125,0.177083333,0.291666667,0.3125,0.34375,0.34375,0.177083333,0.21875,0.239583333,0.21875,0.302083333,0.302083333,0.260416667,0.270833333,0.21875,0.15625,0.15625,0.166666667,s115,0.75,0.760416667,0.854166667,0.895833333,0.125,0.104166667,0.0625,0.0625,0.041666667,0.041666667,0.010416667,0.020833333,0.083333333,0.09375,0.0625,0.020833333,0.333333333,0.3125,0.333333333,0.302083333,0.177083333,0.239583333,0.260416667,0.197916667,0.322916667,0.25,0.25,0.322916667,0.15625,0.177083333,0.15625,0.15625
s115,0.90625,0.854166667,0.71875,0.958333333,0.041666667,0.0625,0.104166667,0.03125,0.010416667,0.010416667,0.020833333,0,0.03125,0.0625,0.125,0.010416667,0.270833333,0.21875,0.333333333,0.34375,0.229166667,0.270833333,0.291666667,0.197916667,0.28125,0.239583333,0.208333333,0.291666667,0.197916667,0.239583333,0.125,0.15625,s116,0.302083333,0.6875,0.65625,0.854166667,0.208333333,0.125,0.114583333,0.072916667,0.25,0.072916667,0.052083333,0,0.197916667,0.114583333,0.135416667,0.072916667,0.34375,0.291666667,0.385416667,0.395833333,0.21875,0.208333333,0.15625,0.15625,0.28125,0.28125,0.333333333,0.34375,0.15625,0.21875,0.114583333,0.104166667
s116,0.916666667,0.90625,0.333333333,0.458333333,0.041666667,0.052083333,0.229166667,0.208333333,0,0,0.25,0.135416667,0.041666667,0.041666667,0.1875,0.1875,0.34375,0.364583333,0.270833333,0.322916667,0.25,0.177083333,0.25,0.197916667,0.25,0.322916667,0.229166667,0.291666667,0.15625,0.135416667,0.239583333,0.166666667,s117,0.625,0.96875,0.677083333,0.822916667,0.15625,0.020833333,0.114583333,0.083333333,0.083333333,0,0.03125,0.020833333,0.135416667,0,0.145833333,0.072916667,0.34375,0.270833333,0.291666667,0.395833333,0.291666667,0.239583333,0.25,0.270833333,0.208333333,0.270833333,0.239583333,0.229166667,0.125,0.21875,0.208333333,0.09375
s117,0.65625,0.770833333,0.8125,0.645833333,0.145833333,0.09375,0.0625,0.135416667,0.052083333,0.052083333,0.052083333,0.0625,0.135416667,0.083333333,0.0625,0.145833333,0.364583333,0.333333333,0.3125,0.364583333,0.197916667,0.208333333,0.197916667,0.1875,0.302083333,0.28125,0.3125,0.322916667,0.135416667,0.15625,0.177083333,0.125,s118,0.677083333,0.65625,0.645833333,0.635416667,0.145833333,0.125,0.125,0.15625,0.052083333,0.083333333,0.125,0.0625,0.114583333,0.125,0.104166667,0.135416667,0.354166667,0.333333333,0.375,0.40625,0.135416667,0.166666667,0.135416667,0.145833333,0.364583333,0.34375,0.364583333,0.333333333,0.135416667,0.145833333,0.125,0.114583333
s118,0.958333333,0.854166667,0.916666667,0.8125,0.03125,0.0625,0.020833333,0.09375,0,0.010416667,0,0.020833333,0.010416667,0.052083333,0.03125,0.072916667,0.385416667,0.4375,0.416666667,0.46875,0.260416667,0.125,0.145833333,0.083333333,0.21875,0.375,0.34375,0.40625,0.114583333,0.0625,0.09375,0.041666667,s119,0.458333333,0.229166667,0.260416667,0.510416667,0.15625,0.21875,0.239583333,0.166666667,0.239583333,0.322916667,0.21875,0.135416667,0.145833333,0.21875,0.270833333,0.166666667,0.260416667,0.354166667,0.3125,0.28125,0.3125,0.25,0.197916667,0.28125,0.166666667,0.270833333,0.291666667,0.229166667,0.25,0.125,0.177083333,0.208333333
s119,0.354166667,0.666666667,0.6875,0.28125,0.229166667,0.125,0.135416667,0.177083333,0.208333333,0.104166667,0.041666667,0.333333333,0.208333333,0.104166667,0.135416667,0.208333333,0.260416667,0.40625,0.40625,0.302083333,0.21875,0.208333333,0.135416667,0.166666667,0.302083333,0.260416667,0.354166667,0.322916667,0.208333333,0.104166667,0.09375,0.208333333,s120,0.40625,0.354166667,0.291666667,0.28125,0.135416667,0.177083333,0.177083333,0.197916667,0.28125,0.260416667,0.3125,0.260416667,0.166666667,0.197916667,0.177083333,0.21875,0.25,0.270833333,0.354166667,0.354166667,0.177083333,0.21875,0.1875,0.145833333,0.3125,0.270833333,0.291666667,0.333333333,0.260416667,0.229166667,0.125,0.15625
s120,0.770833333,0.791666667,0.9375,0.822916667,0.114583333,0.083333333,0.03125,0.09375,0.03125,0.041666667,0.020833333,0.010416667,0.083333333,0.083333333,0.010416667,0.072916667,0.427083333,0.40625,0.458333333,0.333333333,0.166666667,0.15625,0.114583333,0.28125,0.3125,0.34375,0.395833333,0.229166667,0.09375,0.09375,0.03125,0.145833333,s121,0.802083333,0.760416667,0.885416667,0.6875,0.083333333,0.09375,0.052083333,0.135416667,0.052083333,0.0625,0.03125,0.0625,0.0625,0.083333333,0.03125,0.114583333,0.447916667,0.395833333,0.479166667,0.46875,0.0625,0.114583333,0.03125,0.09375,0.427083333,0.385416667,0.46875,0.40625,0.052083333,0.083333333,0.020833333,0.03125
s121,0.739583333,0.875,0.875,0.75,0.09375,0.052083333,0.041666667,0.083333333,0.104166667,0,0,0.020833333,0.0625,0.0625,0.052083333,0.104166667,0.364583333,0.302083333,0.333333333,0.1875,0.197916667,0.239583333,0.166666667,0.229166667,0.28125,0.25,0.34375,0.270833333,0.15625,0.197916667,0.15625,0.3125,s122,0.364583333,0.645833333,0.885416667,0.729166667,0.197916667,0.145833333,0.0625,0.09375,0.239583333,0.0625,0,0.0625,0.177083333,0.135416667,0.052083333,0.104166667,0.302083333,0.302083333,0.354166667,0.395833333,0.197916667,0.229166667,0.25,0.145833333,0.302083333,0.270833333,0.25,0.354166667,0.197916667,0.197916667,0.145833333,0.104166667
s122,0.895833333,0.8125,0.572916667,0.541666667,0.052083333,0.072916667,0.166666667,0.166666667,0,0.03125,0.104166667,0.145833333,0.052083333,0.072916667,0.145833333,0.145833333,0.385416667,0.375,0.291666667,0.3125,0.125,0.25,0.208333333,0.291666667,0.375,0.260416667,0.302083333,0.197916667,0.114583333,0.114583333,0.177083333,0.197916667,s123,0.6875,0.677083333,0.8125,0.666666667,0.114583333,0.125,0.083333333,0.125,0.09375,0.052083333,0.020833333,0.104166667,0.104166667,0.135416667,0.083333333,0.104166667,0.354166667,0.28125,0.4375,0.34375,0.25,0.197916667,0.1875,0.166666667,0.239583333,0.302083333,0.322916667,0.333333333,0.15625,0.21875,0.052083333,0.15625
s123,0.604166667,0.489583333,0.552083333,0.645833333,0.114583333,0.145833333,0.104166667,0.15625,0.135416667,0.21875,0.239583333,0.03125,0.125,0.145833333,0.104166667,0.15625,0.291666667,0.416666667,0.479166667,0.385416667,0.135416667,0.114583333,0.010416667,0.145833333,0.34375,0.375,0.479166667,0.34375,0.166666667,0.09375,0.03125,0.125,s124,0.229166667,0.447916667,0.520833333,0.333333333,0.197916667,0.135416667,0.166666667,0.114583333,0.322916667,0.25,0.15625,0.40625,0.208333333,0.135416667,0.15625,0.125,0.322916667,0.385416667,0.333333333,0.333333333,0.135416667,0.166666667,0.114583333,0.15625,0.322916667,0.322916667,0.385416667,0.354166667,0.197916667,0.125,0.135416667,0.145833333
s124,0.947916667,0.729166667,0.895833333,0.84375,0.03125,0.125,0.052083333,0.09375,0,0.03125,0,0,0.020833333,0.114583333,0.052083333,0.0625,0.364583333,0.375,0.322916667,0.354166667,0.15625,0.21875,0.1875,0.135416667,0.34375,0.270833333,0.291666667,0.354166667,0.135416667,0.135416667,0.197916667,0.15625,s125,0.697916667,0.4375,0.739583333,0.791666667,0.104166667,0.072916667,0.125,0.072916667,0.104166667,0.416666667,0.010416667,0.072916667,0.09375,0.072916667,0.125,0.0625,0.416666667,0.354166667,0.416666667,0.25,0.125,0.145833333,0.09375,0.21875,0.364583333,0.354166667,0.395833333,0.28125,0.09375,0.145833333,0.09375,0.239583333
s125,0.729166667,0.875,0.9375,0.90625,0.114583333,0.0625,0.03125,0.052083333,0.0625,0.03125,0,0,0.09375,0.03125,0.03125,0.041666667,0.34375,0.427083333,0.447916667,0.40625,0.302083333,0.020833333,0.052083333,0.052083333,0.1875,0.5,0.447916667,0.46875,0.166666667,0.052083333,0.041666667,0.072916667,s126,0.8125,0.760416667,0.802083333,0.791666667,0.09375,0.114583333,0.09375,0.09375,0,0.041666667,0.010416667,0,0.083333333,0.083333333,0.09375,0.104166667,0.333333333,0.395833333,0.354166667,0.458333333,0.083333333,0.072916667,0.145833333,0.0625,0.416666667,0.447916667,0.375,0.40625,0.166666667,0.083333333,0.125,0.0625
s126,0.614583333,0.6875,0.739583333,0.833333333,0.114583333,0.104166667,0.104166667,0.072916667,0.1875,0.114583333,0.020833333,0.010416667,0.083333333,0.083333333,0.114583333,0.072916667,0.385416667,0.375,0.40625,0.322916667,0.145833333,0.177083333,0.145833333,0.145833333,0.333333333,0.333333333,0.333333333,0.375,0.135416667,0.114583333,0.09375,0.15625,s127,0.677083333,0.489583333,0.78125,0.395833333,0.125,0.197916667,0.104166667,0.166666667,0.0625,0.135416667,0.010416667,0.291666667,0.125,0.177083333,0.104166667,0.135416667,0.40625,0.239583333,0.25,0.34375,0.177083333,0.208333333,0.239583333,0.177083333,0.3125,0.302083333,0.270833333,0.322916667,0.104166667,0.25,0.229166667,0.15625
s127,0.802083333,0.947916667,0.947916667,0.9375,0.083333333,0.03125,0.03125,0.041666667,0.041666667,0,0,0,0.072916667,0.020833333,0.010416667,0.020833333,0.322916667,0.34375,0.34375,0.291666667,0.239583333,0.25,0.208333333,0.229166667,0.260416667,0.239583333,0.28125,0.270833333,0.166666667,0.135416667,0.166666667,0.197916667,s128,0.9375,0.854166667,0.645833333,0.489583333,0.03125,0.072916667,0.145833333,0.1875,0,0,0.041666667,0.125,0.03125,0.072916667,0.15625,0.1875,0.364583333,0.3125,0.28125,0.395833333,0.270833333,0.21875,0.260416667,0.270833333,0.229166667,0.302083333,0.229166667,0.229166667,0.114583333,0.166666667,0.229166667,0.104166667
s128,0.916666667,0.90625,0.864583333,0.916666667,0.052083333,0.041666667,0.052083333,0.041666667,0,0.010416667,0.010416667,0.020833333,0.03125,0.03125,0.041666667,0.020833333,0.291666667,0.375,0.322916667,0.354166667,0.208333333,0.28125,0.25,0.21875,0.229166667,0.21875,0.239583333,0.260416667,0.15625,0.104166667,0.145833333,0.135416667,s129,0.885416667,0.552083333,0.635416667,0.927083333,0.052083333,0.125,0.15625,0.03125,0.03125,0.21875,0.072916667,0,0.03125,0.104166667,0.135416667,0.03125,0.375,0.364583333,0.291666667,0.40625,0.229166667,0.229166667,0.125,0.15625,0.270833333,0.25,0.375,0.333333333,0.114583333,0.135416667,0.197916667,0.09375
