block	trial	Vstim	Astim	match	resp	result	rt	fb	V-file	A-file
LR

2	44	1	1	1	2	1	750	1	Ⴃ	DEU_n.wav
2	45	2	1	0	1	1	991	1	Ⴡ	DEU_n.wav
2	46	3	3	1	2	1	927	1	Ⴟ	DEU_e_1.wav
2	47	2	1	0	1	1	893	1	Ⴡ	DEU_n.wav
2	48	2	2	1	1	0	972	0	Ⴡ	DEU_r_1.wav
3	1	2	1	0	1	1	955	1	Ⴊ	DEU_g.wav
3	2	3	3	1	0	0	0	0	Ⴇ	DEU_l_1.wav
3	3	2	1	0	1	1	604	1	Ⴊ	DEU_g.wav
3	4	2	1	0	1	1	758	1	Ⴊ	DEU_g.wav
3	5	2	2	1	2	1	833	1	Ⴊ	DEU_i_1.wav
3	6	3	2	0	2	0	957	0	Ⴇ	DEU_i_1.wav
3	7	3	2	0	1	1	723	1	Ⴇ	DEU_i_1.wav
3	8	3	2	0	1	1	674	1	Ⴇ	DEU_i_1.wav
3	9	3	3	1	2	1	1041	1	Ⴇ	DEU_l_1.wav
3	10	1	3	0	1	1	872	1	Ⴢ	DEU_l_1.wav
3	11	1	1	1	2	1	910	1	Ⴢ	DEU_g.wav
3	12	1	1	1	2	1	893	1	Ⴢ	DEU_g.wav
3	13	1	1	1	2	1	731	1	Ⴢ	DEU_g.wav
3	14	1	3	0	1	1	1008	1	Ⴢ	DEU_l_1.wav
3	15	1	1	1	2	1	807	1	Ⴢ	DEU_g.wav
3	16	3	3	1	2	1	1511	1	Ⴇ	DEU_l_1.wav
3	17	2	1	0	1	1	732	1	Ⴊ	DEU_g.wav
3	18	3	2	0	1	1	817	1	Ⴇ	DEU_i_1.wav
3	19	3	2	0	1	1	618	1	Ⴇ	DEU_i_1.wav
3	20	2	2	1	2	1	818	1	Ⴊ	DEU_i_1.wav
3	21	2	2	1	2	1	932	1	Ⴊ	DEU_i_1.wav
3	22	1	3	0	1	1	864	1	Ⴢ	DEU_l_1.wav
3	23	3	2	0	1	1	819	1	Ⴇ	DEU_i_1.wav
3	24	2	2	1	2	1	735	1	Ⴊ	DEU_i_1.wav
3	25	3	3	1	2	1	945	1	Ⴇ	DEU_l_1.wav
3	26	2	1	0	1	1	668	1	Ⴊ	DEU_g.wav
3	27	1	3	0	1	1	787	1	Ⴢ	DEU_l_1.wav
3	28	3	3	1	2	1	921	1	Ⴇ	DEU_l_1.wav
3	29	2	2	1	2	1	786	1	Ⴊ	DEU_i_1.wav
3	30	1	1	1	2	1	783	1	Ⴢ	DEU_g.wav
3	31	2	1	0	1	1	750	1	Ⴊ	DEU_g.wav
3	32	1	3	0	1	1	775	1	Ⴢ	DEU_l_1.wav
3	33	1	1	1	2	1	756	1	Ⴢ	DEU_g.wav
3	34	2	1	0	1	1	685	1	Ⴊ	DEU_g.wav
3	35	2	2	1	2	1	738	1	Ⴊ	DEU_i_1.wav
3	36	2	1	0	1	1	654	1	Ⴊ	DEU_g.wav
3	37	3	3	1	2	1	964	1	Ⴇ	DEU_l_1.wav
3	38	1	1	1	2	1	712	1	Ⴢ	DEU_g.wav
3	39	2	2	1	2	1	703	1	Ⴊ	DEU_i_1.wav
3	40	3	2	0	1	1	1086	1	Ⴇ	DEU_i_1.wav
3	41	1	3	0	1	1	803	1	Ⴢ	DEU_l_1.wav
3	42	2	2	1	2	1	829	1	Ⴊ	DEU_i_1.wav
3	43	1	3	0	1	1	769	1	Ⴢ	DEU_l_1.wav
3	44	1	1	1	2	1	870	1	Ⴢ	DEU_g.wav
3	45	3	3	1	2	1	780	1	Ⴇ	DEU_l_1.wav
3	46	3	3	1	2	1	1057	1	Ⴇ	DEU_l_1.wav
3	47	3	2	0	1	1	770	1	Ⴇ	DEU_i_1.wav
3	48	1	3	0	1	1	1958	1	Ⴢ	DEU_l_1.wav
