subjID,block,trial,vStim,aStim,match,choice,rt,fb,iti,feedJitter,vFile,aFile,stimOnset,choice,feedbackOnset
5,3,32,2,2,1,1,1434,0,2720,1433,<U+0583>,norm_e.wav,271642,273076,275120
5,4,1,4,3,0,1,1264,1,2286,2163,<U+1250>,norm_l.wav,7336,8600,11533
5,4,2,2,2,1,1,1271,0,3162,1433,<U+10AF>,norm_ei.wav,16746,18017,20208
5,4,3,4,4,1,2,1287,1,3374,1654,<U+1250>,norm_o.wav,25615,26902,29300
5,4,4,2,1,0,2,1342,0,3164,940,<U+10AF>,norm_ü.wav,34508,35850,37493
5,4,5,4,3,0,1,1596,1,3282,1931,<U+1250>,norm_l.wav,42804,44400,46768
5,4,6,2,1,0,1,1336,1,3057,1076,<U+10AF>,norm_ü.wav,51859,53195,54980
5,4,7,4,4,1,2,794,1,3788,1143,<U+1250>,norm_o.wav,60803,61597,63989
5,4,8,1,1,1,2,1382,1,2608,1490,<U+10D6>,norm_ü.wav,68637,70019,72159
5,4,9,2,2,1,2,967,1,4089,1726,<U+10AF>,norm_ei.wav,78278,79245,82048
5,4,10,3,4,0,1,1780,1,3043,1769,<U+10B5>,norm_o.wav,87134,88914,90944
5,4,11,1,2,0,1,1506,1,1752,1262,<U+10D6>,norm_ei.wav,94732,96238,98029
5,4,13,1,2,0,1,1462,1,3269,1205,<U+10D6>,norm_ei.wav,111805,113267,115038
5,4,14,2,2,1,2,978,1,2872,535,<U+10AF>,norm_ei.wav,119941,120919,122511
5,4,15,3,3,1,2,1377,1,3929,1592,<U+10B5>,norm_l.wav,128482,129859,132119
5,4,16,1,1,1,2,1134,1,2990,871,<U+10D6>,norm_ü.wav,137144,138278,140056
5,4,17,3,4,0,1,1004,1,2863,2328,<U+10B5>,norm_o.wav,144963,145967,149335
5,4,18,2,2,1,2,1036,1,3569,2176,<U+10AF>,norm_ei.wav,154949,155985,159156
5,4,19,1,2,0,1,1019,1,3221,1667,<U+10D6>,norm_ei.wav,164415,165434,168123
5,4,20,4,4,1,2,960,1,2869,1896,<U+1250>,norm_o.wav,173023,173983,176957
5,4,21,3,3,1,2,1170,1,2097,1353,<U+10B5>,norm_l.wav,181087,182257,184485
5,4,22,1,1,1,2,1434,1,2720,1760,<U+10D6>,norm_ü.wav,189247,190681,193052
5,4,23,2,1,0,1,1392,1,3082,775,<U+10AF>,norm_ü.wav,198178,199570,200991
5,4,24,4,4,1,2,878,1,2760,1483,<U+1250>,norm_o.wav,205785,206663,209308
5,4,25,3,4,0,1,1065,1,3440,1101,<U+10B5>,norm_o.wav,214785,215850,217922
5,4,26,1,2,0,1,1336,1,2548,1369,<U+10D6>,norm_ei.wav,222498,223834,225906
5,4,28,4,3,0,1,1194,1,3052,834,<U+1250>,norm_l.wav,240424,241618,243291
5,4,29,3,3,1,2,1218,1,2873,1388,<U+10B5>,norm_l.wav,248192,249410,251614
5,4,30,1,1,1,2,1150,1,2698,1435,<U+10D6>,norm_ü.wav,256355,257505,259821
5,4,31,4,3,0,1,1060,1,2301,1412,<U+1250>,norm_l.wav,264154,265214,267602
5,4,32,3,3,1,2,1361,1,2398,1067,<U+10B5>,norm_l.wav,272037,273398,275133
6,1,1,4,3,0,1,1014,0,2990,1388,<U+0553>,norm_a.wav,8030,9044,11459
6,1,2,3,3,1,1,958,1,3043,1654,<U+0539>,norm_a.wav,16545,17503,20240
6,1,3,2,2,1,1,1789,1,3929,871,<U+00010A6C>,norm_n.wav,26213,28002,29129
6,1,4,1,2,0,2,937,1,2685,1896,<U+053D>,norm_n.wav,33858,34795,37798
6,1,5,2,1,0,2,1056,1,3440,775,<U+00010A6C>,norm_h.wav,43271,44327,46082
