block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	1_3	3	0	0	2	3050	974	df	norm_k.wav	14339	0	17343
2	2	3_1	3	1	732	1	3046	1470	fd	norm_k.wav	22416	23148	25924
2	3	2_3	3	2	918	1	2448	2140	ef	norm_k.wav	30403	31321	34580
2	4	3_2	2	2	1348	1	2542	2677	fe	norm_e.wav	39149	40497	43868
2	5	2_1	2	1	1078	1	2122	1699	ed	norm_e.wav	48015	49093	51742
2	6	3_2	2	2	1538	1	3266	2549	fe	norm_e.wav	57044	58582	61628
2	7	2_3	2	1	1228	1	2379	1588	ef	norm_e.wav	66042	67270	69652
2	8	1_3	1	1	1259	1	2115	1580	df	norm_f.wav	73797	75056	77429
2	9	3_2	3	1	1022	1	1754	1823	fe	norm_k.wav	81221	82243	85076
2	10	2_3	2	1	1155	1	2538	2855	ef	norm_e.wav	89640	90795	94524
2	11	1_2	1	1	1248	1	2659	1861	de	norm_f.wav	99213	100461	103099
2	12	2_1	2	1	981	1	3272	2244	ed	norm_e.wav	108395	109376	112668
2	13	1_3	3	2	1005	1	2776	2689	df	norm_k.wav	117468	118473	122181
2	14	3_1	1	1	944	0	1892	1902	fd	norm_f.wav	126102	127046	130030
2	15	1_2	1	1	1357	1	2813	2718	de	norm_f.wav	134875	136232	139614
2	16	2_1	1	2	1441	1	1644	930	ed	norm_f.wav	143292	144733	146245
2	17	1_3	1	1	1484	1	3185	1396	df	norm_f.wav	151467	152951	154896
2	18	1_2	2	2	1370	1	1943	2062	de	norm_e.wav	158861	160231	162964
2	19	3_1	3	1	1472	1	2417	2412	fd	norm_k.wav	167403	168875	171849
2	20	1_2	2	2	1368	1	3054	1765	de	norm_e.wav	176925	178293	180721
2	21	3_1	1	0	0	2	2387	2016	fd	norm_f.wav	185144	0	189190
2	22	3_2	3	1	1069	1	1955	2151	fe	norm_k.wav	193180	194249	197360
2	23	2_3	3	2	1450	1	2128	1211	ef	norm_k.wav	201522	202972	204756
2	24	2_1	1	2	1790	1	2496	1019	ed	norm_f.wav	209275	211065	212315
2	25	1_3	1	1	1397	1	2656	2369	df	norm_f.wav	217003	218400	221400
2	26	2_3	3	2	1728	1	2068	1901	ef	norm_k.wav	225501	227229	229434
2	27	2_1	1	2	1741	1	2662	3454	ed	norm_f.wav	234130	235871	239623
2	28	2_1	1	0	0	2	2484	2480	ed	norm_f.wav	244137	0	248651
2	29	1_3	3	2	1857	1	3058	2253	df	norm_k.wav	253747	255604	258026
2	30	3_1	3	1	1074	1	2685	1863	fd	norm_k.wav	262742	263816	266638
2	31	2_3	2	1	1475	1	2067	1463	ef	norm_e.wav	270726	272201	274223
2	32	2_3	2	1	1116	1	2516	2350	ef	norm_e.wav	278760	279876	283162
